Type,observations,positive_values,spearman_observed_mortality,spearman_core_residual,upper_quartile_threshold,mean_residual_upper_quartile,mean_residual_other,residual_difference
cot_idwmeanpertow,89,54,0.002546080543568423,-0.0653887708937289,0.02,0.03245662471348565,0.03614621712177192,-0.0036895924082862713
cot_meanpertow,84,23,0.15369739177532415,-0.029592847300460363,0.00555555569007993,0.029440619475249865,0.03793591833953864,-0.008495298864288774
cyc_maxHrs4mw,89,49,-0.4194430739722312,-0.22888817487514554,12,-0.011676691959656578,0.05152600929574573,-0.06320270125540231
sst_maxdhw,89,89,0.16082876699989046,-0.18038731661369845,8.63305555555556,-0.009028799489472297,0.050603258889469385,-0.059632058378941685
uq_coralsink1,89,77,-0.002361276479214336,0.0922139779950996,0.631578922271729,0.03561230052446035,0.03502883102086887,5.834695035914772e-4
wqc_freqcc12,89,47,0.3171851561857394,0.25015588583637755,0.0530255667004531,0.10336643963117752,0.011435221014091421,0.0919312186170861
