reef_short,LABEL_ID,ReefName,region_block,latitude_band,Type,Period,Year,variable,value,latitude_band_percentile,region_percentile,gbr_percentile,includes_summer_202425
Linnet,14-126,Linnet Reef (14-126),Northern GBR,14,cmfi,Last 2 years,202224,cmfi_2y,0.548564546575403,43.27956989247312,24.27536231884058,24.549180327868854,TRUE
Linnet,14-126,Linnet Reef (14-126),Northern GBR,14,cmfr,Last 10 years,200920,cmfr_10y,0.6457251591,83.60215053763442,64.85507246376811,63.07965084560829,FALSE
Linnet,14-126,Linnet Reef (14-126),Northern GBR,14,cmfr,Last 10 years,201423,cmfr_10y,0.620351791388336,77.68817204301075,53.26086956521739,55.88716271463614,FALSE
Linnet,14-126,Linnet Reef (14-126),Northern GBR,14,cmfr,Last _summer,202020,cmfr_1y,0.6917280725,92.74193548387096,80.79710144927536,74.59083469721767,FALSE
Linnet,14-126,Linnet Reef (14-126),Northern GBR,14,cmfr,Last _summer,202323,cmfr_1y,0.468409921550427,40.59139784946237,6.884057971014493,16.598360655737704,FALSE
Linnet,14-126,Linnet Reef (14-126),Northern GBR,14,cmfr,Last 20 years,200423,cmfr_20y,0.638801927070992,81.45161290322581,61.95652173913044,61.77432542927228,FALSE
Linnet,14-126,Linnet Reef (14-126),Northern GBR,14,cmfr,Last 2 years,202223,cmfr_2y,0.519841866998182,65.3225806451613,41.666666666666664,36.81693989071038,FALSE
Linnet,14-126,Linnet Reef (14-126),Northern GBR,14,quad,Last 10 years,200921,quad_10y,2,33.333333333333336,43.16546762589928,49.17141377524599,FALSE
Linnet,14-126,Linnet Reef (14-126),Northern GBR,14,quad,Last 10 years,201424,quad_10y,1,25,23.741007194244606,21.82806835836354,TRUE
Linnet,14-126,Linnet Reef (14-126),Northern GBR,14,quad,Last _summer,202021,quad_1y,1,23.118279569892472,33.45323741007194,24.01605385810461,FALSE
Linnet,14-126,Linnet Reef (14-126),Northern GBR,14,quad,Last _summer,202324,quad_1y,4,79.03225806451613,89.56834532374101,93.86328327291558,TRUE
Linnet,14-126,Linnet Reef (14-126),Northern GBR,14,quad,Last 20 years,200424,quad_20y,2,35.215053763440864,47.84172661870504,48.278094251683065,TRUE
Linnet,14-126,Linnet Reef (14-126),Northern GBR,14,quad,Last 2 years,202224,quad_2y,1,19.892473118279568,31.294964028776977,24.313827032625582,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmex,Last 10 years,201021,cmex_10y,0.483950617283951,28.225806451612904,22.66187050359712,51.87726566545831,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmex,Last 10 years,201524,cmex_10y,0.31304347826087,43.54838709677419,34.89208633093525,36.71672708441222,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmex,Last _summer,202121,cmex_1y,0,36.55913978494624,38.1294964028777,38.050233039875714,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmex,Last _summer,202424,cmex_1y,1,59.13978494623656,61.15107913669065,79.89383738995339,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmex,Last 20 years,200524,cmex_20y,0.444444444444444,29.301075268817204,31.654676258992804,50.97099948213361,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmex,Last 2 years,202324,cmex_2y,0.4,63.70967741935484,74.82014388489209,71.18073537027448,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmfi,Last 10 years,200921,cmfi_10y,0.504634992187835,75,54.710144927536234,40.38461538461539,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmfi,Last 10 years,201424,cmfi_10y,0.577919384216575,54.03225806451613,56.15942028985507,52.289452166802945,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmfi,Last _summer,202021,cmfi_1y,0.64099999960974,69.6236559139785,51.81159420289855,58.90616475722859,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmfi,Last _summer,202324,cmfi_1y,0.199193041697448,57.795698924731184,36.594202898550726,15.724043715846994,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmfi,Last 20 years,200424,cmfi_20y,0.46952630514473,75.53763440860214,60.507246376811594,42.04142818206596,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmfi,Last 2 years,202224,cmfi_2y,0.560542546197472,49.193548387096776,30.07246376811594,26.57103825136612,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmfr,Last 10 years,200920,cmfr_10y,0.51869974965,54.03225806451613,35.869565217391305,36.94762684124386,FALSE
