ReefID,ReefName,observed_mortality,assigned_prop_acropora_pre,acropora_source,acropora_interpolated,prediction_at_assigned,prediction_at_50pct_acropora,prediction_at_90pct_acropora,maximum_prediction,gain_assigned_to_90pct,remaining_underprediction_at_90pct
14-126,Linnet Reef (14-126),0.7147170912272767,0.6343256027311654,observed_depth_year,FALSE,0.24214023820931058,0.23680446358909002,0.2732553103120445,0.2732553103120445,0.0311150721027339,0.4414617809152322
16-015,Mackay Reef (16-015),0.6125403307582871,0.11108575555250783,observed_depth_year,FALSE,0.10492343528880188,0.15211712863237997,0.17522521587704237,0.17522521587704237,0.07030178058824049,0.4373151148812447
14-118,Eyrie Reef (14-118),0.5256729155551548,0.5154641976894707,past_only_spatiotemporal_idw,TRUE,0.191694623661193,0.191694623661193,0.2235071326762838,0.2235071326762838,0.031812509015090806,0.302165782878871
14-116a,Lizard Island Reef (North West) (14-116a),0.4615802349862708,0.14877724148928995,observed_depth_year,FALSE,0.09333436185313557,0.1795651185075887,0.2225643538859165,0.2225643538859165,0.12922999203278093,0.23901588110035432
15-030,Swinger Reef (15-030),0.34618830788839955,0.5685984833602956,past_only_spatiotemporal_idw,TRUE,0.08391102902437234,0.08280944774783837,0.11170681595809066,0.11170681595809066,0.027795786933718328,0.23448149193030887
