LABEL_ID,reef_short,ReefName,SECT_NAME,SECTOR,region_block,observed_mortality,ann_maxdhw,prop_acropora_pre,core_underprediction,weather_underprediction,wq_underprediction,cyclone_underprediction,DISTURBANCE_TYPE,storm_name,description,tooltip,disturbance_text,cot_idwmeanpertow,cot_meanpertow,cyc_maxHrs4mw,wqc_freqcc12,sst_maxdhw,uq_coralsink1,vulnerability_pct_cot_idwmeanpertow,vulnerability_pct_cot_meanpertow,vulnerability_pct_cyc_maxHrs4mw,vulnerability_pct_wqc_freqcc12,vulnerability_pct_sst_maxdhw,vulnerability_pct_uq_coralsink1
14-126,Linnet,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,0.7147170912272767,6.73,0.6343256027311654,0.47257685301796615,0.47450682944196343,0.4921723329856949,0.4839081208734217,b,,DHW 6.73,coral bleaching,DHW 6.73  coral bleaching,0.0201,0.024274891987443,0,0.536864378405265,6.675,0.473684221506119,98.9247311827957,86,48.11827956989247,56.72043010752688,33.87096774193548,40.32258064516129
16-015,Mackay,Mackay Reef (16-015),Cairns,CA,Central GBR,0.6125403307582871,3.52,0.11108575555250784,0.5076168954694852,0.433214225014909,0.5276771652702256,0.5161616957851267,m,,DHW 4.03,"coral bleaching, Cyclone Jasper, flood waters","DHW 4.03  coral bleaching, Cyclone Jasper, flood waters",4e-4,0,0,0.0670124787248476,3.76809523809524,0.421052634716034,52.205882352941174,40.38461538461539,39.705882352941174,29.044117647058822,2.577319587628866,60
14-118,Eyrie,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,0.5256729155551548,6.2700000000000005,0.5154641976894707,0.33397829189396183,0.27737622706131687,0.36960645523605173,0.34620136827760034,b,,DHW 6.27 to 6.32,coral bleaching,DHW 6.27 to 6.32  coral bleaching,0.0613,0.0737812916437785,0,0.387817227069386,6.28372549019608,0.578947365283966,99.73118279569893,98,48.11827956989247,38.44086021505376,22.258064516129032,18.548387096774192
14-116a,Lizard NW,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,0.4615802349862708,6.2700000000000005,0.14877724148928995,0.3682458731331353,0.3168701620383888,0.3852619038525898,0.3595637862122799,b,,DHW 6.27  aerial bl 4,coral bleaching,DHW 6.27  aerial bl 4  coral bleaching,0,0,0,0.0473388095731419,6.24428571428571,0.105263158679008,24.731182795698924,38,48.11827956989247,16.93548387096774,20.967741935483872,84.40860215053763
15-030,Swinger,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,0.34618830788839955,3.87,0.5685984833602956,0.2622772788640272,0.11640269166518238,0.28502861431942833,0.25917839476664634,b,,DHW 3.87,coral bleaching,DHW 3.87  coral bleaching,0.0025,0,0,0.149812788731616,3.87444444444444,0.421052634716034,59.2436974789916,42,39.91596638655462,60.08403361344538,32.84313725490196,40.869565217391305
