reef_short,LABEL_ID,ReefName,SECT_NAME,SECTOR,region_block,latitude_band,Type,Period,Year,variable,value,includes_summer_202425
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last _summer,202323,cmfr_1y,0.468409921550427,FALSE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last 20 years,200423,cmfr_20y,0.638801927070992,FALSE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last 2 years,202223,cmfr_2y,0.519841866998182,FALSE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last 10 years,200921,quad_10y,2,FALSE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last 10 years,201424,quad_10y,1,TRUE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last _summer,202021,quad_1y,1,FALSE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last _summer,202324,quad_1y,4,TRUE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last 20 years,200424,quad_20y,2,TRUE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last 2 years,202224,quad_2y,1,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last 10 years,201021,cmex_10y,0.483950617283951,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last 10 years,201524,cmex_10y,0.31304347826087,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last _summer,202121,cmex_1y,0,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last _summer,202424,cmex_1y,1,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last 20 years,200524,cmex_20y,0.444444444444444,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last 2 years,202324,cmex_2y,0.4,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmfi,Last 10 years,200921,cmfi_10y,0.504634992187835,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmfi,Last 10 years,201424,cmfi_10y,0.577919384216575,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmfi,Last _summer,202021,cmfi_1y,0.64099999960974,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmfi,Last _summer,202324,cmfi_1y,0.199193041697448,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmfi,Last 20 years,200424,cmfi_20y,0.46952630514473,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmfi,Last 2 years,202224,cmfi_2y,0.560542546197472,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last 10 years,200920,cmfr_10y,0.51869974965,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last 10 years,201423,cmfr_10y,0.540501318685676,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last _summer,202020,cmfr_1y,0.5276315785,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last _summer,202323,cmfr_1y,0.528962174552933,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last 20 years,200423,cmfr_20y,0.528544253715003,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last 2 years,202223,cmfr_2y,0.540789800695903,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last 10 years,200921,quad_10y,1,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last 10 years,201424,quad_10y,1,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last _summer,202021,quad_1y,1,FALSE
