scheme,event_year,programme_key,tail_features,learner,n,severe_n,observed_mean,predicted_mean,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_rmse,false_extreme_rate
leave_one_event_out,2016,ltmp,legacy_tail,Conservative tail (0.5 gate),22,4,0.18330675000243254,0.0555702061216309,0.23461726908620478,0.16144960969613978,-0.01358997058707101,-0.12773654388080166,0.5926050488485936,0.14465596667041603,0.4523010274830815,0
leave_one_event_out,2016,ltmp,legacy_tail,Soft-gated tail,22,4,0.18330675000243254,0.058574769536426485,0.23312365301424076,0.1619828385718744,-7.256545887972532e-4,-0.12473198046600606,0.5926050488485936,0.1493653745356849,0.44805878904819446,0
leave_one_event_out,2016,ltmp,none,INLA only,22,4,0.18330675000243254,0.052565642706835315,0.2361853814984295,0.16091638082040513,-0.027184320539078932,-0.13074110729559724,0.5926050488485936,0.13994655880514711,0.45658984513719597,0
leave_one_event_out,2016,ltmp,wqc_threshold_tail,Conservative tail (0.5 gate),22,4,0.18330675000243254,0.05563534655871723,0.23472254096822523,0.16153497101181655,-0.0144997626303085,-0.1276714034437153,0.5926050488485936,0.14409117962130658,0.45276108509108576,0
leave_one_event_out,2016,ltmp,wqc_threshold_tail,Soft-gated tail,22,4,0.18330675000243254,0.05870505041059915,0.23333245824570606,0.16215356120322794,-0.0025191262412327386,-0.1246016995918334,0.5926050488485936,0.14823580043746606,0.44895320440671216,0
leave_one_event_out,2016,ltmp,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),22,4,0.18330675000243254,0.05681230819354227,0.23492921255718868,0.1625901662454987,-0.016287069318635883,-0.12649444180889027,0.5926050488485936,0.14438734227369218,0.452502624862064,0
leave_one_event_out,2016,ltmp,wqc_threshold_track_disease_tail,Soft-gated tail,22,4,0.18330675000243254,0.06105897368024922,0.2339533388656207,0.1642639516705923,-0.007861484875674396,-0.12224777632218332,0.5926050488485936,0.14882812574223725,0.4484511260213016,0
leave_one_event_out,2016,ltmp,wqc_threshold_track_tail,Conservative tail (0.5 gate),22,4,0.18330675000243254,0.055717914922037814,0.23429676650349734,0.16104472777988166,-0.010822601281016864,-0.12758883508039473,0.5926050488485936,0.1448403976363322,0.45214931061628016,0
leave_one_event_out,2016,ltmp,wqc_threshold_track_tail,Soft-gated tail,22,4,0.18330675000243254,0.058870187137240314,0.23249456217284487,0.16117307473935816,0.0046680316388434395,-0.12443656286519224,0.5926050488485936,0.14973423646751724,0.44775740439408407,0
leave_one_event_out,2016,manta,legacy_tail,Conservative tail (0.5 gate),20,0,0.14544376847496326,0.06061212602584225,0.1571158693759638,0.11139173165251443,-0.012688471287162217,-0.08483164244912102,,,,0
