scheme,tail_features,learner,programme_key,n,severe_n,observed_mean,predicted_mean,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_rmse,false_extreme_rate
leave_one_event_out,legacy_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.1664122002879712,0.19935371088357626,0.14255173534926713,-0.2623001472816129,0.05459303423203765,0.616500089234125,0.477144084075498,0.37821740360409944,0.13725490196078433
leave_one_event_out,legacy_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.17736414770564926,0.2076257995544453,0.15068474331865883,-0.36923067507928,0.06554498164971571,0.616500089234125,0.4853176299161861,0.37233371270962917,0.16993464052287582
leave_one_event_out,none,INLA only,pooled,537,32,0.11181916605593356,0.15546025287029314,0.19435088151927116,0.1363384100776759,-0.19973965531311388,0.04364108681435959,0.616500089234125,0.46897053823481,0.38542553474115204,0.12636165577342048
leave_one_event_out,wqc_threshold_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.1655538475095045,0.19838319810668775,0.14191223136895706,-0.2500395638804227,0.05373468145357095,0.616500089234125,0.47634024828629257,0.3783571400640182,0.13507625272331156
leave_one_event_out,wqc_threshold_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.17564744214871586,0.2055679123404318,0.14913124973590974,-0.34222287209737523,0.06382827609278231,0.616500089234125,0.48370995833777514,0.37229126888757463,0.16122004357298475
leave_one_event_out,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.16362058569087815,0.19739260304735498,0.14098254198850063,-0.2375869827874446,0.05180141963494458,0.616500089234125,0.47716710553714886,0.3764052440283901,0.12636165577342048
leave_one_event_out,wqc_threshold_track_disease_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.17178091851146313,0.20241376246783852,0.14631579229928127,-0.3013498296580799,0.059961752455529566,0.616500089234125,0.4853636728394877,0.36843334830271607,0.15468409586056645
leave_one_event_out,wqc_threshold_track_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.1634869338467652,0.19690080941018911,0.14066304726198642,-0.23142789476071512,0.05166776779083165,0.616500089234125,0.4768198527932862,0.37629908238157017,0.13071895424836602
leave_one_event_out,wqc_threshold_track_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.17151361482323724,0.20124779735007775,0.14575910615826607,-0.2864006646306234,0.0596944487673037,0.616500089234125,0.4846691673517624,0.3678920969968531,0.14596949891067537
reef_blocked_5fold,legacy_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.1212160596503512,0.13521240084767444,0.09026560412734942,0.41930640902594185,0.009396893594417647,0.616500089234125,0.38743940971962454,0.30363510051134746,0.05664488017429194
reef_blocked_5fold,legacy_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.13317611675983024,0.14027101394219735,0.09412288734684335,0.375043402882426,0.02135695070389669,0.616500089234125,0.41534784983541245,0.2855485605424763,0.06753812636165578
reef_blocked_5fold,none,INLA only,pooled,537,32,0.11181916605593356,0.10925600254087216,0.13492225762529714,0.08873883715678198,0.4217958780251445,-0.002563163515061398,0.616500089234125,0.3595309696038366,0.32594044671020067,0.037037037037037035
reef_blocked_5fold,wqc_threshold_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.1210664426838234,0.13553687715616833,0.09048627575149798,0.4165160230280769,0.009247276627889841,0.616500089234125,0.3882827932631234,0.30283926077356205,0.054466230936819175
reef_blocked_5fold,wqc_threshold_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.13287688282677462,0.1406554681542954,0.09390704788638118,0.37161295134372374,0.02105771677084108,0.616500089234125,0.4170346169224103,0.28389506133794457,0.07407407407407407
reef_blocked_5fold,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.1204284595851821,0.1346520367417319,0.09004885339384716,0.4241096010641503,0.008609293529248547,0.616500089234125,0.3887787990233388,0.30200818841177035,0.054466230936819175
reef_blocked_5fold,wqc_threshold_track_disease_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.13160091662949205,0.1382095272651513,0.0930976067143969,0.393277714439664,0.01978175057355849,0.616500089234125,0.418026628442841,0.2829285373859494,0.07625272331154684
reef_blocked_5fold,wqc_threshold_track_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.12046990379431868,0.13447572602818875,0.09004034163201904,0.425616732708503,0.008650737738385126,0.616500089234125,0.38880121337659046,0.3018419496987996,0.058823529411764705
reef_blocked_5fold,wqc_threshold_track_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.1316838050477652,0.1380498553100267,0.09308180384786342,0.39467878389224287,0.019864638991831652,0.616500089234125,0.4180714571493443,0.2822005781821826,0.07407407407407407
leave_one_event_out,legacy_tail,Conservative tail (0.5 gate),ltmp,199,12,0.0887202187883077,0.13507773101557188,0.1781575236696367,0.12024488900630009,-0.14003406984843347,0.0463575122272642,0.61388975696167,0.4088854432324399,0.3541466098746565,0.07865168539325842
leave_one_event_out,legacy_tail,Soft-gated tail,ltmp,199,12,0.0887202187883077,0.14327322271481965,0.18200958648337648,0.1247580226869784,-0.18986590795795277,0.05455300392651197,0.61388975696167,0.4273477190233387,0.3428242523927224,0.10112359550561797
leave_one_event_out,none,INLA only,ltmp,199,12,0.0887202187883077,0.12688223931632414,0.1770704133846807,0.11731481800259431,-0.12616363062814018,0.03816202052801643,0.61388975696167,0.39042316744154115,0.3689906477064312,0.07865168539325842
leave_one_event_out,wqc_threshold_tail,Conservative tail (0.5 gate),ltmp,199,12,0.0887202187883077,0.13551337197813187,0.17875192149765026,0.12051246130069772,-0.1476538905158402,0.04679315318982418,0.61388975696167,0.40677817727302445,0.3547720714315442,0.08426966292134831
leave_one_event_out,wqc_threshold_tail,Soft-gated tail,ltmp,199,12,0.0887202187883077,0.14414450463993964,0.1838009684847998,0.1254410440182318,-0.2134030611554325,0.05542428585163193,0.61388975696167,0.42313318710450776,0.34316451256630137,0.10112359550561797
leave_one_event_out,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),ltmp,199,12,0.0887202187883077,0.13357506350919723,0.17741078406265187,0.11965155592996334,-0.13049729066480986,0.04485484472088955,0.61388975696167,0.40675084553344804,0.3536165440453919,0.07865168539325842
