tail_features,component,predictor,relative_influence
wqc_threshold_tail,gate,dhw_years_since_last_n6_capped8_z,0.13271795026048783
wqc_threshold_tail,gate,dhw_events_since2016_n6_z,0.011428157168367712
wqc_threshold_tail,gate,wqc_excess50_z,0
wqc_threshold_tail,magnitude,dhw_x_acropora,10.030761276452486
wqc_threshold_tail,magnitude,dhw_novelty10_z,6.9527547318098835
wqc_threshold_tail,magnitude,chla_wetseason_median_z,6.707733233494505
wqc_threshold_tail,magnitude,log1p_cot_idwmeanpertow_z,6.100548861693765
wqc_threshold_tail,magnitude,mcur_90_z,5.919088912685144
wqc_threshold_tail,magnitude,sst_summer_skewness_z,5.837391821322161
wqc_threshold_tail,magnitude,log_coastal_rain30_z,4.88399818366882
wqc_threshold_tail,magnitude,sst_summer_excess_kurtosis_z,4.728180723545625
wqc_threshold_tail,magnitude,observed_pre_cover_z,4.314748991626081
wqc_threshold_tail,magnitude,dhw_x_freshwater,4.104165292840963
wqc_threshold_tail,magnitude,dhw_x_novelty,4.012476099150196
wqc_threshold_tail,magnitude,cots_outbreak_probability_z,3.938144455267193
wqc_threshold_tail,magnitude,secc3m_p10_z,3.493496036656432
wqc_threshold_tail,magnitude,dhw_x_current,3.0003048390614304
wqc_threshold_tail,magnitude,dhw_x_wqc_excess50,2.9073183087599617
wqc_threshold_tail,magnitude,wqc_prior10_percentile_z,2.680292837378528
wqc_threshold_tail,magnitude,ann_maxdhw_z,2.5536698389281876
wqc_threshold_tail,magnitude,dhw10_load4_z,2.4540395081005855
wqc_threshold_tail,magnitude,prop_acropora_pre_z,2.364977268480611
wqc_threshold_tail,magnitude,dhw_x_cloud,2.328924277897382
wqc_threshold_tail,magnitude,cloudp_90_z,2.1283394219287537
wqc_threshold_tail,magnitude,programme_factor,2.0655056404047705
wqc_threshold_tail,magnitude,dhw_x_wqc_cumulative,1.6262812389098682
wqc_threshold_tail,magnitude,acropora_cover_pre_z,1.1367802962872946
wqc_threshold_tail,magnitude,wqc_freqcc12_z,1.0624233799401894
wqc_threshold_tail,magnitude,region_factor,0.942082033448649
wqc_threshold_tail,magnitude,dhw_excess8_z,0.6655632965726254
wqc_threshold_tail,magnitude,dhw_years_since_last_n6_capped8_z,0.3078952608886163
wqc_threshold_tail,magnitude,dhw_events_since2016_n6_z,0.2530023065022238
wqc_threshold_tail,magnitude,log1p_cyc_maxHrs4mw_z,0.233154016650063
wqc_threshold_tail,magnitude,wqc_excess50_10yr_sum_z,0.17957955878945153
wqc_threshold_tail,magnitude,dhw_excess4_z,0.08637805085755985
wqc_threshold_tail,magnitude,wqc_excess50_z,0
wqc_threshold_track_tail,gate,ann_maxdhw_z,10.28703677912327
wqc_threshold_track_tail,gate,dhw_novelty10_z,7.123068152444035
wqc_threshold_track_tail,gate,mcur_90_z,7.047126105939094
wqc_threshold_track_tail,gate,observed_pre_cover_z,6.973922240089613
wqc_threshold_track_tail,gate,tc_proximity100_z,5.943293449301862
wqc_threshold_track_tail,gate,sst_summer_excess_kurtosis_z,4.765190054480864
wqc_threshold_track_tail,gate,dhw_excess4_z,4.133872879014079
wqc_threshold_track_tail,gate,cots_outbreak_probability_z,4.035201986345424
wqc_threshold_track_tail,gate,wqc_freqcc12_z,4.027240012559579
wqc_threshold_track_tail,gate,dhw_x_acropora,3.7675797068584185
wqc_threshold_track_tail,gate,chla_wetseason_median_z,3.3746153185507337
wqc_threshold_track_tail,gate,dhw_x_cloud,3.3143812483789055
wqc_threshold_track_tail,gate,dhw_x_freshwater,3.310241915407061
wqc_threshold_track_tail,gate,acropora_cover_pre_z,3.309331631009055
wqc_threshold_track_tail,gate,log_coastal_rain30_z,2.8196105483764704
wqc_threshold_track_tail,gate,dhw_x_tc_track,2.74915204676908
wqc_threshold_track_tail,gate,cloudp_90_z,2.632168154084013
wqc_threshold_track_tail,gate,dhw_x_wqc_cumulative,2.3613575315481588
wqc_threshold_track_tail,gate,prop_acropora_pre_z,2.113444670190103
wqc_threshold_track_tail,gate,sst_summer_skewness_z,2.0020623252890846
wqc_threshold_track_tail,gate,dhw_x_current,1.8516607730429957
wqc_threshold_track_tail,gate,dhw_x_wqc_excess50,1.5519099103412313
wqc_threshold_track_tail,gate,secc3m_p10_z,1.4174277191474909
wqc_threshold_track_tail,gate,tc_wind_distance_index_z,1.3834169001159886
wqc_threshold_track_tail,gate,dhw_excess8_z,1.3524556781125818
wqc_threshold_track_tail,gate,programme_factor,1.3256746578876524
wqc_threshold_track_tail,gate,log1p_cot_idwmeanpertow_z,1.1979838936076181
wqc_threshold_track_tail,gate,dhw10_load4_z,0.8781448805048535
wqc_threshold_track_tail,gate,dhw_x_novelty,0.7844332801945352
wqc_threshold_track_tail,gate,log1p_cyc_maxHrs4mw_z,0.7480894062228168
wqc_threshold_track_tail,gate,wqc_prior10_percentile_z,0.6041152385348572
wqc_threshold_track_tail,gate,wqc_excess50_10yr_sum_z,0.36286716705077
wqc_threshold_track_tail,gate,region_factor,0.2308479902109108
wqc_threshold_track_tail,gate,dhw_years_since_last_n6_capped8_z,0.17891383066346186
wqc_threshold_track_tail,gate,wqc_excess50_z,0.03596444995258555
wqc_threshold_track_tail,gate,dhw_events_since2016_n6_z,0.006197468650742278
wqc_threshold_track_tail,magnitude,dhw_x_acropora,9.986355204677727
wqc_threshold_track_tail,magnitude,dhw_novelty10_z,5.904519984006508
wqc_threshold_track_tail,magnitude,log1p_cot_idwmeanpertow_z,5.62385621770592
wqc_threshold_track_tail,magnitude,sst_summer_skewness_z,5.425002919521914
wqc_threshold_track_tail,magnitude,chla_wetseason_median_z,5.399159309153193
wqc_threshold_track_tail,magnitude,sst_summer_excess_kurtosis_z,4.87376050316793
wqc_threshold_track_tail,magnitude,observed_pre_cover_z,4.540068472028549
wqc_threshold_track_tail,magnitude,mcur_90_z,4.434142129799117
wqc_threshold_track_tail,magnitude,dhw_x_novelty,4.209387743908886
wqc_threshold_track_tail,magnitude,log_coastal_rain30_z,3.952155056666766
wqc_threshold_track_tail,magnitude,tc_proximity100_z,3.709233739376727
wqc_threshold_track_tail,magnitude,dhw_x_current,3.554388581335696
wqc_threshold_track_tail,magnitude,secc3m_p10_z,3.5504626809271453
wqc_threshold_track_tail,magnitude,cots_outbreak_probability_z,3.465402454625716
wqc_threshold_track_tail,magnitude,dhw_x_tc_track,3.0412977914756207
wqc_threshold_track_tail,magnitude,dhw_x_wqc_excess50,2.9146261320583577
wqc_threshold_track_tail,magnitude,dhw_x_freshwater,2.7781719751178313
wqc_threshold_track_tail,magnitude,dhw_x_cloud,2.339917187012469
wqc_threshold_track_tail,magnitude,dhw_x_wqc_cumulative,2.275593956856705
wqc_threshold_track_tail,magnitude,wqc_prior10_percentile_z,2.157297748413598
wqc_threshold_track_tail,magnitude,dhw10_load4_z,2.139020676798245
wqc_threshold_track_tail,magnitude,ann_maxdhw_z,2.128611433772397
wqc_threshold_track_tail,magnitude,prop_acropora_pre_z,2.0464717701266433
wqc_threshold_track_tail,magnitude,cloudp_90_z,1.8696669549358864
wqc_threshold_track_tail,magnitude,tc_wind_distance_index_z,1.8507843358342146
wqc_threshold_track_tail,magnitude,programme_factor,1.8077035256090863
wqc_threshold_track_tail,magnitude,wqc_freqcc12_z,0.9744025499033053
wqc_threshold_track_tail,magnitude,region_factor,0.870014703897694
wqc_threshold_track_tail,magnitude,acropora_cover_pre_z,0.8612295254622377
wqc_threshold_track_tail,magnitude,dhw_excess8_z,0.6833095567438849
wqc_threshold_track_tail,magnitude,dhw_years_since_last_n6_capped8_z,0.24728649046033704
wqc_threshold_track_tail,magnitude,dhw_events_since2016_n6_z,0.12259302817596185
wqc_threshold_track_tail,magnitude,wqc_excess50_z,0.11565461763248558
wqc_threshold_track_tail,magnitude,wqc_excess50_10yr_sum_z,0.11372027205950704
wqc_threshold_track_tail,magnitude,log1p_cyc_maxHrs4mw_z,0.03473077075174165
wqc_threshold_track_tail,magnitude,dhw_excess4_z,0
wqc_threshold_track_disease_tail,gate,ann_maxdhw_z,9.868218626707346
wqc_threshold_track_disease_tail,gate,dhw_novelty10_z,6.991449423269923
wqc_threshold_track_disease_tail,gate,observed_pre_cover_z,6.825737135172908
wqc_threshold_track_disease_tail,gate,tc_proximity100_z,6.752576553048046
wqc_threshold_track_disease_tail,gate,mcur_90_z,6.084426862683622
wqc_threshold_track_disease_tail,gate,sst_summer_excess_kurtosis_z,5.857999037614518
wqc_threshold_track_disease_tail,gate,dhw_x_acropora,4.412180644325435
wqc_threshold_track_disease_tail,gate,cots_outbreak_probability_z,4.093098874151497
wqc_threshold_track_disease_tail,gate,dhw_x_cloud,4.065719206445592
wqc_threshold_track_disease_tail,gate,wqc_freqcc12_z,3.750598654817432
wqc_threshold_track_disease_tail,gate,log_coastal_rain30_z,3.480216687198756
wqc_threshold_track_disease_tail,gate,chla_wetseason_median_z,3.111260586393005
wqc_threshold_track_disease_tail,gate,dhw_excess4_z,2.8809920589670073
wqc_threshold_track_disease_tail,gate,acropora_cover_pre_z,2.7894529125986325
wqc_threshold_track_disease_tail,gate,dhw_x_wqc_cumulative,2.5539987336034544
wqc_threshold_track_disease_tail,gate,dhw_x_current,2.536708051772954
wqc_threshold_track_disease_tail,gate,cloudp_90_z,2.443760031424037
wqc_threshold_track_disease_tail,gate,dhw_x_tc_track,2.4019962031134554
wqc_threshold_track_disease_tail,gate,dhw_x_freshwater,2.2531188857793705
wqc_threshold_track_disease_tail,gate,sst_summer_skewness_z,2.1477006223751975
wqc_threshold_track_disease_tail,gate,prop_acropora_pre_z,1.7991300289700451
wqc_threshold_track_disease_tail,gate,log1p_cot_idwmeanpertow_z,1.7030711989690888
wqc_threshold_track_disease_tail,gate,dhw_excess8_z,1.598492113329932
wqc_threshold_track_disease_tail,gate,dhw_x_wqc_excess50,1.4950593798749134
wqc_threshold_track_disease_tail,gate,secc3m_p10_z,1.309870768502706
wqc_threshold_track_disease_tail,gate,programme_factor,1.302549474641785
