pre_cover_bin,transitions,median_absolute_change_pp,relative_change_q05,relative_change_q50,relative_change_q95
<5%,83,0.9735705064872927,-0.4776757857236334,0.2671794223042703,1.4283769700114577
5-10%,233,1.764290141149022,-0.3533755816865409,0.12023430037382932,0.7196992859083582
10-20%,855,2.4196421222145768,-0.3284457932758315,0.06186663112499148,0.6480825687379745
20-40%,1341,3.956892983905569,-0.42094133377513987,0.0048660942554218005,0.3844397193534001
>40%,577,5.143019207272381,-0.5405135991727452,-0.025021755426855162,0.20120348664352172
