year,cells,mean_spearman,mean_rmse,era5_minus_ereefs_bias,q10_spearman,calm_fraction_spearman
2016,3707,0.9382571294405193,0.4424109217955291,-0.012587887454069724,0.9112463530407849,0.9026753135992162
2017,3707,0.9451856192173123,0.4833585129871627,0.20616126270691232,0.8598637282861338,0.9023481814376211
2020,3707,0.9134253497124694,0.4130560450525703,0.1080097002767063,0.8511396436883893,0.850508273788226
2022,3707,0.9412823116854905,0.436226509105541,-0.0014759111289365154,0.8028951041851511,0.8366277564998909
