ReefID,event_year,ReefName,region_block,ann_maxdhw,dhw_excess4,dhw_excess8,prop_acropora_pre,observed_pre_cover,histmDHW6,yrsince6,dhw10_load4,dhw_novelty10,secc3m_p10,cloudp_90,log_coastal_rain30,era5_wind_mean,era5_wind_calm_fraction,era5_coastal_distance_km,wqc_freqcc12,log1p_cyc_maxHrs4mw,programmes_observed,observations,reef_event_effect,ann_maxdhw_z,dhw_excess4_z,dhw_excess8_z,prop_acropora_pre_z,observed_pre_cover_z,histmDHW6_z,yrsince6_z,dhw10_load4_z,dhw_novelty10_z,secc3m_p10_z,cloudp_90_z,log_coastal_rain30_z,era5_wind_mean_z,era5_wind_calm_fraction_z,era5_coastal_distance_km_z,wqc_freqcc12_z,log1p_cyc_maxHrs4mw_z
11-016,2020,McSweeney Reef (11-016),Northern GBR,9.91,5.91,1.9100000000000001,0,0.08378462598709333,12.92,4,8.92,-3.01,12.633768958255375,0.8915336,6.002231593026269,5.774930477142334,0.13186813186813187,61.227214056639745,0.0525382609496303,0,ltmp,1,11-016__2020,1.3670900049227046,1.491357493867963,1.5249895627901568,-1.350756431369907,-1.3895905316679444,1.7936745163965266,-0.8299962606213039,0.6719192918418273,-0.693310365219409,0.23150966245862434,1.4460251389531416,0.19313512043156092,-0.26923343342166844,0.05458338720052416,-0.31045251403682944,-0.33964644852546244,-0.3811596855398968
11-016,2022,McSweeney Reef (11-016),Northern GBR,6.72,2.7199999999999998,0,0,0.10206708835116286,6.04,1,16.87,-6.2,12.536873099030522,0.8563678,6.048990046254762,4.911509990692139,0.25555555555555554,61.227214056639745,0,0,ltmp,1,11-016__2022,0.11475280821959842,0.03012097630959381,-0.4323258945331188,-1.350756431369907,-1.2545765737002923,0.017973337078376096,-1.0293002600122017,2.119976276694496,-1.5181618083070587,0.20480079470241322,1.1610936001720655,0.2893077122259675,-1.0303274397905056,1.0599702677062834,-0.31045251403682944,-0.5733410420390703,-0.3811596855398968
11-016,2024,McSweeney Reef (11-016),Northern GBR,5.43,1.4299999999999997,0,0,0.11197523789881832,6.72,2,19.59,-7.49,12.83212604079238,0.88888776,6.492034321653199,5.674314975738525,0.14285714285714285,61.227214056639745,0.175338227942203,0,ltmp,1,11-016__2024,-0.39167822116817796,-0.5607865809475523,-0.4323258945331188,-1.350756431369907,-1.1814059875984213,0.19347868619703043,-0.962865593548569,2.6154121256000633,-1.8517224232233813,0.2861858181619822,1.4245871718780707,1.200559332045988,-0.35792469830127616,0.143906999486327,-0.31045251403682944,0.20657810956044192,-0.3811596855398968
11-029,2020,Monsoon Reef (11-029),Northern GBR,9.9,5.9,1.9000000000000004,0.018217386861170054,0.11130694351519539,13.03,4,9.03,-3.13,13.06888043298411,0.88558125,6.002231593026269,5.81605863571167,0.10989010989010987,54.52924238766865,0.0476190485060215,0,ltmp,1,11-029__2020,1.363164182989466,1.4867768151295355,1.5147418378827053,-1.274179071047265,-1.1863412675417735,1.8220650875774853,-0.8299962606213039,0.6919553004372729,-0.7243392596302297,0.3514460037089945,1.3977961140237058,0.19313512043156092,-0.23297949287781694,-0.12406383737108181,-0.4387268483628909,-0.36152751827610347,-0.3811596855398968
11-029,2022,Monsoon Reef (11-029),Northern GBR,6.55,2.55,0,0.020203981877468212,0.12125299881007712,9.9,2,16.8,-6.48,17.23438752904548,0.86449766,6.048990046254762,4.895129680633545,0.25555555555555554,54.52924238766865,0,0,ltmp,1,11-029__2022,0.04801383535454264,-0.04775056224367347,-0.4323258945331188,-1.265828356230834,-1.112890751698447,1.014224289428385,-0.962865593548569,2.107226089406485,-1.5905625619323072,1.4996475786399275,1.2269659397711845,0.2893077122259675,-1.0447664715296232,1.0599702677062834,-0.4387268483628909,-0.5733410420390703,-0.3811596855398968
11-029,2024,Monsoon Reef (11-029),Northern GBR,5.4,1.4000000000000004,0,0.04414182150574954,0.16594303089337115,6.55,2,19.35,-7.63,12.603796212298862,0.88584393,6.492034321653199,5.711098670959473,0.14285714285714285,54.52924238766865,0.143377982925101,0,ltmp,1,11-029__2024,-0.40345568696789347,-0.5745286171628344,-0.4323258945331188,-1.1652048922549043,-0.7828598186046064,0.14960234891736685,-0.962865593548569,2.5716971977554546,-1.887922800036005,0.22324782222677989,1.399924483536329,1.200559332045988,-0.32550034608343487,0.143906999486327,-0.4387268483628909,0.06441625774300912,-0.3811596855398968
11-049,2020,U/N Reef (11-049),Northern GBR,10.27,6.27,2.2699999999999996,0.050260754565876614,0.14599440678948103,12.35,4,8.77,-2.08,9.480258513035997,0.9113746,6.002231593026269,5.81605863571167,0.10989010989010987,54.52924238766865,0.203230144417751,0,ltmp,1,11-049__2020,1.508419594519293,1.6562619284513522,1.8939076594584177,-1.1394837641202085,-0.9301781963286231,1.6465597384588309,-0.8299962606213039,0.6445974619389467,-0.45283643353554887,-0.637740005411511,1.6067872049648724,0.19313512043156092,-0.23297949287781694,-0.12406383737108181,-0.4387268483628909,0.33064369462649196,-0.3811596855398968
11-049,2022,U/N Reef (11-049),Northern GBR,5.8100000000000005,1.8100000000000005,0,0.048981308349736,0.19528219082275924,10.27,2,16.53,-6.54,9.779107491394416,0.8685637,6.048990046254762,4.895129680633545,0.25555555555555554,54.52924238766865,0.0498473599041463,0,ltmp,1,11-049__2022,-0.24249698770511177,-0.3867207888873073,-0.4323258945331188,-1.1448619566487799,-0.5661933747399354,1.1097198470370644,-0.962865593548569,2.0580467955813004,-1.6060770091377172,-0.5553637521236251,1.2599111033660817,0.2893077122259675,-1.0447664715296232,1.0599702677062834,-0.4387268483628909,-0.3516158021858857,-0.3811596855398968
11-162,2020,U/N Reef (11-162),Northern GBR,10.15,6.15,2.1500000000000004,0.03729779519442613,0.14626404721710973,11.38,4,8.98,-1.23,10.5406749790166,0.9007931,6.082761543160351,5.787719249725342,0.12087912087912088,54.4813962051613,0.185014326151332,0,ltmp,1,11-162__2020,1.4613097313204304,1.6012937835902228,1.770934960568998,-1.1939739727434433,-0.9281869316599323,1.3962065198631035,-0.8299962606213039,0.6828480238029796,-0.23304843145890233,-0.34544141408924944,1.5210504073486668,0.3587687863619311,-0.2579602955769101,-0.03474022508527877,-0.4396431611683937,0.24961820637575277,-0.3811596855398968
12-056,2020,Mantis Reef (12-056),Northern GBR,6.93,2.9299999999999997,0,0.3898113715032407,0.2570904842516588,9.63,3,11.1,-2.7,10.316786120270857,0.86309457,6.122627793421414,5.7065606117248535,0.17582417582417584,86.07130881755599,0.0892048905975771,0,ltmp+manta,2,12-056__2020,0.1971950688176085,0.12631522981657106,-0.4323258945331188,0.28782796500656194,-0.10974597914938679,0.9445383419842136,-0.8964309270849365,1.0689965530970245,-0.6131523879914557,-0.4071552785223265,1.2155973773398359,0.4407655238073564,-0.3295005866825611,0.41187783634373587,0.1653422302368009,-0.17655020292825782,-0.3811596855398968
12-056,2022,Mantis Reef (12-056),Northern GBR,10.45,6.449999999999999,2.4499999999999993,0.21517474702332873,0.25467210735377693,7.93,1,17.96,0.82,11.602511901377335,0.86043334,6.150357064439301,5.042386054992676,0.2111111111111111,86.07130881755599,0.050152366259106,0,ltmp+manta,2,12-056__2022,1.5790843893175874,1.7387141457430468,2.078366707792548,-0.44626259475603763,-0.12760542446580453,0.5057749691875773,-1.0293002600122017,2.3185149073220948,0.2970285147259509,-0.05275128094142486,1.1940347125078015,0.49779897291072867,-0.9149618795803158,0.6987058802392584,0.1653422302368009,-0.3502591083240597,-0.3811596855398968
12-056,2024,Mantis Reef (12-056),Northern GBR,8.73,4.73,0.7300000000000004,0.216141422466712,0.30719770956507364,10.45,2,24.41,-1.72,12.66766041794271,0.9071538,6.420027608820439,5.7271037101745605,0.15384615384615383,86.07130881755599,0.058949040699155,0,ltmp+manta,2,12-056__2024,0.9038430168005526,0.9508374027335194,0.315758023710856,-0.4421991440368352,0.26029032545893815,1.1561771453331788,-0.962865593548569,3.4933535931459576,-0.35974975030308676,0.24085167688623146,1.5725880956345808,1.0524562250873035,-0.3113921107456529,0.23323061177212978,0.1653422302368009,-0.3111307622314915,-0.3811596855398968
12-061,2020,Lagoon Reef (12-061),Northern GBR,4.75,0.75,0,0.3055923846646609,0.3313783433863824,7.25,3,7.65,-3.65,10.572139138107769,0.89417946,6.122627793421414,5.6665849685668945,0.16483516483516483,54.279648353109025,0.0899146378992373,0,ltmp+manta,2,12-061__2020,-0.6586341126284011,-0.8722727351606213,-0.4323258945331188,-0.06618920278451372,0.4388616258324327,0.3302696200689229,-0.8964309270849365,0.4405944653307721,-0.8587978020771193,-0.3367684731509141,1.4674632680785786,0.4407655238073564,-0.36473859977783757,0.3225542240579328,-0.44350687882841394,-0.1733931873711978,-0.3811596855398968
12-061,2022,Lagoon Reef (12-061),Northern GBR,7.71,3.71,0,0.277758232567382,0.3238460059751942,6.63,1,11.03,-0.69,12.853470440841097,0.8970187,6.150357064439301,5.084073066711426,0.13333333333333333,54.279648353109025,0.0484386681065906,0,ltmp+manta,2,12-061__2022,0.5034091796102176,0.4836081714139153,-0.4323258945331188,-0.1831909391296817,0.38323614900218983,0.17025003704897326,-1.0293002600122017,1.0562463658090135,-0.09341840661020928,0.2920692972166849,1.4904682621969765,0.49779897291072867,-0.8782153172037255,0.0664932021719645,-0.44350687882841394,-0.35788178151343414,-0.3811596855398968
12-061,2024,Lagoon Reef (12-061),Northern GBR,5.54,1.54,0,0.3241122180549288,0.4356202312947055,7.71,2,14.74,-2.86,11.813759591457586,0.9238961,6.420027608820439,5.631319999694824,0.16483516483516483,54.279648353109025,0.033256764816276,0,ltmp+manta,2,12-061__2024,-0.3484941799025535,-0.5103991148248498,-0.4323258945331188,0.011659501063605398,1.2086764129358842,0.4489938268256597,-0.962865593548569,1.7320062920735924,-0.6545242472058832,0.005478107427643033,1.7082428881242837,1.0524562250873035,-0.3958242143358894,0.3225542240579328,-0.44350687882841394,-0.42541216135593524,-0.3811596855398968
12-098,2020,Second Small Reef (12-098),Northern GBR,5.24,1.2400000000000002,0,0.3381494885521303,0.20263508107180572,8.12,3,9.17,-3.81,9.631728042073112,0.8624317,6.122627793421414,5.6665849685668945,0.16483516483516483,54.279648353109025,0.0909090936183779,0,manta,1,12-098__2020,-0.46626883789971074,-0.6478194769776743,-0.4323258945331188,0.07066561039214997,-0.511893095310587,0.5548132285001424,-0.8964309270849365,0.7174556750132949,-0.900169661291547,-0.5959881735735801,1.2102264610202353,0.4407655238073564,-0.36473859977783757,0.3225542240579328,-0.44350687882841394,-0.16896976488154494,-0.3811596855398968
12-098,2022,Second Small Reef (12-098),Northern GBR,8.46,4.460000000000001,0.46000000000000085,0.32711814112678345,0.3511430866922869,6.89,1,13.3,-0.59,10.10941957372081,0.8617877,6.150357064439301,5.084073066711426,0.13333333333333333,54.279648353109025,0.0462025976892283,0,manta,1,12-098__2022,0.7978458246031112,0.8271590767959773,0.03906945120966044,0.02429499351539015,0.5848220642463113,0.23735502347669402,-1.0293002600122017,1.4697167250059393,-0.06756099460119205,-0.46431484873693074,1.2050084392213567,0.49779897291072867,-0.8782153172037255,0.0664932021719645,-0.44350687882841394,-0.3678280103723276,-0.3811596855398968
13-040,2020,U/N Reef (13-040),Northern GBR,5.71,1.71,0,0.24399445805754702,0.16103326937437834,11.29,3,12.96,-5.58,9.122129427478438,0.8637562,5.968018555181919,5.706526756286621,0.17582417582417584,54.11748335007643,0.134420545296818,0,manta,1,13-040__2020,-0.28175520703749773,-0.43252757627158245,-0.4323258945331188,-0.3251180303308404,-0.8191178631806619,1.372977870715046,-0.8964309270849365,1.4077872438927435,-1.357845853851152,-0.7364565291342943,1.220958246536718,0.12276588673231037,-0.3295304298140666,0.41187783634373587,-0.44661253660707484,0.024572823498544918,-0.3811596855398968
13-056,2020,Sand Bank No 8 Reef (13-056),Northern GBR,6.05,2.05,0,0.28785802954717904,0.22178162534441867,11.13,3,12.75,-5.08,10.02358520015924,0.863756,5.968018555181919,5.706526756286621,0.17582417582417584,54.11748335007643,0.102302556138813,0,manta,1,13-056__2020,-0.1482772613073862,-0.2767844991650479,-0.4323258945331188,-0.14073612393574375,-0.3704979882308782,1.3316824944518335,-0.8964309270849365,1.3695366820287105,-1.228558793806066,-0.487974672291137,1.2209566260330535,0.12276588673231037,-0.3295304298140666,0.41187783634373587,-0.44661253660707484,-0.1182906874949086,-0.3811596855398968
13-056,2022,Sand Bank No 8 Reef (13-056),Northern GBR,7.49,3.49,0,0.1960642027905039,0.23172291934248443,7.99,1,18.79,-3.64,9.239130117534362,0.8766919,5.754086810743927,5.232616901397705,0.1,54.11748335007643,0.0947500755292494,0,manta,1,13-056__2022,0.417041097078969,0.38283323916851064,-0.4323258945331188,-0.5265943702643074,-0.2970826340367533,0.5212607352862821,-1.0293002600122017,2.469695699451367,-0.8562120608762177,-0.7042058634909104,1.3257699927847872,-0.3172480339412496,-0.7472758456056168,-0.20445508842830426,-0.44661253660707484,-0.15188475502149643,-0.3811596855398968
13-118a,2016,Creech Reef (North) (13-118a),Northern GBR,9.82,5.82,1.8200000000000003,0.0382842345426909,0.5454980628513275,0,35,0,6.19,8.97287003239158,0.68123835,5.760768972511061,4.80440092086792,0.12087912087912088,54.0042200125233,0.0454545468091965,0,manta,1,13-118a__2016,1.3317576075235573,1.4501313852221156,1.4327600386230916,-1.189827443826636,2.0201120191438204,-1.5409271168579073,1.229478399751305,-0.9528188597161356,1.6855715396101765,-0.7775991484024296,-0.2578959770416898,-0.30350419145795876,-1.1247427013580298,-0.03474022508527877,-0.44878166779278605,-0.37115540346027404,-0.3811596855398968
13-118a,2020,Creech Reef (North) (13-118a),Northern GBR,7.74,3.74,0,0.20553968253505506,0.3967609839208352,12.03,3,13.85,-4.29,8.932324573569156,0.8650788,5.8104660378115325,5.518789768218994,0.1868131868131868,54.0042200125233,0.0454545468091965,0,manta,1,13-118a__2020,0.5151866454099334,0.4973502076291979,-0.4323258945331188,-0.4867638922622727,0.9217051785850161,1.5639689859324053,-0.8964309270849365,1.5698967679831677,-1.0242852389348296,-0.7887753050149637,1.2316746372683909,-0.20128747459680676,-0.4950181598764582,0.5012014486295384,-0.44878166779278605,-0.37115540346027404,-0.3811596855398968
13-118a,2022,Creech Reef (North) (13-118a),Northern GBR,7.94,3.9400000000000004,0,0.18263395256926518,0.3979732078801178,8.52,1,22.11,-4.09,8.565957714490784,0.8848224,5.825020814971268,5.049399375915527,0.08888888888888889,54.0042200125233,0.0512481090234852,0,manta,1,13-118a__2022,0.5937030840747051,0.5889637823977477,-0.4323258945331188,-0.5830488507149129,0.9306573181506151,0.6580516691581744,-1.0293002600122017,3.0744188679684563,-0.9725704149167952,-0.8897625305544514,1.3916475179956327,-0.1713512695730528,-0.9087797277749203,-0.2947711852950605,-0.44878166779278605,-0.3453851525575646,-0.3811596855398968
13-121,2016,U/N Reef (13-121),Northern GBR,9.98,5.98,1.9800000000000004,0.03831330634452044,0.22067662178568376,0,35,0.13,5.85,9.100642177013013,0.63843316,6.0375282804736266,4.953568458557129,0.13186813186813187,61.79502527764437,0,0,manta,1,13-121__2016,1.3945707584553746,1.5234222450369554,1.596723637142319,-1.1897052395906007,-0.37865831702369696,-1.5409271168579073,1.229478399751305,-0.9291399404669723,1.5976563387795175,-0.7423793842048484,-0.6047258132608658,0.26573320011955537,-0.9932534436189463,0.05458338720052416,-0.29957823597222466,-0.5733410420390703,-0.3811596855398968
13-121,2020,U/N Reef (13-121),Northern GBR,7.390000000000001,3.3900000000000006,0,0.2860968037779288,0.11029911651666302,12.45,3,14.43,-5.06,9.1673858542223,0.86111,6.232378023024877,5.634306907653809,0.17582417582417584,61.79502527764437,0.141043918503803,0,manta,1,13-121__2020,0.37778287774658337,0.33702645178423596,-0.4323258945331188,-0.14813949201313092,-1.1937839582094119,1.6723693486233389,-0.8964309270849365,1.6755411769409725,-1.2233873114042622,-0.7239818173489797,1.1995173625550521,0.6664993388122645,-0.3931912935506706,0.41187783634373587,-0.29957823597222466,0.05403414333132809,-0.3811596855398968
13-121,2022,U/N Reef (13-121),Northern GBR,9.34,5.34,1.3399999999999999,0.1996493645654637,0.21666904425339273,7.39,1,21.21,-3.11,8.385951133364452,0.8855,6.23031663982748,5.2201762199401855,0.07777777777777778,61.79502527764437,0.0471606980463497,0,manta,1,13-121__2022,1.1433181547281055,1.2302588057775958,0.9408692430654094,-0.5115240296524363,-0.40825383286407024,0.366403074299234,-1.0293002600122017,2.910487888551173,-0.7191677772284263,-0.9393804606601553,1.3971377844101047,0.6622594944400327,-0.758242145619403,-0.38508728216181687,-0.29957823597222466,-0.3635662995837388,-0.3811596855398968
13-124,2016,U/N Reef (13-124),Northern GBR,7.04,3.04,0,0.03844998766280359,0.24797977140418176,0,35,0,5.18,14.136038731322603,0.68488103,5.760768972511061,4.80440092086792,0.12087912087912088,54.0042200125233,0.0478838722018932,0,manta,1,13-124__2016,0.24037911008323298,0.17670269593927357,-0.4323258945331188,-1.1891306953577037,-0.17702758361542828,-1.5409271168579073,1.229478399751305,-0.9528188597161356,1.424411678319102,0.6456029480127137,-0.22838109560327374,-0.30350419145795876,-1.1247427013580298,-0.03474022508527877,-0.44878166779278605,-0.3603495602538758,-0.3811596855398968
13-124,2020,U/N Reef (13-124),Northern GBR,6.23,2.2300000000000004,0,0.1306214585754571,0.22191174620791299,10.02,3,9.06,-3.79,13.00887686406768,0.8604491,5.8104660378115325,5.518789768218994,0.1868131868131868,54.0042200125233,0.268740687501728,0,ltmp+manta,2,13-124__2020,-0.07761246650909157,-0.19433228187335283,-0.4323258945331188,-0.8016850099070266,-0.3695370600777284,1.0451958216257944,-0.8964309270849365,0.6974196664178492,-0.8949981788897435,0.33490631460452364,1.1941624081965436,-0.20128747459680676,-0.4950181598764582,0.5012014486295384,-0.44878166779278605,0.6220400876579106,-0.3811596855398968
13-124,2022,U/N Reef (13-124),Northern GBR,5.55,1.5499999999999998,0,0.14891155162157527,0.30068493770289806,6.23,2,12.47,-4.47,11.354528812568503,0.91734326,5.825020814971268,5.049399375915527,0.08888888888888889,54.0042200125233,0.19731509407121,0,ltmp+manta,2,13-124__2022,-0.344568357969315,-0.5058184360864223,-0.4323258945331188,-0.7248020268425014,0.21219422719042497,0.0670115963909414,-0.962865593548569,1.3185359328766668,-1.0708285805510604,-0.12110660156871764,1.6551483819681267,-0.1713512695730528,-0.9087797277749203,-0.2947711852950605,-0.44878166779278605,0.3043330543167055,-0.3811596855398968
13-124,2024,U/N Reef (13-124),Northern GBR,7.65,3.6500000000000004,0,0.1774292151097992,0.3549965209722501,6.23,4,14.02,-2.37,12.104812878549716,0.9497714,6.655036804576533,5.196862697601318,0.1868131868131868,54.0042200125233,0.289484885761631,0,ltmp+manta,2,13-124__2024,0.4798542480107863,0.45612409898335055,-0.4323258945331188,-0.6049271288047201,0.613279249254855,0.0670115963909414,-0.8299962606213039,1.6008615085397657,-0.5278229283616989,0.08570551670129282,1.917897980441876,1.5358221598186592,-0.7787927144302129,0.5012014486295384,-0.44878166779278605,0.7143120222916326,-0.3811596855398968
13-127,2016,Rodda Reef (13-127),Northern GBR,8.24,4.24,0.2400000000000002,0.03839129477735246,0.35991753534805637,0,35,0,4.59,8.585858632381955,0.6329691,6.0375282804736266,4.918301582336426,0.16483516483516483,38.723631859261,0.0531173822866078,0,manta,1,13-127__2016,0.7114777420718622,0.7263841445505723,-0.1863804967542777,-1.1893774127531138,0.6496203949311111,-1.5409271168579073,1.229478399751305,-0.9528188597161356,1.2718529474659004,-0.8842769402677804,-0.6489984595192235,0.26573320011955537,-1.0243407394801813,0.3225542240579328,-0.7414235854274607,-0.3370704682209418,-0.3811596855398968
13-127,2020,Rodda Reef (13-127),Northern GBR,6.78,2.7800000000000002,0,0.4401544858242428,0.2615541165670949,11,3,11.24,-4.22,8.799171927347366,0.8955019,6.232378023024877,5.475623607635498,0.1868131868131868,38.723631859261,0.138582872747245,0,manta,1,13-127__2020,0.13830773981903008,0.05760504874015897,-0.4323258945331188,0.4994468340848978,-0.07678254928866243,1.298130001237973,-0.8964309270849365,1.0944969276730463,-1.0061850505285175,-0.8254781780559529,1.4781783624073193,0.6664993388122645,-0.5330685728717823,0.5012014486295384,-0.7414235854274607,0.04308720528462342,-0.3811596855398968
13-127,2024,Rodda Reef (13-127),Northern GBR,7.23,3.2300000000000004,0,0.3284942720325735,0.4008909239757581,6.99,2,19.16,-3.77,8.312145672099286,0.9558594,6.686516551675772,5.148830890655518,0.17582417582417584,38.723631859261,0.157033639186111,0,manta,1,13-127__2024,0.3149697268147661,0.26373559196939605,-0.4323258945331188,0.030079603186737858,0.9522043280912736,0.2631646336412022,-0.962865593548569,2.537089546545139,-0.8898266964879401,-0.9597245736118044,1.9672261119815875,1.600569572500852,-0.8211321318464139,0.41187783634373587,-0.7414235854274607,0.12515776272235765,-0.3811596855398968
13-130,2020,Davie Reef (13-130),Northern GBR,6.3,2.3,0,0.21771364805622542,0.2762379297068367,10.54,3,10.29,-4.24,9.073441184778432,0.88624376,6.232378023024877,5.748272895812988,0.15384615384615383,27.79877005838321,0.141628880087021,0,ltmp+manta,2,13-130__2020,-0.05013171297642177,-0.16226753070436067,-0.4323258945331188,-0.435590244176819,0.031655783063668924,1.179405794481236,-0.8964309270849365,0.9214586716214694,-1.0113565329303211,-0.7498772041348544,1.4031641134367112,0.6664993388122645,-0.29273174703879057,0.23323061177212978,-0.950648025955303,0.056636101541217565,-0.3811596855398968
13-130,2024,Davie Reef (13-130),Northern GBR,7.03,3.0300000000000002,0,0.4165932314736618,0.4471895523001292,6.3,4,15.94,-3.51,7.699275191473674,0.9391175,6.686516551675772,5.385504722595215,0.17582417582417584,27.79877005838321,0.19893148191917,0,ltmp+manta,2,13-130__2024,0.2364532881499945,0.1721220172008462,-0.4323258945331188,0.4004063582028382,1.2941145661143305,0.08507832350609684,-0.8299962606213039,1.9505809312966365,-0.8225974252644952,-1.1286593118933395,1.8315745604992129,1.600569572500852,-0.6125072060072937,0.41187783634373587,-0.950648025955303,0.3115228831055095,-0.3811596855398968
13-133,2024,Tydeman Reef (13-133),Northern GBR,7.18,3.1799999999999997,0,0.36088278135206137,0.38356413829938735,6.21,4,15.7,-3.4,7.14706133732328,0.9391175,6.686516551675772,5.385504722595215,0.17582417582417584,27.79877005838321,0.154226945103219,0,manta,1,13-133__2024,0.29534061714857296,0.24083219827725827,-0.4323258945331188,0.16622572377872138,0.824247936526559,0.06184967435803968,-0.8299962606213039,1.9068660034520277,-0.7941542720545762,-1.280874348961379,1.8315745604992129,1.600569572500852,-0.6125072060072937,0.41187783634373587,-0.950648025955303,0.11267335191463546,-0.3811596855398968
14-016,2020,Corbett Reef (14-016),Northern GBR,6.41,2.41,0,0.2911085559294725,0.16398403454885968,10.38,3,9.23,-3.97,8.50000012665987,0.8690469,5.880359799599462,5.454284191131592,0.15384615384615383,53.946045548395595,0.284078085042999,0,ltmp+manta,2,14-016__2020,-0.006947671710797304,-0.11188006458165817,-0.4323258945331188,-0.1270724337527296,-0.7973267894562166,1.1381104182180235,-0.8964309270849365,0.7283844069744472,-0.9415415205059746,-0.9079434157335232,1.2638262402189042,-0.05753027654411345,-0.5518789928877639,0.23323061177212978,-0.4498957798000563,0.6902621189771475,-0.3811596855398968
