max_rhat,min_bulk_ess,min_tail_ess,divergences,max_treedepth_hits,scheme,fold,n_analysis,n_assessment
1.0105870376274424,260.91485287253994,463.6932370464929,0,0,leave_one_event_out,2016,495,42
1.014609477601464,236.70814331487227,410.74562639708427,0,0,leave_one_event_out,2017,463,74
1.0208243803201094,157.1889604187208,424.61483788835005,0,0,leave_one_event_out,2020,427,110
1.012635627461243,302.04903054105336,563.8091500268561,0,0,leave_one_event_out,2022,444,93
1.0270431640058286,111.84608620135737,321.44951933893407,0,0,leave_one_event_out,2024,319,218
1.0152091671314205,289.0033179327026,480.51901643169293,0,0,reef_blocked_2024,1,444,46
1.0194087529012104,211.78384154181904,286.4827221172698,0,0,reef_blocked_2024,2,448,38
1.0117134374231596,214.2761589383755,365.76135991461194,0,0,reef_blocked_2024,3,444,46
1.0250476995165576,117.41507817372175,316.7533576937807,0,0,reef_blocked_2024,4,439,44
1.014189452037277,143.9357585879141,201.38636869601297,0,0,reef_blocked_2024,5,444,44
