scheme,programme_key,event_year,severe,cyclone_exposed,high_wq,high_relative_wq,cots_pressure,observations,mean_wq_gain_vs_core,mean_cyclone_gain_vs_core,mean_rrn_gain_vs_core,mean_weather_rrn_gain_vs_weather,mean_relative_wq_gain,mean_cots_gain,mean_full_gain_vs_weather
leave_one_event_out,ltmp,2016,FALSE,FALSE,FALSE,FALSE,FALSE,1,-0.010533266996181408,-0.004272239961553029,-0.013516984300211393,0.010994199422586948,-0.013635393731349428,-0.00456937050327836,-0.00721056481204084
leave_one_event_out,ltmp,2016,FALSE,FALSE,FALSE,FALSE,TRUE,12,-0.005244520528713954,8.570937407942604e-4,-0.005858378937348771,-0.0062098299226652,0.005746988517086684,0.002552931466335699,0.0020900900607571824
leave_one_event_out,ltmp,2016,FALSE,FALSE,TRUE,FALSE,TRUE,1,-0.003066910471251509,-0.005332308073979088,-0.007344004276886008,-0.01979249749673119,0.014263300730030803,0.008104131187500557,0.00257493442080017
leave_one_event_out,ltmp,2016,TRUE,FALSE,FALSE,FALSE,FALSE,4,0.02008023775281867,-0.01089377315600052,0.015093202530466962,0.033630403000983744,-0.023192462952810675,-0.025208898424559915,-0.014770958376386846
leave_one_event_out,ltmp,2016,TRUE,FALSE,FALSE,FALSE,TRUE,4,-0.019478501886453913,-0.0034085612235900953,-0.019860627216812386,-0.005642421423229661,0.013178257600649064,-0.006690362720059094,8.454734573603087e-4
leave_one_event_out,ltmp,2017,FALSE,FALSE,FALSE,FALSE,FALSE,1,-0.0029774853639402098,9.615141127820512e-6,1.0029049145890943e-4,-0.0030325369895200793,6.782916860703994e-5,0.006711707026977241,0.0037469992060642013
leave_one_event_out,ltmp,2017,FALSE,FALSE,FALSE,FALSE,TRUE,12,0.013425504525138271,0.0034359204188406734,2.3128893817921307e-4,7.974310389025178e-4,-0.0021328734790617473,-0.022658701617527224,-0.023994144057686455
leave_one_event_out,ltmp,2017,TRUE,FALSE,FALSE,FALSE,TRUE,5,0.005861774725406904,0.010710275774566047,0.02027777820278197,-0.0016655890431246517,-0.005082257408796059,0.017807995645906845,0.011060149193986134
leave_one_event_out,ltmp,2017,TRUE,TRUE,FALSE,FALSE,FALSE,1,0.0317925046378833,0.009330764006944658,0.022710490814163764,0.010931681164389695,-0.0036618474464610307,-0.009254433777032722,-0.001984600059104058
leave_one_event_out,ltmp,2020,FALSE,FALSE,FALSE,FALSE,FALSE,13,0.01140976623204676,0.013381497937227095,0.010778550888786525,0.0011210109600040417,-9.966464188844936e-4,-0.0017879735057234486,-0.0016636089646039005
leave_one_event_out,ltmp,2020,FALSE,FALSE,FALSE,FALSE,TRUE,23,0.0014168633781191352,0.007913704682420643,0.001211045812486385,-1.9976385655009036e-5,6.540177506992128e-4,1.0264478530801141e-4,7.366861503522151e-4
leave_one_event_out,ltmp,2020,FALSE,FALSE,FALSE,TRUE,FALSE,1,0.07257489747928308,0.016574581174035263,0.028182347629646387,0.018794235464967946,-0.027464315306278048,-0.003128160492723353,-0.011798240334033455
leave_one_event_out,ltmp,2020,FALSE,FALSE,FALSE,TRUE,TRUE,7,0.0337398708040907,0.014110387449191996,0.02584402552547102,0.005482412113379272,-0.007819853305700794,7.68607899915931e-4,-0.0015688332924055904
leave_one_event_out,ltmp,2020,FALSE,FALSE,TRUE,TRUE,TRUE,1,0.006540454657155248,0.0072614968456466145,0.020397607055194597,-0.004545351643811042,0.0050983452978927285,-0.006267527008783996,-0.00571453335470231
leave_one_event_out,ltmp,2020,TRUE,FALSE,FALSE,FALSE,TRUE,1,0.01998528178031067,0.002395053417686255,0.019452276551844117,7.786954272740454e-4,-0.009950360778592404,-0.043502302357582734,-0.05267396770890109
leave_one_event_out,ltmp,2020,TRUE,FALSE,TRUE,FALSE,TRUE,1,-0.0021918307086947197,0.011552991201384921,0.002424561306717088,0.005952324016198662,-0.005159288366657189,0.00899548335169248,0.009788519001233953
leave_one_event_out,ltmp,2022,FALSE,FALSE,FALSE,FALSE,FALSE,10,-0.005808502887096957,0.0052870373235052595,0.009008237013668844,-3.897169757559187e-4,0.007365572170284021,-0.005635688335827959,0.0013401668587001432
leave_one_event_out,ltmp,2022,FALSE,FALSE,FALSE,FALSE,TRUE,23,-7.55799434939566e-4,0.002052729013066157,0.007508475592030284,-0.0037107951823683633,-0.0013026720999082932,-5.994457670310709e-4,-0.005612913049307728
leave_one_event_out,ltmp,2022,FALSE,FALSE,FALSE,TRUE,FALSE,2,0.013356228971161333,0.007461592950793652,0.015722379589444974,0.011818807220650013,-0.0036220682299241526,0.003138315710924551,0.01133505470165041
leave_one_event_out,ltmp,2022,TRUE,FALSE,FALSE,FALSE,FALSE,1,-0.020444725892154042,-0.015780789738801537,-0.011218280954587379,0.0042198343302780605,-0.009586157584934224,0.010275977578447226,0.004909654323791063
leave_one_event_out,ltmp,2024,FALSE,FALSE,FALSE,FALSE,FALSE,9,-0.0035760853132993905,0,-0.0035760853132993905,-0.0014033277039118915,-0.010893450804983872,0.0028249216595486073,-0.009471856849347154
leave_one_event_out,ltmp,2024,FALSE,FALSE,FALSE,FALSE,TRUE,2,0.0027112641145527108,0,0.0027112641145527108,5.448382951880344e-4,0.010238393732548291,-0.0029856290282441345,0.007797602999492191
leave_one_event_out,ltmp,2024,FALSE,FALSE,FALSE,TRUE,FALSE,2,-0.0027938705451476488,0,-0.0027938705451476488,0.0013514974201841016,0.0037061376487134744,-0.011868728004637815,-0.006811092935740238
leave_one_event_out,ltmp,2024,FALSE,FALSE,FALSE,TRUE,TRUE,9,0.003717672012865072,0,0.003717672012865072,-0.0021808360885406087,-0.0012767182556978499,0.006445359195040943,0.0029878048508024837
leave_one_event_out,ltmp,2024,FALSE,FALSE,TRUE,TRUE,FALSE,1,-0.0035617678589647678,0,-0.0035617678589647678,-0.0037188388383288945,-0.002957876053475625,-0.0030269572780458193,-0.009703672169850339
leave_one_event_out,ltmp,2024,FALSE,FALSE,TRUE,TRUE,TRUE,2,-0.0028787484903977506,0,-0.0028787484903977506,0.001973249618705264,-0.007080711970216931,-0.004737949009326656,-0.009845411360838323
leave_one_event_out,ltmp,2024,FALSE,TRUE,FALSE,FALSE,FALSE,15,-0.0035915006512242495,0,-0.0035915006512242495,-0.0024554061058162597,0.0010984247635174092,-0.006785287605184268,-0.008142268947483117
leave_one_event_out,ltmp,2024,FALSE,TRUE,FALSE,FALSE,TRUE,16,-0.003949672025747793,0,-0.003949672025747793,8.151702182130867e-5,-0.0069003629459257546,0.0019808057244771913,-0.004838040199627255
leave_one_event_out,ltmp,2024,FALSE,TRUE,FALSE,TRUE,FALSE,1,0.0057801783377705515,0,0.0057801783377705515,0.009743444505096135,1.588801615025892e-4,0.010341845240487427,0.020244169907086152
leave_one_event_out,ltmp,2024,FALSE,TRUE,FALSE,TRUE,TRUE,6,0.004638017867549031,0,0.004638017867549031,0.0024102241365240606,-0.027021920401970333,0.007647673375271097,-0.016964022890175175
leave_one_event_out,ltmp,2024,TRUE,FALSE,FALSE,FALSE,FALSE,3,0.01731448258786981,0,0.01731448258786981,0.024014134934704473,0.007814326075895784,-0.02565987553415222,0.006168585476448035
leave_one_event_out,ltmp,2024,TRUE,FALSE,FALSE,FALSE,TRUE,3,-0.004315674777265123,0,-0.004315674777265123,0.00640838129967683,-0.015372622714232074,-0.03766584251706748,-0.04663008393162272
leave_one_event_out,ltmp,2024,TRUE,FALSE,FALSE,TRUE,FALSE,1,0.01734668183555993,0,0.01734668183555993,0.04304810975936485,-0.04373490215226472,-0.009780776498042543,-0.010467568890942414
leave_one_event_out,ltmp,2024,TRUE,FALSE,FALSE,TRUE,TRUE,1,0.03130514474341256,0,0.03130514474341256,0.04421215976909143,-0.053967317373944834,-0.06594036737637499,-0.07569552498122839
leave_one_event_out,ltmp,2024,TRUE,FALSE,TRUE,TRUE,TRUE,2,-0.005111443023324086,0,-0.005111443023324086,-0.0033335820864826837,-0.010886067626310059,-0.0011115031180453094,-0.015331152830838052
leave_one_event_out,ltmp,2024,TRUE,TRUE,FALSE,FALSE,TRUE,2,0.02261467517041691,0,0.02261467517041691,0.015353667480967198,0.042965242925047976,0.014671018889161273,0.07298992929517645
leave_one_event_out,manta,2016,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.013549775512725584,0.0053242932903612705,0.016380231948697838,-0.0029385526192368117,0.007765773242916364,0.005478711236074137,0.01030593185975369
leave_one_event_out,manta,2016,FALSE,FALSE,FALSE,FALSE,TRUE,12,-0.0012500391187304455,9.122479736378639e-4,-0.00196318294757154,-0.010113031384131058,0.008471614417188538,-0.0032786867725961904,-0.004920103739538709
leave_one_event_out,manta,2016,TRUE,FALSE,FALSE,FALSE,FALSE,5,0.01321621373085317,-4.07081080980278e-4,0.009872291442542327,0.026071265829803958,-0.016182743094341246,-0.020347674432293066,-0.010459151696830352
leave_one_event_out,manta,2016,TRUE,FALSE,FALSE,FALSE,TRUE,2,-3.998843075430081e-4,-0.003800773015099207,-0.0027542071247051436,0.011499505042487618,-0.009950691325567682,0.0021070879745814786,0.0036559016915014148
leave_one_event_out,manta,2017,FALSE,FALSE,FALSE,FALSE,FALSE,3,-0.013795948260084687,-4.5996956890470043e-4,-0.004336128053730396,-6.638486947311272e-4,0.003323696343101208,0.0033397241485008545,0.005999571796870935
leave_one_event_out,manta,2017,FALSE,FALSE,FALSE,FALSE,TRUE,14,0.00696171641377407,0.003850726029893998,5.363353580308631e-4,0.004927999793477706,-0.0020586637316722532,-0.02579674014777307,-0.022927404085967617
leave_one_event_out,manta,2017,TRUE,FALSE,FALSE,FALSE,TRUE,6,-0.013766229431676422,0.004513232150016785,0.005534165149384884,-0.005332757170266224,-0.0017275969019867447,0.04334118319127225,0.03628082911901929
leave_one_event_out,manta,2020,FALSE,FALSE,FALSE,FALSE,FALSE,23,0.010103350015437395,0.010829386353454455,0.009976302363159276,2.874818756919642e-4,-0.001027097622731145,-6.845660852223197e-4,-0.0014241818322615004
leave_one_event_out,manta,2020,FALSE,FALSE,FALSE,FALSE,TRUE,22,0.0012300090539346723,0.0019362017396419105,-0.005094634283695178,-4.28681259906687e-4,0.001608923043400325,0.0012804797598224716,0.0024607215433161095
leave_one_event_out,manta,2020,FALSE,FALSE,FALSE,TRUE,FALSE,4,0.07430957605499093,6.464852405642235e-4,0.04921416599996895,0.029343190004229518,-0.03306125364460081,-0.006614782687391473,-0.010332846327762765
leave_one_event_out,manta,2020,FALSE,FALSE,FALSE,TRUE,TRUE,13,0.02703834949401034,0.005015058862555918,0.019867557679603316,0.007794527238239004,-0.009847624066612463,-0.002761329633561047,-0.004814426461934506
leave_one_event_out,manta,2020,TRUE,FALSE,FALSE,FALSE,TRUE,1,-0.029571511743363296,-0.021746132878209756,-0.033295917017101453,-0.0057670684804426164,0.0020508978725154725,-0.0019401603112246535,-0.005656330919151797
leave_one_event_out,manta,2022,FALSE,FALSE,FALSE,FALSE,FALSE,16,0.00474924710010966,0.003844084503732354,0.007085068788130895,0.0015581616075911013,0.0013110250439180857,-2.9032668008222267e-4,0.0025788599714269642
leave_one_event_out,manta,2022,FALSE,FALSE,FALSE,FALSE,TRUE,25,0.005067261358588522,0.002995386508059955,0.007007567839188939,5.026070347690012e-4,-7.960196730809194e-4,-5.559444517238242e-4,-8.493570900357422e-4
leave_one_event_out,manta,2022,FALSE,FALSE,FALSE,TRUE,FALSE,6,0.015846722675798147,0.007746319281188138,0.008992836899491695,0.013938604466223838,-0.0025448602275908137,0.0025275600496475433,0.013921304288280568
leave_one_event_out,manta,2022,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.002031288670918665,0.008291616673949722,0.013273673704938782,0.006734019634248752,0.00939858238029925,-0.0075414095937583,0.008591192420789703
leave_one_event_out,manta,2022,TRUE,FALSE,FALSE,FALSE,TRUE,3,-0.002163677375772388,-0.005139194260139951,0.0010047665563546193,0.0020982497019391235,-0.012138263116890147,0.01016124271875568,1.2122930380465784e-4
leave_one_event_out,manta,2024,FALSE,FALSE,FALSE,FALSE,FALSE,6,-0.001411260380591853,0,-0.001411260380591853,-0.007916572067994706,-0.0010270189905700704,7.88542382023992e-4,-0.008155048676540783
leave_one_event_out,manta,2024,FALSE,FALSE,FALSE,FALSE,TRUE,1,0.013938921543984708,0,0.013938921543984708,0.01730069782460711,0.019368442857530047,0.001956886879829256,0.03862602756196641
leave_one_event_out,manta,2024,FALSE,FALSE,FALSE,TRUE,FALSE,1,0.0038639219826937694,0,0.0038639219826937694,0.004830029606347548,0.01206879993369715,5.706776996598391e-4,0.017469507239704536
leave_one_event_out,manta,2024,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.004021692537357964,0,0.004021692537357964,-0.009455885807491817,0.031488241896837105,-0.009170989902776813,0.012861366186568478
leave_one_event_out,manta,2024,FALSE,FALSE,TRUE,TRUE,TRUE,1,-0.0072266871030606805,0,-0.0072266871030606805,-0.003990878690121463,-0.012083061114726124,-3.138855796946949e-5,-0.016105328362817056
leave_one_event_out,manta,2024,FALSE,TRUE,FALSE,FALSE,FALSE,11,1.0278899903558622e-4,0,1.0278899903558622e-4,0.001949344303757489,-0.0026427616701977645,-0.006775913930988157,-0.007469331297428433
