model,effect,posterior_mean,posterior_sd,q025,q50,q975,probability_positive
weather_rrn,rainfall_mean,0.4542701355624365,0.1159873715420006,0.22893647488133068,0.4525930329815207,0.6842729789795282,0.9997916666666666
weather_rrn,wq_mean,0.29132405552266083,0.14971921113431655,0.00877311700295472,0.29217743187494905,0.5938442185006751,0.9785416666666666
weather_rrn,cyclone_mean,-0.07673107398802147,0.07378836497202998,-0.22143972947093657,-0.07715974559003039,0.06639014703137562,0.15020833333333333
weather_rrn,dhw_by_rainfall_mean,-0.06270261051072099,0.08009569626749875,-0.22024502046950573,-0.06235305882360137,0.09241122816456789,0.21958333333333332
weather_rrn,dhw_by_wq_mean,0.06892033398180668,0.07286846250851942,-0.07466088806796334,0.06950590853448382,0.21215565364619163,0.828125
weather_rrn,wq_zero_one,-0.03335437898352223,0.15552123783897437,-0.3402475666041527,-0.03718089257029237,0.2698924219431683,0.410625
weather_rrn,cyclone_zero_one,-0.0773779352792439,0.10043259240223255,-0.27376613192018107,-0.07634706349013991,0.1243686361765065,0.21895833333333337
weather_rrn_cots,rainfall_mean,0.4569706541237148,0.11564302218512836,0.22792596858171332,0.4574925811581881,0.6822460114587314,1
weather_rrn_cots,wq_mean,0.2870110693920946,0.1500834198707859,-0.00565726814530162,0.2885955194154711,0.5871351316037507,0.9714583333333332
weather_rrn_cots,cyclone_mean,-0.0742369226248749,0.0746344181291471,-0.22065076266479233,-0.07377537327695573,0.06916381009120048,0.15958333333333333
weather_rrn_cots,dhw_by_rainfall_mean,-0.06108445314215216,0.0803953117624258,-0.22446093779692863,-0.06180192806455958,0.0983946005789518,0.22291666666666668
weather_rrn_cots,dhw_by_wq_mean,0.07100929600813431,0.073556371277546,-0.06910711300834951,0.07009790430486523,0.21704207389374977,0.8295833333333333
weather_rrn_cots,wq_zero_one,-0.02855875423459919,0.1575298437038158,-0.3417900968545006,-0.03336406279625602,0.2883665128625057,0.4197916666666667
weather_rrn_cots,cyclone_zero_one,-0.0944396392582333,0.10260490542063716,-0.2948973413508839,-0.09592326290315371,0.10832411904625082,0.18020833333333333
weather_rrn_cots,cots_mean,0.04963992886152993,0.07328274467328297,-0.09607095386940125,0.05037700444319042,0.19041065803641383,0.7541666666666667
weather_rrn_cots,cots_zero_one,-0.14075349467184428,0.10104085246833146,-0.3449932394555178,-0.142732175232072,0.05498893538955051,0.07645833333333334
