model,n,events,flood30_cells,average_precision,roc_auc,balanced_brier,salinity_rmse,salinity_mae,salinity_r2
imos_kd490,15120,4,47,0.1589873951703323,0.9799048884083277,0.4008671579881717,0.6412167381985224,0.34046591285103395,0.24414339898882942
rrn_wq_rainfall,15120,4,47,0.14642712063242647,0.9097752639283149,0.39147970907810287,0.6275075919474029,0.3237683164243038,0.2761181658789357
rrn_wq,15120,4,47,0.13276046949859738,0.9775475663826118,0.39633736108619116,0.6554957989613563,0.3418726082278787,0.21010469151855993
spatial,15120,4,47,0.13117695932303794,0.9732563933537635,0.4049662023271656,0.6594796136043298,0.3440210361494627,0.20047424408432524
all_proxies,15120,4,47,0.12650298766713075,0.9575187985844775,0.4205524968943032,0.6098208124712303,0.32172087867732707,0.3163494090547244
rainfall,15120,4,47,0.10147056994545964,0.9449784100356986,0.4415714293942858,0.6301951777393849,0.32726283668977524,0.26990418284919915
