year,n,flood30_cells,wq_vs_salinity_min,wq_vs_days_below30,rainfall_vs_salinity_min,kd490_vs_salinity_min
2016,3780,19,-0.3968545540740855,0.11283652633123917,0.05890882689383757,-0.24021031571450796
2017,3780,23,-0.6577437627612011,0.12062061219060763,0.05558055159315284,-0.3770267487395709
2020,3781,3,-0.23774015328314277,0.045824630453151174,-0.5037252308309218,-0.05504032009513757
2022,3779,2,-0.011748117550462813,0.0044644460618991095,-0.6978963363023898,0.03133707065265548
all_complete_years,15120,47,-0.29644985978324406,0.07790568498267428,-0.49011285150244166,-0.14918143797886568
