scheme,fold,programme_key,source_observation_id,ReefID,ReefName,event_year,region_block,observed_mortality,ann_maxdhw,prop_acropora_pre,wqc_freqcc12,wqc_prior10_percentile,wqc_prior10_delta,cyc_maxHrs4mw,cot_meanpertow,cot_idwmeanpertow,DISTURBANCE_TYPE,storm_name,description,tooltip,disturbance_text,predicted_mortality_core,predicted_mortality_weather,predicted_mortality_rrn_wq,predicted_mortality_rrn_cyclone,predicted_mortality_rrn_both,predicted_mortality_weather_rrn,predicted_mortality_weather_rrn_relative,predicted_mortality_weather_rrn_full,absolute_error_core,absolute_error_weather,absolute_error_rrn_wq,absolute_error_rrn_cyclone,absolute_error_rrn_both,absolute_error_weather_rrn,absolute_error_weather_rrn_relative,absolute_error_weather_rrn_full,wq_gain_vs_core,cyclone_gain_vs_core,rrn_gain_vs_core,weather_gain_vs_core,weather_rrn_gain_vs_weather,relative_wq_gain_vs_weather_rrn,cots_gain_vs_relative,full_gain_vs_weather
leave_one_event_out,2016,manta,1273202,13-118a,Creech Reef (North) (13-118a),2016,Northern GBR,0.38243677390482966,9.82,0.0382842345426909,0.0454545468091965,0.25,-0.0044639337293301,0,NA,0,b,NA,Bleaching,coral bleaching,Bleaching  coral bleaching,0.20456262245518864,0.15728494504060647,0.2433296249551729,0.2046449296998742,0.24201183936720205,0.22316358290825344,0.16845312894476,0.14969552743340664,0.177874151449641,0.2251518288642232,0.13910714894965676,0.17779184420495547,0.14042493453762764,0.15927319099657622,0.2139836449600697,0.23274124647142305,0.03876700249998424,8.230724468552553e-5,0.03744921691201336,-0.04727767741458219,0.06587863786764697,-0.05471045396349347,-0.01875760151135336,-0.007589417607199861
leave_one_event_out,2016,manta,1273145,13-121,U/N Reef (13-121),2016,Northern GBR,0.39358480326995926,9.98,0.03831330634452044,0,0,-0.1177166627589395,0,0,0,b,NA,Bleaching,coral bleaching,Bleaching  coral bleaching,0.15570963421842732,0.13188455450011477,0.17928583125830885,0.15255936044284651,0.18233515892639848,0.15931850706907694,0.138997086529467,0.11437346535314842,0.23787516905153192,0.2617002487698445,0.2142989720116504,0.24102544282711277,0.2112496443435608,0.23426629620088232,0.2545877167404923,0.27921133791681085,0.023576197039881508,-0.0031502737755808585,0.02662552470797111,-0.023825079718312575,0.027433952568962167,-0.020321420539609975,-0.024623621176318555,-0.017511089146966363
leave_one_event_out,2016,manta,4285232,13-124,U/N Reef (13-124),2016,Northern GBR,0.12249764773467146,7.04,0.03844998766280359,0.0478838722018932,0,-0.1206447912436713,0,NA,0.0311,m,NA,COTS/bleaching,"coral bleaching, crown-of-thorns starfish","COTS/bleaching  coral bleaching, crown-of-thorns starfish",0.18978868437754037,0.1296477065117444,0.18654520792563156,0.18171600680353123,0.1766344820290458,0.17141133484774224,0.12747082817308605,0.1253696364955849,0.06729103664286888,0.00715005877707293,0.0640475601909601,0.05921835906885979,0.05413683429437434,0.04891368711307077,0.00497318043841459,0.00287198876091344,0.0032434764519087833,0.00807267757400909,0.013154202348494543,0.060140977865795954,-0.041763628335997845,0.04394050667465618,0.00210119167750115,0.0042780700161594905
leave_one_event_out,2016,manta,4285439,13-127,Rodda Reef (13-127),2016,Northern GBR,0.26680976007009627,8.24,0.03839129477735246,0.0531173822866078,0.1,-0.16094394868903422,0,0,0,b,NA,Bleaching,coral bleaching,Bleaching  coral bleaching,0.0843762838177557,0.10096036075610304,0.08632112983864408,0.08817944187273552,0.08068416847160087,0.11304480042073987,0.10656820479081212,0.10147842958837164,0.18243347625234055,0.16584939931399323,0.18048863023145215,0.17863031819736075,0.1861255915984954,0.15376495964935638,0.16024155527928413,0.16533133048172463,0.0019448460208884022,0.0038031580549797994,-0.0036921153461548506,0.01658407693834732,0.012084439664636848,-0.0064765956299277505,-0.0050897752024405,5.180688322685978e-4
leave_one_event_out,2016,ltmp,4171462,14-114,MacGillivray Reef (14-114),2016,Northern GBR,0,8.61,0.01220657509751586,0,0.25,-0.02272727340459825,0,0,0.027,m,NA,bleaching in sector. COTS and cyclone,NA,bleaching in sector. COTS and cyclone,0.1485984053524492,0.14427365558501562,0.17744107070582074,0.13807471149653866,0.185425389634223,0.1754439651076362,0.14541727833431173,0.12274129487945286,0.1485984053524492,0.14427365558501562,0.17744107070582074,0.13807471149653866,0.185425389634223,0.1754439651076362,0.14541727833431173,0.12274129487945286,-0.028842665353371544,0.010523693855910538,-0.036826984281773806,0.004324749767433578,-0.031170309522620593,0.030026686773324485,0.02267598345485887,0.02153236070556276
leave_one_event_out,2016,manta,4206382,14-114,MacGillivray Reef (14-114),2016,Northern GBR,0.14105772044354065,8.61,0.01220657509751586,0,0.25,-0.02272727340459825,0,0,0.027,m,NA,bleaching in sector. COTS and cyclone,"coral bleaching, crown-of-thorns starfish, Cyclone Nathan","bleaching in sector. COTS and cyclone  coral bleaching, crown-of-thorns starfish, Cyclone Nathan",0.12560639804448087,0.13592606637891244,0.16223438091460476,0.1198156599729317,0.1712062564534939,0.1736259975479691,0.13813522900133868,0.11682090252545745,0.01545132239905977,0.0051316540646282,0.02117666047106411,0.02124206047060894,0.03014853600995326,0.03256827710442844,0.00292249144220196,0.02423681791808321,-0.005725338072004342,-0.005790738071549171,-0.014697213610893491,0.01031966833443157,-0.02743662303980024,0.029645785662226476,-0.021314326475881253,-0.01910516385345501
leave_one_event_out,2016,ltmp,4172980,14-123,Martin Reef (14-123),2016,Northern GBR,0.48564340982446613,7.87,0.0124304648166445,0.134816429542636,0.3,-0.009969721539405,0,0.0689999982714653,0.1005,m,Nathan,Nathan and bleaching 2016 COTS removal-317,"Cyclone Nathan, coral bleaching","Nathan and bleaching 2016 COTS removal-317 Nathan Cyclone Nathan, coral bleaching",0.06749416409560212,0.08307867130822381,0.03010196882152851,0.06624033709948571,0.03192592323084545,0.04975287548596205,0.09957108142674478,0.08370644974273413,0.418149245728864,0.4025647385162423,0.4555414410029376,0.41940307272498045,0.45371748659362066,0.4358905343385041,0.3860723283977213,0.401936960081732,-0.03739219527407356,-0.001253826996116425,-0.03556824086475663,0.015584507212621723,-0.033325795822261806,0.04981820594078279,-0.0158646316840107,6.277784345102844e-4
leave_one_event_out,2016,ltmp,4175205,14-126,Linnet Reef (14-126),2016,Northern GBR,0.25182298239511186,7.76,0,0.13553215481521,0.3,-0.00954728544354649,0,NA,0.1005,m,Nathan,"0+ bleaching in sector.  Cyclone Ita April 2014, Cyclone Nathan March 2015, COTS removal in 2014 - 261","Cyclone Nathan, coral bleaching","0+ bleaching in sector.  Cyclone Ita April 2014, Cyclone Nathan March 2015, COTS removal in 2014 - 261 Nathan Cyclone Nathan, coral bleaching",0.06144052439379505,0.0763726711986939,0.02654507230548856,0.06115342408428748,0.02679206734437425,0.05103783129941584,0.08865057918760921,0.08106799653223078,0.1903824580013168,0.17545031119641796,0.2252779100896233,0.1906695583108244,0.2250309150507376,0.20078515109569603,0.16317240320750265,0.17075498586288107,-0.034895452088306494,-2.8710030950759857e-4,-0.034648457049420794,0.01493214680489885,-0.025334839899278067,0.03761274788819338,-0.007582582655378423,0.004695325333536893
leave_one_event_out,2016,ltmp,4173748,14-137,Carter Reef (14-137),2016,Northern GBR,0.6596385918260654,11.32,0.25728508433988473,0,0.2,-0.04761904850602175,0,0,0,m,NA,"0+ survey severe bleaching in sector 2016 summer, also severe storm damage.  Cyclone Nathan March 2015, 2015/16 summer bleaching","coral bleaching, Cyclone Nathan","0+ survey severe bleaching in sector 2016 summer, also severe storm damage.  Cyclone Nathan March 2015, 2015/16 summer bleaching  coral bleaching, Cyclone Nathan",0.38368680707625213,0.3151856478213045,0.43328994701766155,0.37035287334819095,0.4314782860334387,0.37636017338797206,0.32177540234708785,0.29642461657499775,0.2759517847498133,0.34445294400476095,0.2263486448084039,0.2892857184778745,0.22816030579262675,0.28327841843809337,0.3378631894789776,0.3632139752510677,0.04960313994140941,-0.013333933728061187,0.04779147895718655,-0.06850115925494765,0.06117452556666758,-0.05458477104088422,-0.0253507857720901,-0.018761031246306736
leave_one_event_out,2016,ltmp,4175974,14-138,Yonge Reef (14-138),2016,Northern GBR,0.5962824992034219,11.49,0.23432375159355373,0,0.25,-0.02380952425301075,0,0,0,m,NA,"bleaching mortality, storm dmage.  intact dead colonies observed,Cyclone Nathan March 2015, 2015/16 summer bleaching","coral bleaching, Cyclone Nathan","bleaching mortality, storm dmage.  intact dead colonies observed,Cyclone Nathan March 2015, 2015/16 summer bleaching  coral bleaching, Cyclone Nathan",0.448872481525291,0.37613800364626415,0.4766145857255537,0.42895183931644654,0.4769358462854345,0.3931773974755356,0.3772560091651138,0.34844634991745865,0.1474100176781309,0.22014449555715776,0.11966791347786826,0.16733065988697535,0.1193466529179874,0.20310510172788632,0.21902649003830804,0.2478361492859633,0.02774210420026263,-0.019920642208844458,0.028063364760143483,-0.07273447787902687,0.017039393829271443,-0.015921388310421725,-0.028809659247655245,-0.027691653728805526
