scheme,fold,programme_key,source_observation_id,ReefID,ReefName,event_year,region_block,observed_mortality,ann_maxdhw,prop_acropora_pre,wqc_freqcc12,wqc_prior10_percentile,wqc_prior10_delta,cyc_maxHrs4mw,cot_meanpertow,cot_idwmeanpertow,DISTURBANCE_TYPE,storm_name,description,tooltip,disturbance_text,predicted_mortality_core,predicted_mortality_weather,predicted_mortality_rrn_wq,predicted_mortality_rrn_cyclone,predicted_mortality_rrn_both,predicted_mortality_weather_rrn,predicted_mortality_weather_rrn_relative,predicted_mortality_weather_rrn_full,absolute_error_core,absolute_error_weather,absolute_error_rrn_wq,absolute_error_rrn_cyclone,absolute_error_rrn_both,absolute_error_weather_rrn,absolute_error_weather_rrn_relative,absolute_error_weather_rrn_full,wq_gain_vs_core,cyclone_gain_vs_core,rrn_gain_vs_core,weather_gain_vs_core,weather_rrn_gain_vs_weather,relative_wq_gain_vs_weather_rrn,cots_gain_vs_relative,full_gain_vs_weather,core_underprediction,wq_underprediction,cyclone_underprediction,weather_underprediction,weather_rrn_underprediction,relative_wq_underprediction,full_underprediction
reef_blocked_2024,5,mmp,4160243,16-006,Snapper Reef (16-006),2024,Central GBR,1,6.93,0.13825214405281794,0.897197855579998,0.9,0.15894063309421047,0,NA,0.001,m,Jasper,NA,"Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper","Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",0.19025381927383572,0.15695410481704292,0.18680675446056452,0.1965197261473919,0.1916984568631073,0.18811376750403885,0.1492513119579223,0.15800036857820124,0.8097461807261643,0.8430458951829571,0.8131932455394355,0.8034802738526081,0.8083015431368927,0.8118862324959611,0.8507486880420777,0.8419996314217988,-0.0034470648132711723,0.006265906873556215,0.0014446375892716024,-0.033299714456792806,0.031159662686995993,-0.03886245554611656,0.008749056620278917,0.0010462637611583503,0.8097461807261643,0.8131932455394355,0.8034802738526081,0.8430458951829571,0.8118862324959611,0.8507486880420777,0.8419996314217988
reef_blocked_2024,5,mmp,4160201,16-006,Snapper Reef (16-006),2024,Central GBR,1,6.93,0.2276483309360394,0.897197855579998,0.9,0.15894063309421047,0,NA,0.001,m,Jasper,NA,"Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper","Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",0.26784310096004116,0.22174807733574656,0.24973305187820785,0.26937721715029067,0.2534456187525169,0.2520595977698783,0.2422317129068815,0.21899180872814009,0.7321568990399588,0.7782519226642535,0.7502669481217922,0.7306227828497094,0.7465543812474831,0.7479404022301217,0.7577682870931185,0.7810081912718599,-0.018110049081833335,0.0015341161902494571,-0.014397482207524237,-0.04609502362429463,0.030311520434131767,-0.009827884862996794,-0.023239904178741444,-0.0027562686076064713,0.7321568990399588,0.7502669481217922,0.7306227828497094,0.7782519226642535,0.7479404022301217,0.7577682870931185,0.7810081912718599
reef_blocked_2024,5,mmp,4160180,16-006,Snapper Reef (16-006),2024,Central GBR,0.6942901257684129,6.93,0.2276483309360394,0.897197855579998,0.9,0.15894063309421047,0,NA,0.001,m,Jasper,NA,"Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper","Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",0.10628078251289592,0.10337076288754486,0.12077163616769582,0.11279086159525828,0.12888594674022852,0.12294020513932737,0.1018043752015576,0.1091570754089006,0.5880093432555169,0.590919362880868,0.573518489600717,0.5814992641731546,0.5654041790281843,0.5713499206290855,0.5924857505668553,0.5851330503595122,0.014490853654799851,0.006510079082362341,0.022605164227332608,-0.00291001962535109,0.019569442251782476,-0.021135829937769746,0.0073527002073430214,0.005786312521355752,0.5880093432555169,0.573518489600717,0.5814992641731546,0.590919362880868,0.5713499206290855,0.5924857505668553,0.5851330503595122
reef_blocked_2024,4,manta,4206192,16-015,Mackay Reef (16-015),2024,Central GBR,0.6125403307582871,3.52,0.11108575555250784,0.0670124787248476,0.8,0.04428520532024935,0,0,4e-4,m,NA,DHW 4.03,"coral bleaching, Cyclone Jasper, flood waters","DHW 4.03  coral bleaching, Cyclone Jasper, flood waters",0.10492343528880188,0.17932610574337807,0.08486316548806147,0.0963786349731603,0.0755905935515915,0.16263476089896026,0.1716604226452717,0.1712221624400583,0.5076168954694852,0.433214225014909,0.5276771652702256,0.5161616957851267,0.5369497372066956,0.4499055698593269,0.44087990811301536,0.44131816831822873,-0.020060269800740382,-0.008544800315641532,-0.029332841737210402,0.07440267045457616,-0.016691344844417866,0.00902566174631153,-4.3826020521336995e-4,-0.008103943303319705,0.5076168954694852,0.5276771652702256,0.5161616957851267,0.433214225014909,0.44990556985932684,0.44087990811301536,0.4413181683182288
reef_blocked_2024,5,manta,4285399,14-126,Linnet Reef (14-126),2024,Northern GBR,0.7147170912272767,6.73,0.6343256027311654,0.536864378405265,1,0.39753303003351054,0,0.024274891987443,0.0201,b,NA,DHW 6.73,coral bleaching,DHW 6.73  coral bleaching,0.24214023820931055,0.2402102617853132,0.22254475824158185,0.23080897035385495,0.21981027183106736,0.27751924723768323,0.2652220915138936,0.22630855371574235,0.4725768530179661,0.47450682944196343,0.4921723329856949,0.4839081208734217,0.4949068193962093,0.43719784398959344,0.4494949997133831,0.48840853751153435,-0.019595479967728813,-0.011331267855455629,-0.022329966378243193,-0.0019299764239973372,0.03730898545236999,-0.012297155723789643,-0.038913537798151265,-0.013901708069570917,0.47257685301796615,0.49217233298569485,0.4839081208734217,0.47450682944196343,0.43719784398959344,0.4494949997133831,0.48840853751153435
reef_blocked_2024,3,mmp,4155473,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,Southern GBR,0.5474064906348262,12.47,0.7596478225945502,0.742819670261997,0.3,-0.06790996624503798,0,NA,0,b,NA,further decline as a result of bleaching in 2024,coral bleaching,further decline as a result of bleaching in 2024  coral bleaching,0.10605719945085892,0.1566510131213961,0.133133330528728,0.14178932475123812,0.11889695225602588,0.1626717399349823,0.14525145389578298,0.14484535028592876,0.44134929118396726,0.3907554775134301,0.41427316010609816,0.405617165883588,0.4285095383788003,0.38473475069984386,0.4021550367390432,0.4025611403488974,0.027076131077869103,0.03573212530037928,0.01283975280516697,0.05059381367053717,0.00602072681358623,-0.017420286039199318,-4.061036098542137e-4,-0.011805662835467301,0.44134929118396726,0.41427316010609816,0.40561716588358804,0.3907554775134301,0.38473475069984386,0.4021550367390432,0.4025611403488974
reef_blocked_2024,3,mmp,4155453,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,Southern GBR,0.6554932597858075,12.47,0.7075329405300055,0.742819670261997,0.3,-0.06790996624503798,0,NA,0,b,NA,further decline as a result of bleaching in 2024,coral bleaching,further decline as a result of bleaching in 2024  coral bleaching,0.23345029209000656,0.27404035660467274,0.22280903572793395,0.24068056677050745,0.2204732080573508,0.26449618306558126,0.25064908877669123,0.2440643094391608,0.42204296769580096,0.3814529031811348,0.43268422405787355,0.4148126930153001,0.4350200517284567,0.39099707672022627,0.4048441710091163,0.4114289503466467,-0.010641256362072582,0.007230274680500859,-0.012977084032655739,0.04059006451466618,-0.009544173539091483,-0.013847094288890027,-0.006584779337530433,-0.029976047165511943,0.42204296769580096,0.43268422405787355,0.4148126930153001,0.3814529031811348,0.39099707672022627,0.4048441710091163,0.4114289503466467
reef_blocked_2024,2,manta,4067168,21-025,Penrith Reef (21-025),2024,Southern GBR,0.4209413337751398,8.25,0.02455375498852522,0,0.4,0,4,0,0,NA,NA,NA,NA,NA,0.03224118492656434,0.03842929418570383,0.03104563757714306,0.02364520233647844,0.02501427281618854,0.0431656732596654,0.04074165635008717,0.0445510468672011,0.3887001488485755,0.382512039589436,0.3898956961979968,0.39729613143866144,0.3959270609589513,0.37777566051547445,0.3801996774250527,0.37639028690793874,-0.0011955473494212887,-0.008595982590085927,-0.007226912110375794,0.006188109259139485,0.004736379073961572,-0.0024240169095782194,0.003809390517113931,0.006121752681497283,0.38870014884857546,0.38989569619799674,0.3972961314386614,0.38251203958943597,0.3777756605154744,0.3801996774250527,0.37639028690793874
reef_blocked_2024,3,mmp,4143649,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,Southern GBR,0.649764667289415,12.41,0.9702392451266664,0.874654366947519,0.1,-0.09219169675271,0,NA,NA,b,NA,further decline as a result of bleaching in 2024,coral bleaching,further decline as a result of bleaching in 2024  coral bleaching,0.2620211960850011,0.32722251041405626,0.23482528453312437,0.2646166725528105,0.23622672301222905,0.3282971393709189,0.28432535523344277,0.28535500954647053,0.3877434712044139,0.3225421568753587,0.4149393827562906,0.3851479947366045,0.41353794427718593,0.32146752791849603,0.3654393120559722,0.3644096577429444,-0.027195911551876728,0.002595476467809388,-0.02579447307277205,0.06520131432905518,0.0010746289568626666,-0.043971784137476155,0.0010296543130277613,-0.04186750086758573,0.3877434712044139,0.4149393827562906,0.38514799473660444,0.3225421568753587,0.32146752791849603,0.3654393120559722,0.3644096577429444
reef_blocked_2024,3,mmp,4164846,17-009a,Tobias Spit (17-009a),2024,Central GBR,0.5493500371623812,6.32,0.2715440227550341,0.748991096360115,0.8,0.14855903622271094,0,NA,1e-4,m,NA,clear depth limit to level of mortality,"flood waters at 2.0 m only, Cyclone Jasper at 2.0 m only, crown-of-thorns starfish at 5.0 m only","clear depth limit to level of mortality  flood waters at 2.0 m only, Cyclone Jasper at 2.0 m only, crown-of-thorns starfish at 5.0 m only",0.16453240569263325,0.2678297706552556,0.19325476207793,0.17767860861496776,0.1723843067987436,0.2634504566499787,0.2471167453687565,0.22080974686720897,0.3848176314697479,0.2815202665071256,0.35609527508445116,0.3716714285474134,0.3769657303636376,0.2858995805124025,0.3022332917936247,0.3285402902951722,0.028722356385296743,0.013146202922334482,0.007851901106110282,0.10329736496262232,-0.004379314005276913,-0.016333711281222185,-0.026306998501547496,-0.047020023788046594,0.3848176314697479,0.35609527508445116,0.3716714285474134,0.2815202665071256,0.2858995805124025,0.3022332917936247,0.3285402902951722
