tail_features,component,predictor,relative_influence
wqc_threshold_tail,gate,dhw_years_since_last_n6_capped8_z,0.26743168919321153
wqc_threshold_tail,gate,wqc_excess50_z,0.075683172883448
wqc_threshold_tail,gate,dhw_events_since2016_n6_z,0
wqc_threshold_tail,magnitude,dhw_x_acropora,8.915363016046864
wqc_threshold_tail,magnitude,log1p_cot_idwmeanpertow_z,8.132043806015332
wqc_threshold_tail,magnitude,dhw_novelty10_z,6.998134569796788
wqc_threshold_tail,magnitude,chla_wetseason_median_z,6.771973208960203
wqc_threshold_tail,magnitude,mcur_90_z,5.7366807843096925
wqc_threshold_tail,magnitude,log_coastal_rain30_z,4.798331500371797
wqc_threshold_tail,magnitude,sst_summer_excess_kurtosis_z,4.648266372142463
wqc_threshold_tail,magnitude,dhw_x_freshwater,4.353215637770484
wqc_threshold_tail,magnitude,sst_summer_skewness_z,4.321829198579585
wqc_threshold_tail,magnitude,observed_pre_cover_z,4.318742246830654
wqc_threshold_tail,magnitude,dhw_x_novelty,4.315750384953339
wqc_threshold_tail,magnitude,cots_outbreak_probability_z,3.7846726049204578
wqc_threshold_tail,magnitude,secc3m_p10_z,3.6965773202861456
wqc_threshold_tail,magnitude,dhw_x_current,3.5385391000064548
wqc_threshold_tail,magnitude,dhw_x_cloud,3.5344913491077428
wqc_threshold_tail,magnitude,dhw10_load4_z,3.0828309354447168
wqc_threshold_tail,magnitude,programme_factor,2.6294204728164168
wqc_threshold_tail,magnitude,wqc_prior10_percentile_z,2.4851425412801382
wqc_threshold_tail,magnitude,prop_acropora_pre_z,2.129624114042265
wqc_threshold_tail,magnitude,cloudp_90_z,2.0919136245335723
wqc_threshold_tail,magnitude,dhw_x_wqc_excess50,1.8523990148792653
wqc_threshold_tail,magnitude,acropora_cover_pre_z,1.4814659329097755
wqc_threshold_tail,magnitude,wqc_freqcc12_z,1.4808672099714693
wqc_threshold_tail,magnitude,ann_maxdhw_z,1.3890818323427883
wqc_threshold_tail,magnitude,dhw_x_wqc_cumulative,1.2204382791677915
wqc_threshold_tail,magnitude,region_factor,0.9205534929607954
wqc_threshold_tail,magnitude,dhw_events_since2016_n6_z,0.29567217974573556
wqc_threshold_tail,magnitude,dhw_years_since_last_n6_capped8_z,0.2671881788378856
wqc_threshold_tail,magnitude,log1p_cyc_maxHrs4mw_z,0.25994033089214236
wqc_threshold_tail,magnitude,wqc_excess50_10yr_sum_z,0.2539453525538153
wqc_threshold_tail,magnitude,dhw_excess8_z,0.23618845555205553
wqc_threshold_tail,magnitude,wqc_excess50_z,0.058716951971362064
wqc_threshold_tail,magnitude,dhw_excess4_z,0
wqc_threshold_track_tail,gate,dhw_novelty10_z,7.665601154086452
wqc_threshold_track_tail,gate,ann_maxdhw_z,7.6221141568521995
wqc_threshold_track_tail,gate,observed_pre_cover_z,6.456063381401488
wqc_threshold_track_tail,gate,tc_proximity100_z,5.878512115755184
wqc_threshold_track_tail,gate,mcur_90_z,5.816288488577533
wqc_threshold_track_tail,gate,sst_summer_excess_kurtosis_z,5.575750075908079
wqc_threshold_track_tail,gate,dhw_x_acropora,5.208623923088658
wqc_threshold_track_tail,gate,chla_wetseason_median_z,4.691957485317124
wqc_threshold_track_tail,gate,wqc_freqcc12_z,4.608185616995253
wqc_threshold_track_tail,gate,cots_outbreak_probability_z,4.261337936572966
wqc_threshold_track_tail,gate,log_coastal_rain30_z,4.083843486456682
wqc_threshold_track_tail,gate,acropora_cover_pre_z,3.6240836512274006
wqc_threshold_track_tail,gate,dhw_x_cloud,3.4721755856188143
wqc_threshold_track_tail,gate,dhw_x_freshwater,2.875705416141963
wqc_threshold_track_tail,gate,dhw_x_wqc_cumulative,2.6977499848331217
wqc_threshold_track_tail,gate,prop_acropora_pre_z,2.620451190344258
wqc_threshold_track_tail,gate,dhw_excess4_z,2.4672157920436564
wqc_threshold_track_tail,gate,dhw_x_tc_track,2.3592065471593737
wqc_threshold_track_tail,gate,tc_wind_distance_index_z,2.341885138583932
wqc_threshold_track_tail,gate,cloudp_90_z,1.846619037100012
wqc_threshold_track_tail,gate,dhw_x_novelty,1.7559022471582653
wqc_threshold_track_tail,gate,sst_summer_skewness_z,1.741402731167969
wqc_threshold_track_tail,gate,programme_factor,1.4471611398758628
wqc_threshold_track_tail,gate,dhw_x_current,1.3747496594954598
wqc_threshold_track_tail,gate,secc3m_p10_z,1.2588564496863708
wqc_threshold_track_tail,gate,log1p_cot_idwmeanpertow_z,1.0814529716819632
wqc_threshold_track_tail,gate,dhw10_load4_z,1.0615941587868236
wqc_threshold_track_tail,gate,dhw_x_wqc_excess50,0.8596586659575703
wqc_threshold_track_tail,gate,log1p_cyc_maxHrs4mw_z,0.7376292375504613
wqc_threshold_track_tail,gate,wqc_prior10_percentile_z,0.6514828153205996
wqc_threshold_track_tail,gate,dhw_years_since_last_n6_capped8_z,0.6220108280197507
wqc_threshold_track_tail,gate,wqc_excess50_10yr_sum_z,0.477899119683834
wqc_threshold_track_tail,gate,dhw_excess8_z,0.44585258750948864
wqc_threshold_track_tail,gate,region_factor,0.30608992067068236
wqc_threshold_track_tail,gate,dhw_events_since2016_n6_z,0.0048873033707570466
wqc_threshold_track_tail,gate,wqc_excess50_z,0
wqc_threshold_track_tail,magnitude,dhw_x_acropora,9.890102121672463
wqc_threshold_track_tail,magnitude,mcur_90_z,6.999826244393591
wqc_threshold_track_tail,magnitude,sst_summer_skewness_z,5.442712540160975
