programme_key,source_observation_id,ReefID,ReefName,event_year,region_block,ann_maxdhw,prop_acropora_pre,observed_pre_cover,wqc_freqcc12,wqc_excess50,wqc_excess50_10yr_sum,wqc_prior10_percentile,log1p_cyc_maxHrs4mw,tc_min_distance_km,tc_nearest_name,tc_nearest_max_wind_ms,tc_wind_distance_index,observed_mortality,inla_prediction,scheme,fold,tail_features,learner,tail_probability,tail_magnitude,predicted_mortality,correction,error
mmp,4160243,16-006,Snapper Reef (16-006),2024,Central GBR,6.93,0.13825214405281794,0.5789794313776275,0.897197855579998,0.397197855579998,2.7295280414539898,0.9,0,45.43455551300602,Jasper,25.7,5.5233108410408365,1,0.11747171476240356,leave_one_event_out,2024,none,INLA only,,,0.11747171476240356,,-0.8825282852375964
mmp,4160201,16-006,Snapper Reef (16-006),2024,Central GBR,6.93,0.2276483309360394,0.5029984341764817,0.897197855579998,0.397197855579998,2.7295280414539898,0.9,0,45.43455551300602,Jasper,25.7,5.5233108410408365,1,0.11961608659943632,leave_one_event_out,2024,none,INLA only,,,0.11961608659943632,,-0.8803839134005637
mmp,4160243,16-006,Snapper Reef (16-006),2024,Central GBR,6.93,0.13825214405281794,0.5789794313776275,0.897197855579998,0.397197855579998,2.7295280414539898,0.9,0,45.43455551300602,Jasper,25.7,5.5233108410408365,1,0.11747171476240356,leave_one_event_out,2024,legacy_tail,Conservative tail (0.5 gate),0.025990462372126207,0.44016500329990466,0.12166518864913936,0.3226932885375011,-0.8783348113508607
mmp,4160243,16-006,Snapper Reef (16-006),2024,Central GBR,6.93,0.13825214405281794,0.5789794313776275,0.897197855579998,0.397197855579998,2.7295280414539898,0.9,0,45.43455551300602,Jasper,25.7,5.5233108410408365,1,0.11747171476240356,leave_one_event_out,2024,wqc_threshold_tail,Conservative tail (0.5 gate),0.03319374422730302,0.4150971459451779,0.12241136598151446,0.2976254311827743,-0.8775886340184855
mmp,4160201,16-006,Snapper Reef (16-006),2024,Central GBR,6.93,0.2276483309360394,0.5029984341764817,0.897197855579998,0.397197855579998,2.7295280414539898,0.9,0,45.43455551300602,Jasper,25.7,5.5233108410408365,1,0.11961608659943632,leave_one_event_out,2024,legacy_tail,Conservative tail (0.5 gate),0.0250537199495624,0.4469921928092991,0.12371708124101637,0.3273761062098628,-0.8762829187589837
mmp,4160201,16-006,Snapper Reef (16-006),2024,Central GBR,6.93,0.2276483309360394,0.5029984341764817,0.897197855579998,0.397197855579998,2.7295280414539898,0.9,0,45.43455551300602,Jasper,25.7,5.5233108410408365,1,0.11961608659943632,leave_one_event_out,2024,wqc_threshold_tail,Conservative tail (0.5 gate),0.029844728696015003,0.4244907699795109,0.12416553770531721,0.3048746833800746,-0.8758344622946828
mmp,4160243,16-006,Snapper Reef (16-006),2024,Central GBR,6.93,0.13825214405281794,0.5789794313776275,0.897197855579998,0.397197855579998,2.7295280414539898,0.9,0,45.43455551300602,Jasper,25.7,5.5233108410408365,1,0.11747171476240356,leave_one_event_out,2024,legacy_tail,Soft-gated tail,0.025990462372126207,0.44016500329990466,0.12585866253587516,0.3226932885375011,-0.8741413374641248
mmp,4160243,16-006,Snapper Reef (16-006),2024,Central GBR,6.93,0.13825214405281794,0.5789794313776275,0.897197855579998,0.397197855579998,2.7295280414539898,0.9,0,45.43455551300602,Jasper,25.7,5.5233108410408365,1,0.11747171476240356,leave_one_event_out,2024,wqc_threshold_tail,Soft-gated tail,0.03319374422730302,0.4150971459451779,0.12735101720062536,0.2976254311827743,-0.8726489827993746
mmp,4160243,16-006,Snapper Reef (16-006),2024,Central GBR,6.93,0.13825214405281794,0.5789794313776275,0.897197855579998,0.397197855579998,2.7295280414539898,0.9,0,45.43455551300602,Jasper,25.7,5.5233108410408365,1,0.11747171476240356,leave_one_event_out,2024,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),0.07105713745225026,0.4078278627895048,0.1277876531226374,0.2903561480271012,-0.8722123468773626
mmp,4160201,16-006,Snapper Reef (16-006),2024,Central GBR,6.93,0.2276483309360394,0.5029984341764817,0.897197855579998,0.397197855579998,2.7295280414539898,0.9,0,45.43455551300602,Jasper,25.7,5.5233108410408365,1,0.11961608659943632,leave_one_event_out,2024,legacy_tail,Soft-gated tail,0.0250537199495624,0.4469921928092991,0.12781807588259642,0.3273761062098628,-0.8721819241174036
mmp,4160201,16-006,Snapper Reef (16-006),2024,Central GBR,6.93,0.2276483309360394,0.5029984341764817,0.897197855579998,0.397197855579998,2.7295280414539898,0.9,0,45.43455551300602,Jasper,25.7,5.5233108410408365,1,0.11961608659943632,leave_one_event_out,2024,wqc_threshold_tail,Soft-gated tail,0.029844728696015003,0.4244907699795109,0.1287149888111981,0.3048746833800746,-0.8712850111888019
