scheme,tail_features,learner,programme_key,n,severe_n,observed_mean,predicted_mean,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_rmse,false_extreme_rate
leave_one_event_out,legacy_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.16043963624064705,0.20195460921895608,0.14440125601414042,-0.29545258935154384,0.048620470184713487,0.616500089234125,0.44924547596997366,0.40032714933193203,0.13507625272331156
leave_one_event_out,legacy_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.17133559933743872,0.20974291113007737,0.1522327921253816,-0.39729648753551605,0.05951643328150517,0.616500089234125,0.457365387743136,0.3949819852523624,0.1655773420479303
leave_one_event_out,none,INLA only,pooled,537,32,0.11181916605593356,0.14954367314385536,0.19730134559402282,0.1384017486091102,-0.23644293860434296,0.03772450708792181,0.616500089234125,0.4411255641968113,0.406936779846062,0.11328976034858387
leave_one_event_out,wqc_threshold_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.16042251155996248,0.2018420015009665,0.14451693888665726,-0.29400833125390635,0.048603345504028936,0.616500089234125,0.44847319816917647,0.40009846553043715,0.13725490196078433
leave_one_event_out,wqc_threshold_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.17130134997606963,0.2098319155367085,0.15233325213688878,-0.39848262471031526,0.059482183920136066,0.616500089234125,0.4558208321415417,0.39428671971485696,0.16339869281045752
leave_one_event_out,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.1587091334123948,0.20066708469405384,0.14351935996732437,-0.27898740239706155,0.04688996735646123,0.616500089234125,0.44988119742043925,0.39790630393471543,0.13071895424836602
leave_one_event_out,wqc_threshold_track_disease_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.16787459368093421,0.20637932770274264,0.1496325681587909,-0.35283979852148395,0.05605542762500066,0.616500089234125,0.45863683064406724,0.38990700575260395,0.15904139433551198
leave_one_event_out,wqc_threshold_track_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.15897616080420912,0.20064318068905687,0.1436637753669459,-0.2786827076800369,0.04715699474827558,0.616500089234125,0.45066881268987663,0.39686515858290067,0.13071895424836602
leave_one_event_out,wqc_threshold_track_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.1684086484645629,0.2064127135798998,0.14967989698748987,-0.3532775303141884,0.05658948240862935,0.616500089234125,0.4602120611829419,0.3879963187430126,0.1568627450980392
reef_blocked_5fold,legacy_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.12256829961292062,0.13609501738701293,0.09167276130424863,0.4117005597572294,0.010749133556987063,0.616500089234125,0.3891917108493555,0.30010327136382675,0.058823529411764705
reef_blocked_5fold,legacy_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.1352644109242629,0.14160556858029164,0.09564659092140629,0.3630950142288969,0.023445244868329326,0.616500089234125,0.41931030250815,0.2794103083785039,0.08061002178649238
reef_blocked_5fold,none,INLA only,pooled,537,32,0.11181916605593356,0.10987218830157836,0.13574374632480932,0.08980579911295915,0.41473352717414835,-0.001946977754355198,0.616500089234125,0.359073119190561,0.3253610702271464,0.037037037037037035
reef_blocked_5fold,wqc_threshold_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.12202309496356842,0.13653325666668903,0.0919697495056512,0.4079056960783116,0.010203928907634868,0.616500089234125,0.3867498031143424,0.30122961967949974,0.06535947712418301
reef_blocked_5fold,wqc_threshold_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.13417400162555848,0.14184997476421696,0.09551935134472794,0.3608945661319849,0.022354835569624934,0.616500089234125,0.4144264870381238,0.2810179675755969,0.0784313725490196
reef_blocked_5fold,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.12158167496121271,0.1364199777941521,0.09181135641549115,0.4088877857577812,0.009762508905279152,0.616500089234125,0.38745304673469794,0.3007896710685846,0.06753812636165578
reef_blocked_5fold,wqc_threshold_track_disease_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.13329116162084706,0.14128370271658539,0.0954105261902117,0.3659870614527664,0.021471995564913502,0.616500089234125,0.41583297427883487,0.280398959329818,0.07407407407407407
reef_blocked_5fold,wqc_threshold_track_tail,Conservative tail (0.5 gate),pooled,537,32,0.11181916605593356,0.1218578936456353,0.13574108814830368,0.091467989422442,0.41475644869204087,0.010038727589701743,0.616500089234125,0.39212306541852,0.29856113214233226,0.06753812636165578
reef_blocked_5fold,wqc_threshold_track_tail,Soft-gated tail,pooled,537,32,0.11181916605593356,0.13384359898969223,0.1401228128852244,0.0948313840075438,0.37636328071012926,0.02202443293375868,0.616500089234125,0.425173011646479,0.27706260841635116,0.0784313725490196
leave_one_event_out,legacy_tail,Conservative tail (0.5 gate),ltmp,199,12,0.0887202187883077,0.13065257110107564,0.17957730486291237,0.12179130883517657,-0.15827689681862167,0.041932352312767956,0.61388975696167,0.42233073773966806,0.33835507160703965,0.0898876404494382
leave_one_event_out,legacy_tail,Soft-gated tail,ltmp,199,12,0.0887202187883077,0.13854408167550225,0.18355359874021226,0.12610586439732838,-0.2101391260176546,0.04982386288719455,0.61388975696167,0.44010080332120216,0.3279252587247213,0.10112359550561797
leave_one_event_out,none,INLA only,ltmp,199,12,0.0887202187883077,0.12276106052664906,0.1783745525814602,0.11909212944389139,-0.1428133075754181,0.03404084173834136,0.61388975696167,0.40456067215813396,0.3525077370189077,0.07865168539325842
leave_one_event_out,wqc_threshold_tail,Conservative tail (0.5 gate),ltmp,199,12,0.0887202187883077,0.13143713517531072,0.1800597231972469,0.12235131406078492,-0.16450847001032565,0.04271691638700301,0.61388975696167,0.42014169455499967,0.33832713022543454,0.0898876404494382
leave_one_event_out,wqc_threshold_tail,Soft-gated tail,ltmp,199,12,0.0887202187883077,0.14011320982397235,0.18538568419530577,0.1270391821117238,-0.23441697030175468,0.05139299103566466,0.61388975696167,0.43572271695186543,0.3271113338100073,0.10674157303370786
leave_one_event_out,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),ltmp,199,12,0.0887202187883077,0.12953353968197381,0.17871020714806574,0.12138763251400733,-0.14711830970432338,0.04081332089366613,0.61388975696167,0.42113710566737783,0.33706490741604167,0.08426966292134831
leave_one_event_out,wqc_threshold_track_disease_tail,Soft-gated tail,ltmp,199,12,0.0887202187883077,0.1363060188372986,0.18087034677135347,0.12392462894256555,-0.17501723767767574,0.04758580004899089,0.61388975696167,0.4377135391766217,0.3245220387044776,0.10112359550561797
leave_one_event_out,wqc_threshold_track_tail,Conservative tail (0.5 gate),ltmp,199,12,0.0887202187883077,0.13045179947476115,0.17930886581800243,0.12206864672689648,-0.15481661154986193,0.04173158068645345,0.61388975696167,0.4210660760676376,0.3370983678475061,0.08426966292134831
