LOCATION_NAME,first_date,last_date,first_salinity,last_salinity,salinity_change_psu,first_chlorophyll,last_chlorophyll,chlorophyll_ratio
Lizard Island north,2023-11-18,2024-02-22,35.31234,33.80707,-1.5052699999999959,0.12491000000000001,0.30740333333333336,2.4609985856483334
MacGillivray,2023-11-19,2024-02-23,35.23946,34.11154,-1.1279200000000031,0.10016666666666667,0.28575333333333336,2.8527787021630617
Macgillivray Reef,2023-11-19,2023-11-19,35.29,35.29,0,,,
