programme_key,variant,variant_label,n,observed_mean,predicted_mean,bias_predicted_minus_observed,mae,rmse,predictive_r2
ltmp,all_rows,All training rows,12,0.61388975696167,0.387896810415558,-0.22599294654611207,0.24506087599892112,0.31396429239535867,-21.598414393642575
ltmp,exclude_low_dhw_ge05,Exclude DHW < 4 and loss >= 5%,12,0.61388975696167,0.39046193207383473,-0.22342782488783533,0.2428880262173012,0.31469824244762684,-21.704193900334058
ltmp,exclude_low_dhw_ge10,Exclude DHW < 4 and loss >= 10%,12,0.61388975696167,0.39139408741897835,-0.22249566954269173,0.24429695833728018,0.3135821544028409,-21.5434370762164
ltmp,exclude_low_dhw_ge20,Exclude DHW < 4 and loss >= 20%,12,0.61388975696167,0.3917242663249115,-0.2221654906367586,0.24378714831887463,0.3133491961439453,-21.509954755512137
manta,all_rows,All training rows,7,0.570184371369407,0.27365904941374775,-0.29652532195565934,0.29652532195565934,0.3401402631288828,-23.91602949785941
manta,exclude_low_dhw_ge05,Exclude DHW < 4 and loss >= 5%,7,0.570184371369407,0.2626941965056817,-0.3074901748637254,0.3074901748637254,0.3565010307510857,-26.37060072987126
manta,exclude_low_dhw_ge10,Exclude DHW < 4 and loss >= 10%,7,0.570184371369407,0.26269346584228287,-0.30749090552712416,0.30749090552712416,0.35650097796776026,-26.37059262492292
manta,exclude_low_dhw_ge20,Exclude DHW < 4 and loss >= 20%,7,0.570184371369407,0.2683523073474598,-0.30183206402194723,0.30183206402194723,0.34818639643707966,-25.108766146700024
