programme_key,variant,variant_label,dhw_band,n,observed_mean,predicted_mean,bias_predicted_minus_observed,mae,rmse,predictive_r2
ltmp,all_rows,All training rows,<4,22,0.03263734602924641,0.05617664748827533,0.023539301459028925,0.06931604306783984,0.10586744243298794,-1.3021003245957687
ltmp,all_rows,All training rows,4-<8,131,0.06721897854698504,0.06651990592337294,-6.990726236121141e-4,0.07688606480470588,0.12821534761423264,0.1327618363640578
ltmp,all_rows,All training rows,8-<12,46,0.1767742551429298,0.20849981858274666,0.03172556343981687,0.10620586432011551,0.15309474626409839,0.5623859622035203
ltmp,exclude_low_dhw_ge05,Exclude DHW < 4 and loss >= 5%,<4,22,0.03263734602924641,0.04393699691059162,0.011299650881345215,0.060285916002616124,0.09541812812175594,-0.8700843171543218
ltmp,exclude_low_dhw_ge05,Exclude DHW < 4 and loss >= 5%,4-<8,131,0.06721897854698504,0.06439334208512612,-0.0028256364618589186,0.07564415125566158,0.12808711382132282,0.13449569472857592
ltmp,exclude_low_dhw_ge05,Exclude DHW < 4 and loss >= 5%,8-<12,46,0.1767742551429298,0.21054382300903196,0.03376956786610218,0.10663986180695072,0.15412921243527392,0.5564520373223178
ltmp,exclude_low_dhw_ge10,Exclude DHW < 4 and loss >= 10%,<4,22,0.03263734602924641,0.047571360819407014,0.01493401479016061,0.06328143915094019,0.09899650729494046,-1.0129785548605597
ltmp,exclude_low_dhw_ge10,Exclude DHW < 4 and loss >= 10%,4-<8,131,0.06721897854698504,0.0645453745194051,-0.0026736040275799427,0.07601651589340927,0.12782265288118036,0.13806601151025089
ltmp,exclude_low_dhw_ge10,Exclude DHW < 4 and loss >= 10%,8-<12,46,0.1767742551429298,0.21155813381231076,0.034783878669380965,0.10793475644369356,0.15596522431520837,0.5458218692280035
ltmp,exclude_low_dhw_ge20,Exclude DHW < 4 and loss >= 20%,<4,22,0.03263734602924641,0.04756997143670841,0.014932625407462003,0.06332957978463642,0.09901858859282235,-1.0138766499052765
ltmp,exclude_low_dhw_ge20,Exclude DHW < 4 and loss >= 20%,4-<8,131,0.06721897854698504,0.06460639594939785,-0.0026125825975872007,0.07609697029784253,0.12794131626247943,0.13646492633899965
ltmp,exclude_low_dhw_ge20,Exclude DHW < 4 and loss >= 20%,8-<12,46,0.1767742551429298,0.2112066289933951,0.034432373850465305,0.10754673132912045,0.15573306084365415,0.547173004937989
manta,all_rows,All training rows,<4,38,0.04052404600970621,0.04661981570253578,0.006095769692829577,0.05688691171468115,0.09413564507036644,0.34118586565537423
manta,all_rows,All training rows,4-<8,152,0.08898074205927585,0.08689324319925533,-0.002087498860020515,0.08537447367260899,0.12061373295346546,0.2917510190320075
manta,all_rows,All training rows,8-<12,58,0.18060479922700998,0.18493070631654437,0.004325907089534399,0.09930080165579125,0.12552270073637659,0.47161017266596594
manta,exclude_low_dhw_ge05,Exclude DHW < 4 and loss >= 5%,<4,38,0.04052404600970621,0.03169596636638291,-0.008828079643323297,0.05115839070410589,0.09992011004849594,0.25773239068744125
manta,exclude_low_dhw_ge05,Exclude DHW < 4 and loss >= 5%,4-<8,152,0.08898074205927585,0.0821678331376594,-0.006812908921616451,0.08479699827262395,0.12145418749819642,0.28184626010410696
manta,exclude_low_dhw_ge05,Exclude DHW < 4 and loss >= 5%,8-<12,58,0.18060479922700998,0.18933519049526815,0.008730391268258166,0.10129081125408997,0.12785614411273727,0.4517822362920543
manta,exclude_low_dhw_ge10,Exclude DHW < 4 and loss >= 10%,<4,38,0.04052404600970621,0.03169615209311799,-0.008827893916588218,0.05115860755263045,0.09991983317283336,0.2577365042848202
manta,exclude_low_dhw_ge10,Exclude DHW < 4 and loss >= 10%,4-<8,152,0.08898074205927585,0.08216851845819662,-0.006812223601079233,0.08479719440272387,0.1214541303777367,0.28184693560592333
manta,exclude_low_dhw_ge10,Exclude DHW < 4 and loss >= 10%,8-<12,58,0.18060479922700998,0.18933414806512794,0.008729348838117972,0.1012899935342071,0.12785597733438636,0.4517836665056052
manta,exclude_low_dhw_ge20,Exclude DHW < 4 and loss >= 20%,<4,38,0.04052404600970621,0.04189597045518485,0.0013719244454786482,0.056226646812906005,0.09610561205261202,0.3133234763289867
manta,exclude_low_dhw_ge20,Exclude DHW < 4 and loss >= 20%,4-<8,152,0.08898074205927585,0.0841225080001533,-0.004858234059122547,0.08570922398072241,0.12185874340994804,0.2770540463362201
manta,exclude_low_dhw_ge20,Exclude DHW < 4 and loss >= 20%,8-<12,58,0.18060479922700998,0.18671024480485032,0.006105445577840353,0.10044358260935297,0.12665894930812754,0.4620007625157192
