programme_key,ReefID,ReefName,lon,lat,distance_to_lizard_nw_km,ann_maxdhw,observed_mortality,predicted_mortality,residual,era5_coastal_rain_max_30day,freshwater_risk30_percentile,partial_ereefs_salinity_min,partial_ereefs_flood30,DISTURBANCE_TYPE,description
manta,14-126,Linnet Reef (14-126),145.34444189048963,-14.786651761714165,18.010220059553923,6.73,0.7147170912272767,0.07413227089939273,0.6405848203278839,781.2640609741211,0.655786350148368,34.05950927734375,FALSE,b,DHW 6.73
manta,14-118,Eyrie Reef (14-118),145.37925767245596,-14.71066015574954,9.303819023663928,6.2700000000000005,0.5256729155551548,0.05058978675776551,0.47508312879738934,781.2640609741211,0.6528189910979229,34.010250091552734,FALSE,b,DHW 6.27 to 6.32
manta,14-116a,Lizard Island Reef (North West) (14-116a),145.4469435693518,-14.65856501038236,0,6.2700000000000005,0.4615802349862708,0.03750792880318186,0.42407230618308894,781.2640609741211,0.6536282708389534,33.98640060424805,FALSE,b,DHW 6.27  aerial bl 4
ltmp,14-126,Linnet Reef (14-126),145.34444189048963,-14.786651761714165,18.010220059553923,6.73,0.4141783096477083,0.05173732935846345,0.3624409802892449,781.2640609741211,0.655786350148368,34.05950927734375,FALSE,b,DHW 6.73
manta,14-114,MacGillivray Reef (14-114),145.49102944815397,-14.651902052216371,4.800160180672423,5.93,0.3889435143171571,0.0349066722289604,0.35403684208819675,781.2640609741211,0.6544375505799838,33.931705474853516,FALSE,b,DHW 6.03
ltmp,14-123,Martin Reef (14-123),145.3555305298971,-14.763141199289572,15.227475220943905,6.4,0.3676370188512778,0.04600876585438891,0.3216282529968889,781.2640609741211,0.655786350148368,34.05950927734375,FALSE,b,no decline
manta,15-030,Swinger Reef (15-030),145.53718849721838,-15.242245833854463,65.62246914579303,3.87,0.34618830788839955,0.06577310987947291,0.28041519800892667,841.4827585220337,0.7035338548691664,33.144535064697266,FALSE,b,DHW 3.87
manta,14-147a,South Direction Reef (North) (14-147a),145.5235780928496,-14.824372008190638,20.194831152246103,6.4,0.2226589198311119,0.03388156932281379,0.18877735050829816,781.2640609741211,0.6644186673860264,33.90640640258789,FALSE,b,DHW 6.4 aerial bl 5
