programme_key,n_cross_fitted_predictions,learner,weight_brms,weight_brt,weight_benchmark
ltmp,398,formal_ensemble,0.5714966072562337,0.42850339274376625,0
manta,496,formal_ensemble,0.9620589659190691,0.03794103408093086,0
mmp,180,formal_ensemble,1,0,0
ltmp,398,stacked_ensemble,0.32173363004686095,0.2929262332135825,0.3853401367395566
manta,496,stacked_ensemble,0.9621699494469806,0.03782336149184277,6.68906117662349e-6
mmp,180,stacked_ensemble,0.5779681876669462,7.45060169576265e-7,0.4220310672728842
