ReefID,thermal_reef_id,event_year,ann_maxdhw,history_years,dhw10_sum,dhw10_mean,dhw10_max,dhw10_n4,dhw10_n6,dhw_novel_excess,dhw_ratio_prior_max
14-114,14-114,2020,5.98,10,26.01,2.601,9.06,2,2,0,0.6600441501103753
14-116a,14-116,2020,5.3,10,25.73354166675,2.5733541666749997,8.783333333249999,2,2,0,0.6034155597780211
14-123,14-123,2020,4.94,10,25.775,2.5775,9.6975,2,2,0,0.5094096416602217
14-126,14-126,2020,5.2700000000000005,10,25.82,2.582,9.81,2,2,0,0.5372069317023446
14-137,14-137,2020,7.72,10,30.18,3.018,11.32,2,2,0,0.6819787985865724
14-138,14-138,2020,8.11,10,30.279999999999998,3.028,11.36,2,2,0,0.7139084507042254
14-139,14-139,2020,7.87,10,30.46,3.046,11.455,2,2,0,0.6870362287210825
15-093,15-093,2020,2.44,10,15.64,1.564,8.83,1,1,0,0.27633069082672707
15-095,15-095,2020,2.45,10,15.7575,1.57575,8.205,1,1,0,0.29859841560024375
15-099c,15-099,2020,7.74,10,20.64666666666667,2.0646666666666667,8.006666666666668,2,2,0,0.9666944213155703
16-015,16-015,2020,2.98,10,16.8675,1.6867500000000002,9.21,1,1,0,0.32356134636264927
16-019,16-019,2020,6.34,10,20.785,2.0785,8.49,2,1,0,0.7467608951707891
16-025,16-025,2020,7.4,10,21.849999999999998,2.185,9.45,2,1,0,0.7830687830687831
16-028,16-028,2020,5.54,10,18.7,1.8699999999999999,11.54,1,1,0,0.4800693240901214
16-030,16-030,2020,8.19,10,23.98,2.3979999999999997,10.54,2,2,0,0.7770398481973435
16-049,16-049,2020,5.42,10,22.79,2.279,11.07,1,1,0,0.48961156278229445
16-057,16-057,2020,7.59,10,22.36333333,2.236333333,10.37333333,2,1,0,0.7316838048623663
16-060,16-060,2020,7.51,10,22.54,2.254,10.33,2,1,0,0.7270087124878993
16-068,16-068,2020,6.23,10,23.933333335,2.3933333334999998,10.95,1,1,0,0.5689497716894978
16-071,16-071,2020,5.6000000000000005,10,22.37,2.237,10.63,1,1,0,0.5268109125117592
17-034,17-034,2020,5.45,10,19.71,1.971,8.91,1,1,0,0.611672278338945
18-030,18-030,2020,5.4,10,19.9425,1.9942499999999999,7.4475,1,1,0,0.7250755287009064
18-031,18-031,2020,5.01,10,18.825,1.8825,7.175,1,1,0,0.6982578397212543
18-032,18-032,2020,5.11,10,19.02,1.902,7.44,1,1,0,0.6868279569892474
18-034,18-034,2020,8.3,10,24.330000000000002,2.4330000000000003,7.46,2,2,0.8400000000000007,1.1126005361930296
18-039,18-039,2020,6.91,10,21.85,2.185,6.9325,2,2,0,0.996754417598269
18-075,18-075,2020,4.21,10,14.525,1.4525,5.8,1,0,0,0.7258620689655173
18-086,18-086,2020,6.86,10,17.190000001,1.7190000001,5.43,2,0,1.4300000000000006,1.263351749539595
18-096,18-096,2020,5.17,10,13,1.3,4.61,1,0,0.5599999999999996,1.1214750542299348
19-131a,19-131,2020,3.0700000000000003,10,5.705238095142857,0.5705238095142857,2.0133333332857144,0,0,1.0566666667142859,1.5248344371221578
19-138,19-138,2020,3.52,10,5.89,0.589,2.17,0,0,1.35,1.6221198156682028
19-159,19-159,2020,5.73,10,8.16,0.816,3.01,0,0,2.7200000000000006,1.9036544850498343
19-209,19-209,2020,7.1000000000000005,10,9.3025,0.93025,3.77,0,0,3.3300000000000005,1.8832891246684351
20-113,20-113,2020,1.96,10,3.96,0.396,1.54,0,0,0.41999999999999993,1.2727272727272727
20-287,20-287,2020,9.42,10,11.43,1.143,3.4775,0,0,5.9425,2.708842559309849
20-297,20-297,2020,5.61,10,6.51,0.651,3.75,0,0,1.8600000000000003,1.496
21-529,21-529,2020,3.98,10,7.4,0.74,3.67,0,0,0.31000000000000005,1.0844686648501363
21-562,21-562,2020,6,10,3.7,0.37,1.485,0,0,4.515,4.04040404040404
22-088a,22-088,2020,4.86,10,6.98,0.6980000000000001,3.4050000000000002,0,0,1.455,1.4273127753303965
22-102,22-102,2020,6.6000000000000005,10,4.27,0.427,1.99,0,0,4.61,3.3165829145728645
22-104a,22-104,2020,6.61,10,3.365666666666667,0.3365666666666667,1.4406666666666665,0,0,5.169333333333334,4.588153632577511
23-045a,23-045,2020,7.42,10,4.275,0.4275,3.015,0,0,4.404999999999999,2.461028192371476
23-048,23-048,2020,6.9,10,4.4399999999999995,0.444,3.09,0,0,3.8100000000000005,2.2330097087378644
23-051,23-051,2020,6.48,10,4.21,0.421,2.84,0,0,3.6400000000000006,2.2816901408450705
23-055a,23-055,2020,5.34,10,4.59,0.459,2.7733333333333334,0,0,2.5666666666666664,1.9254807692307692
23-068,23-068,2020,8.85,10,3.075,0.3075,1.73,0,0,7.119999999999999,5.115606936416185
23-069,23-069,2020,8.870000000000001,10,4.47,0.447,2.6,0,0,6.270000000000001,3.411538461538462
23-079,23-079,2020,3.69,10,6.66,0.666,4.023333333,1,0,0,0.9171499586509652
23-080,23-080,2020,3.6,10,6.465,0.6465,3.8225,0,0,0,0.9417920209287116
23-081,23-081,2020,4.55,10,6.133333333,0.6133333333000001,3.543333333,0,0,1.0066666669999997,1.2841015993682128
23-082a,23-082,2020,4.91,10,5.4633333335,0.54633333335,3.0991666665,0,0,1.8108333335000002,1.5842968540782092
12-056,12-056,2022,10.45,10,50.58,5.058,10.91,5,4,0,0.9578368469294225
12-061,12-061,2022,7.71,10,31,3.1,8.31,4,2,0,0.927797833935018
12-098,12-098,2022,8.46,10,37.225,3.7224999999999997,9.18,4,3,0,0.9215686274509806
13-056,13-056,2022,7.49,10,40.32,4.032,11.13,4,4,0,0.6729559748427673
13-118a,13-118,2022,7.94,10,42.1875,4.21875,11.7225,4,4,0,0.6773299210919173
13-121,13-121,2022,9.34,10,42.72,4.272,12.45,4,4,0,0.7502008032128514
13-124,13-124,2022,5.55,10,33.54,3.354,10.02,4,3,0,0.5538922155688623
14-114,14-114,2022,3.88,10,32.21,3.221,9.06,4,3,0,0.42825607064017657
14-116a,14-116,2022,4.05,10,31.820625,3.1820625,8.783333333249999,4,2,0,0.46110056926433685
14-126,14-126,2022,5.14,10,32.5,3.25,9.81,4,2,0,0.5239551478083587
14-137,14-137,2022,4.64,10,36.81,3.681,11.32,4,3,0,0.40989399293286216
14-138,14-138,2022,4.65,10,36.51,3.651,11.36,3,3,0,0.409330985915493
14-139,14-139,2022,4.32,10,37.4275,3.74275,11.455,3,3,0,0.3771278917503274
15-009,15-009,2022,3.74,10,19.303333333,1.9303333333,7.336666667,2,1,0,0.5097682871190473
15-012,15-012,2022,2.64,10,14.63,1.463,7.11,1,1,0,0.37130801687763715
15-013,15-013,2022,2.8000000000000003,10,14.47,1.447,7.41,1,1,0,0.37786774628879893
