ReefID,thermal_reef_id,event_year,ann_maxdhw,history_years,dhw10_sum,dhw10_mean,dhw10_max,dhw10_n4,dhw10_n6,dhw_novel_excess,dhw_ratio_prior_max
18-039,18-039,2024,7.32,10,31.677500000000002,3.16775,7.3175,4,3,0.002500000000000391,1.0003416467372737
18-065,18-065,2024,6.92,10,33.05,3.305,8.71,3,3,0,0.7944890929965556
18-081,18-081,2024,6.54,10,26.75,2.6750000000000003,6.35,4,2,0.1900000000000004,1.0299212598425198
16-006,16-006,2017,11.65,10,8.285,0.8285,2.4875,0,0,9.162500000000001,4.683417085427136
16-054a,16-054,2017,10.69,10,11.540000000000001,1.154,3.144285714285714,0,0,7.545714285714285,3.3998182644252615
17-009a,17-009,2017,11.03,10,9.98,0.998,2.5,0,0,8.53,4.412
17-012,17-012,2017,10.66,10,9.95,0.995,2.48,0,0,8.18,4.298387096774194
17-013,17-013,2017,10.66,10,9.95,0.995,2.48,0,0,8.18,4.298387096774194
17-043a,17-043,2017,8.870000000000001,10,10.860000000000001,1.086,2.41,0,0,6.460000000000001,3.6804979253112036
17-053,17-053,2017,7.390000000000001,10,10.15,1.0150000000000001,2.12,0,0,5.2700000000000005,3.4858490566037736
18-001,18-001,2017,7.35,10,9.975,0.9974999999999999,2.105,0,0,5.244999999999999,3.4916864608076006
18-048,18-048,2017,9.28,10,9.845,0.9845,2.685,0,0,6.594999999999999,3.456238361266294
18-051,18-051,2017,8.52,10,11.15,1.115,4.05,1,0,4.47,2.1037037037037036
18-065,18-065,2017,8.71,10,11.27,1.127,3.33,0,0,5.380000000000001,2.615615615615616
19-009c,19-009,2017,7.8,10,19.11777777777778,1.9117777777777778,5.336111111111111,1,0,2.4638888888888886,1.4617386777719936
23-016,23-016,2017,4.4,10,3.77,0.377,1.56,0,0,2.8400000000000003,2.8205128205128207
18-049e,18-049,2022,5.32,10,24.169999999799998,2.41699999998,9.0636666666,2,2,0,0.5869589202352762
18-065,18-065,2022,7.62,10,28.35,2.835,8.71,2,2,0,0.8748564867967852
16-006,16-006,2024,6.93,10,27.305,2.7305,11.6775,3,1,0,0.5934489402697495
16-054a,16-054,2024,7.82,10,25.042857142857144,2.5042857142857144,10.672857142857143,2,1,0,0.7326997724534868
17-009a,17-009,2024,6.32,10,23.509999999999998,2.351,11.03,2,1,0,0.5729827742520399
17-053,17-053,2024,4.15,10,20.883333334,2.0883333334,7.55,2,1,0,0.5496688741721855
18-001,18-001,2024,4.12,10,22.4,2.2399999999999998,7.455,2,1,0,0.5526492287055668
18-049e,18-049,2024,5.37,10,26.833333333,2.6833333333,9.0636666666,3,2,0,0.5924754514404948
19-009c,19-009,2024,9.07,10,42.88888888888889,4.288888888888889,10.033888888888889,4,3,0,0.9039366590997177
20-028d,20-028,2024,6.61,10,23.92518181809091,2.392518181809091,7.4851060606363635,3,2,0,0.8830870192690411
20-035a,20-035,2024,8.78,10,22.87125,2.287125,8.3225,3,2,0.4574999999999996,1.0549714629017723
20-058a,20-058,2024,8.46,10,20.73,2.073,7.935,2,1,0.5250000000000012,1.066162570888469
20-061,20-061,2024,9.17,10,21.66,2.166,8.26,3,1,0.9100000000000001,1.1101694915254237
20-095,20-095,2024,9.47,10,21.720000000000002,2.172,8.16,2,1,1.3100000000000005,1.1605392156862746
22-009,22-009,2024,11.06,10,21.66,2.166,10,3,1,1.0600000000000005,1.106
23-004b,23-004,2024,12.41,10,17.475,1.7475,9.13,2,1,3.2799999999999994,1.3592552026286966
23-010,23-010,2024,12.23,10,18.5,1.8499999999999999,9.54,1,1,2.6900000000000013,1.2819706498951784
23-016,23-016,2024,12.47,10,19.39,1.939,9.74,2,1,2.7300000000000004,1.280287474332649
23-017,23-017,2024,13.26,10,24.18,2.418,10.48,2,1,2.7799999999999994,1.265267175572519
