programme_key,learner,scheme,n,mae,rmse,predictive_r2,bias,observed_mean,predicted_mean,zero_mae,positive_mae,balanced_mae,severe_mae,occurrence_brier
ltmp,brms_binomial_olre,leave_one_event_out,199,0.11561996793389674,0.16688441062485718,-3.247954143130727e-4,0.06399040182725098,0.0887202187883077,0.15271062061555868,0.09384048750544179,0.14365791974983877,0.11874920362764027,0.21642765978174622,NA
manta,brms_binomial_olre,leave_one_event_out,248,0.13718017376105043,0.17591118678092998,-0.30288114252999065,0.055275749688121614,0.10298413264736025,0.15825988233548186,0.11734568798982142,0.16206343772859227,0.13970456285920685,0.21461208654314162,NA
mmp,brms_binomial_olre,leave_one_event_out,90,0.2227812027409848,0.28132213263040656,-0.4720758291438991,0.02550249318471787,0.18723893040686382,0.21274142359158169,0.18081270763999316,0.24483244592964146,0.2128225767848173,0.2863567876311503,NA
