programme_key,marginal_bayesian_r2,marginal_bayesian_r2_q05,marginal_bayesian_r2_q95,conditional_bayesian_r2,conditional_bayesian_r2_q05,conditional_bayesian_r2_q95,elpd_loo,elpd_loo_se,p_loo,looic,looic_se,pareto_k_over_0_7,max_pareto_k
manta,0.2153100562630934,0.07746998484496886,0.35989249182323985,0.46140510094178844,0.37761300681284743,0.5390581358686131,-73.97047838840697,11.098563901028959,52.759997955901845,147.94095677681395,22.197127802057917,10,1.0860928179642042
ltmp,0.4468411280044341,0.2528956406737267,0.5828405761662052,0.5175712817895214,0.41775683555113385,0.6001633804657499,-50.65749089168004,10.976682592352583,54.02812686683701,101.31498178336008,21.953365184705167,16,1.0967018897947511
mmp,0.2839369911719713,0.07102713297266393,0.506792830609727,0.386524506159198,0.29080241518587613,0.47697968358737125,-23.62603016359484,9.691164766242364,29.50964820967884,47.25206032718968,19.38232953248473,7,0.8701832786215061
