max_rhat,min_bulk_ess,min_tail_ess,divergences,max_treedepth_hits,programme_key,scheme,fold,n_analysis,n_assessment
1.0052108639038795,797.6910209095379,1050.0174236575294,0,0,manta,leave_one_event_out,2016,228,20
1.0074892456379925,239.1524170537784,446.7887634981144,0,0,manta,leave_one_event_out,2017,225,23
1.006931042179587,382.8234320277799,714.1121612497003,0,0,manta,leave_one_event_out,2020,185,63
1.0057464391020248,555.9862482055805,1338.0945076315722,0,0,manta,leave_one_event_out,2022,195,53
1.0049483744326415,540.135927793657,1151.5782576433696,0,0,manta,leave_one_event_out,2024,159,89
1.0037287697389812,321.39917727758666,654.6459123879067,0,0,manta,reef_blocked_5fold,1,198,50
1.0092690042667418,345.6724052059543,739.0361585349813,0,0,manta,reef_blocked_5fold,2,198,50
1.0026394284882876,1512.9446476019498,2500.697423512623,0,0,manta,reef_blocked_5fold,3,198,50
1.0078937465519493,353.81464873734996,600.1745266799123,0,0,manta,reef_blocked_5fold,4,199,49
1.008283247393157,298.592225597801,365.1550135877369,0,0,manta,reef_blocked_5fold,5,199,49
1.008746169585382,166.7065221751618,300.91187645181896,0,0,manta,region_blocked,Central GBR,136,112
1.0070348617213547,520.6057809633512,985.3826633668252,0,0,manta,region_blocked,Northern GBR,189,59
1.0088131160317668,459.0800041668159,748.9316062621886,0,0,manta,region_blocked,Southern GBR,171,77
1.006926072295357,647.6055357822133,1307.1408382658199,0,0,ltmp,leave_one_event_out,2016,177,22
1.007701287797839,404.83886148173536,609.7423228581807,0,0,ltmp,leave_one_event_out,2017,180,19
1.0073577716533622,722.6182247238233,1467.3591465797736,0,0,ltmp,leave_one_event_out,2020,152,47
1.0097509391361168,303.0528275819125,319.22108899326844,0,0,ltmp,leave_one_event_out,2022,163,36
1.0067309447543977,401.32447778488427,386.1391943978084,0,0,ltmp,leave_one_event_out,2024,124,75
1.005105535622149,215.87695568358185,521.191658436618,0,0,ltmp,reef_blocked_5fold,1,159,40
1.0068405324714547,201.84419117790642,498.5403843527335,0,0,ltmp,reef_blocked_5fold,2,159,40
1.0085608974245426,222.66858184994683,501.8753521982678,0,0,ltmp,reef_blocked_5fold,3,159,40
1.004044065054141,559.482101117973,736.9977195283361,0,0,ltmp,reef_blocked_5fold,4,159,40
1.008273492610184,667.3130177252866,1024.69614250217,0,0,ltmp,reef_blocked_5fold,5,160,39
1.0045535207460465,531.6556777693417,984.2011564582635,0,0,ltmp,region_blocked,Central GBR,101,98
1.0039321339781764,590.1299676638153,936.097335395456,0,0,ltmp,region_blocked,Northern GBR,143,56
1.0076969276159873,452.9728081755977,730.6132194759476,0,0,ltmp,region_blocked,Southern GBR,154,45
1.0056182636455193,632.6917781808937,905.1225670525445,0,0,mmp,leave_one_event_out,2017,58,32
1.0078390373109596,650.1359440973409,1033.274362846577,0,0,mmp,leave_one_event_out,2022,86,4
1.0071438551601877,722.1108175632214,782.0861983434744,0,0,mmp,leave_one_event_out,2024,36,54
1.0058132034444993,573.020538742559,617.3888252634521,0,0,mmp,reef_blocked_5fold,1,72,18
1.0060454945991888,520.201206429344,758.9433364631456,0,0,mmp,reef_blocked_5fold,2,72,18
1.005149187089375,585.4364938894125,859.5306101812396,0,0,mmp,reef_blocked_5fold,3,72,18
1.0073613207261067,695.1443509615,737.0603623204013,0,0,mmp,reef_blocked_5fold,4,72,18
1.0048269612533258,592.668402165203,747.2790806113061,0,0,mmp,reef_blocked_5fold,5,72,18
1.0049410592492662,740.9476889193468,882.7302098102075,0,0,mmp,region_blocked,Central GBR,22,68
1.0068749834658848,657.466793718487,774.3287778136669,0,0,mmp,region_blocked,Southern GBR,68,22
