max_rhat,min_bulk_ess,min_tail_ess,divergences,max_treedepth_hits,programme_key,scheme,fold,n_analysis,n_assessment
1.0094630561468514,525.8342997126439,750.365785155659,0,0,manta,leave_one_event_out,2016,228,20
1.005984653350957,586.6482610279305,703.3208632006819,0,0,manta,leave_one_event_out,2017,225,23
1.0041005496138602,515.8595841468506,724.1774595610682,0,0,manta,leave_one_event_out,2020,185,63
1.0132242911209524,462.9506137462284,1054.5705879451423,0,0,manta,leave_one_event_out,2022,195,53
1.008526025678714,324.3933006586894,404.61328484103745,0,0,manta,leave_one_event_out,2024,159,89
1.0072978890063697,332.45721671622977,516.9414934454306,0,0,ltmp,leave_one_event_out,2016,177,22
1.007469315141733,560.1304493427414,1433.8356514862319,0,0,ltmp,leave_one_event_out,2017,180,19
1.0076630328303378,283.7065485061954,510.69804717162424,0,0,ltmp,leave_one_event_out,2020,152,47
1.0062739928504316,543.3888070158823,995.5407697459834,0,0,ltmp,leave_one_event_out,2022,163,36
1.0061840142037304,416.56929741744153,364.7934810346574,0,0,ltmp,leave_one_event_out,2024,124,75
1.0063512743637946,411.29283232159815,634.635288214854,0,0,mmp,leave_one_event_out,2017,58,32
1.0079465076936316,355.1020622135595,770.5368077309121,0,0,mmp,leave_one_event_out,2022,86,4
1.0029231822441627,1317.393425809629,2343.17626715714,0,0,mmp,leave_one_event_out,2024,36,54
