programme_key,event_year,region_block,n,mortality,occurrence,dhw,load10,novelty10,secchi_mean,secchi_p10
ltmp,2016,Central GBR,12,0.16845674249260717,0.5,4.3425,0,2.08,16.589428549635812,11.935808741974231
ltmp,2016,Northern GBR,6,0.33223124720817754,0.6666666666666666,8.97,0,6.621666666666667,16.155760288238525,12.329327065723138
ltmp,2016,Southern GBR,4,0.004470026723291174,0.25,0.2025,0,-2.04,19.877909898757935,13.873391460761331
ltmp,2017,Central GBR,15,0.18038599271063605,0.4666666666666667,7.482666666666667,0.6433333333333333,3.1753333333333336,22.745886039733886,16.595344341975085
ltmp,2017,Southern GBR,4,0.20787556442477542,0.75,3.44,0,2.0925,16.214570804782106,11.917953866963806
ltmp,2020,Central GBR,20,0.020179754945072962,0.1,6.36,3.971,-0.6095,16.58278821023961,12.461861510022429
ltmp,2020,Northern GBR,18,8.374099657792243e-4,0.05555555555555555,7.1066666666666665,10.05,-3.4877777777777776,15.422328843010796,12.676879690112955
ltmp,2020,Southern GBR,9,0.07208610834146532,0.3333333333333333,5.75,0,3.3988888888888886,14.646884706285265,11.506666431864318
ltmp,2022,Central GBR,19,0.02388938402786116,0.3684210526315789,5.113157894736842,5.77,-2.491578947368421,15.022712356165835,12.23590112241665
ltmp,2022,Northern GBR,14,0.007662104317035059,0.35714285714285715,5.532857142857143,14.382142857142858,-5.089285714285714,17.06230912889753,13.642227156617304
ltmp,2022,Southern GBR,3,0.0032455433939035665,0.3333333333333333,0.31666666666666665,4.043333333333333,-7.726666666666667,12.166741371154785,9.550076425455162
ltmp,2024,Central GBR,32,0.06232268023716197,0.53125,6.8146875,6.57125,-0.5053125,15.707319945018154,12.34292593650265
ltmp,2024,Northern GBR,18,0.10852992837412632,0.6111111111111112,6.743333333333333,14.858333333333334,-3.5955555555555554,13.772282015056778,11.122074913428387
ltmp,2024,Southern GBR,25,0.1799628228651752,0.76,9.2128,2.4448,2.9496000000000002,14.347590065002441,11.841193691593517
manta,2016,Central GBR,10,0.14876639673032122,0.5,4.5760000000000005,0,2.3,17.321013832092284,12.336535285653543
manta,2016,Northern GBR,5,0.2612773410846195,1,8.738,0.026000000000000002,5.686,13.692201614379883,11.12385342335243
manta,2016,Southern GBR,5,0.022964939354591193,0.2,0.5700000000000001,0,-1.754,18.404535865783693,13.274295408252208
manta,2017,Central GBR,19,0.152644928165581,0.631578947368421,7.273157894736842,0.6089473684210527,3.126315789473684,21.733290270755166,16.177718441771287
manta,2017,Southern GBR,4,0.028061174401854242,0.25,1.9875,0,0.48000000000000004,16.457277536392212,12.902285216451947
manta,2020,Central GBR,26,0.005318643380120113,0.038461538461538464,5.66423076923077,4.5588461538461535,-2.0946153846153845,16.228610295515793,12.42587150431371
manta,2020,Northern GBR,19,0.013667979613055093,0.10526315789473684,6.317368421052632,11.048421052631578,-4.157894736842105,13.40822300158049,11.076277902596862
manta,2020,Southern GBR,18,0.01800010084404221,0.1111111111111111,5.8694444444444445,0.0022222222222222222,3.026111111111111,13.614046149783665,10.591518648398408
manta,2022,Central GBR,24,0.06592278055490292,0.4166666666666667,5.03375,5.1225,-2.3208333333333333,14.592381556828817,11.871973368232624
manta,2022,Northern GBR,17,0.0038351434524785733,0.11764705882352941,5.654117647058824,13.031764705882352,-4.0194117647058825,14.161756908192354,11.46368181399267
manta,2022,Southern GBR,12,0.02079753970066484,0.3333333333333333,2.4691666666666667,3.513333333333333,-4.9366666666666665,14.634373426437378,11.575244198729612
manta,2024,Central GBR,33,0.1265653429748058,0.5757575757575758,6.622727272727273,5.565151515151515,-0.4687878787878788,14.272115132230095,11.44024683313119
manta,2024,Northern GBR,18,0.26767861630565704,0.8888888888888888,6.876666666666667,14.35,-3.1144444444444446,12.064608752931559,10.008351006817326
manta,2024,Southern GBR,38,0.21065597311790765,0.7894736842105263,8.834736842105263,2.2836842105263155,2.748684210526316,14.573069145804958,11.77700849318039
mmp,2017,Central GBR,30,0.13112775191660467,0.7333333333333333,9.512,0.106,6.674666666666666,12.90154851453562,9.983258942500196
mmp,2017,Southern GBR,2,0.03828377611487134,0.5,4.4,0,2.84,11.776115417480469,9.85850117395896
mmp,2022,Central GBR,4,0,0,6.470000000000001,8.265,-2.525,17.526690694699383,15.275703958793448
mmp,2024,Central GBR,34,0.164157917994585,0.5,6.965294117647059,7.577647058823529,-2.2658823529411767,11.930620727610663,8.438483504746829
mmp,2024,Southern GBR,20,0.36298672075369853,0.95,12.286,6.388,2.4539999999999997,9.125708103179932,7.853789008637176
