programme_key,n,event_years,max_rhat,min_bulk_ess,min_tail_ess,divergences,max_treedepth_hits
manta,248,"2016,2017,2020,2022,2024",1.00728632826031,772.5072053562828,1324.4572492146854,0,0
ltmp,199,"2016,2017,2020,2022,2024",1.0067494240217076,566.4739753135109,994.4871367662195,0,0
mmp,90,"2017,2022,2024",1.0039527334888476,1475.798634322274,1893.5338890126095,0,0
