programme_key,learner,scheme,n,mae,rmse,predictive_r2,bias,observed_mean,predicted_mean,zero_mae,positive_mae,balanced_mae,severe_mae,occurrence_brier
ltmp,brms,leave_one_event_out,199,0.08861080766657566,0.1334829739246388,0.3600276021006188,0.01021243229839235,0.0887202187883077,0.09893265108670005,0.06648165415714082,0.11709891333389408,0.09179028374551745,0.22019744551309506,0.24394332323070378
ltmp,brms,reef_blocked_5fold,199,0.07716709549095677,0.1275319581908255,0.41581883348710436,-0.001252259410731641,0.0887202187883077,0.08746795937757605,0.049826689942572104,0.11236393941531403,0.08109531467894307,0.2383324497556471,0.20539391090535408
ltmp,brms,region_blocked,199,0.10564770774591171,0.14606839706561248,0.23365906916574108,0.04254630997395277,0.0887202187883077,0.13126652876226047,0.0908483212141281,0.1246997915569435,0.1077740563855358,0.20177324468893162,0.22023477062172422
manta,brms,leave_one_event_out,248,0.10523346489534197,0.1405142011824484,0.16869896978569987,-0.010599602640169117,0.10298413264736025,0.09238453000719114,0.07369173186154604,0.14480400270137686,0.10924786728146145,0.22102067251793067,0.26625438021594594
manta,brms,reef_blocked_5fold,248,0.08705176343724716,0.12363554666263403,0.35641696418934776,-0.005977243367602303,0.10298413264736025,0.09700688927975795,0.056032603747059984,0.12596670923039105,0.09099965648872552,0.17937245414803618,0.18158066713562615
manta,brms,region_blocked,248,0.10935457632892435,0.14770414989051006,0.0814489965206977,0.013908163488759671,0.10298413264736025,0.11689229613611993,0.08009857130846168,0.1460575644455048,0.11307806787698324,0.19716110816266516,0.203070532539106
mmp,brms,leave_one_event_out,90,0.17406036674340947,0.24297565727457948,-0.09811522009836238,-0.05275894466212519,0.18723893040686382,0.13447998574473863,0.12916113142532995,0.19765149038511226,0.16340631090522112,0.28830430885677427,0.35534517421098327
mmp,brms,reef_blocked_5fold,90,0.1580718048531432,0.21870015414647426,0.11034718338216876,0.0186454070413206,0.18723893040686382,0.20588433744818443,0.14278206845863295,0.16610539516212317,0.15444373181037807,0.19984515072691222,0.1900505600081912
mmp,brms,region_blocked,90,0.2261607073037982,0.2662374909338938,-0.3184413137323914,0.055309188406077084,0.18723893040686382,0.24254811881294092,0.2703623040996454,0.20293613949581066,0.23664922179772802,0.23091191029573802,0.29084927009321787
