programme_key,term,estimate,std_error,q05,q95
manta,Intercept,-1.7792714619130061,0.4800358239338306,-2.5434389143049585,-1.0252956883304647
manta,zi_Intercept,0.17723096813075762,0.6867879870594634,-1.003830575355876,1.278825392703999
manta,splines::nsann_maxdhw_zdfEQ31,-0.09701812594256906,0.4113416779072636,-0.7631469570673928,0.5767738056652865
manta,splines::nsann_maxdhw_zdfEQ32,0.04341313384935599,0.47006237905817244,-0.7279745915213857,0.8199232815832536
manta,splines::nsann_maxdhw_zdfEQ33,0.07528651872968854,0.43832470859502193,-0.657620685985479,0.791745781330591
manta,prop_acropora_pre_z,-0.43326810755673834,0.19283930504451752,-0.7391045589974711,-0.11657346551540293
manta,acropora_cover_pre_z,0.5753426233449334,0.19947864357501888,0.2408825678021838,0.8976669868964887
manta,histmDHW6_z,0.04012112064271297,0.15741754427620186,-0.22036253028435462,0.2989767061290688
manta,yrsince6_z,0.013094825590679047,0.17194215880918362,-0.2660691476612175,0.29160975850237275
manta,histmDHW4_z,0.031168902780002904,0.1298278861800712,-0.1798339616518068,0.2441810934302887
manta,yrsince4_z,0.07122618698968422,0.12132259788072752,-0.13177728182062207,0.2725274826111405
manta,ann_maxsst_z,0.28037883617439385,0.22690315663752975,-0.07089008531968734,0.6595274908709956
manta,winyear_mean_z,0.36155126826445433,0.3025525932133533,-0.13194939878074147,0.8716116357787542
manta,winyear_sd_z,0.29885893895521726,0.1702506597669696,0.009306447344536086,0.57654208274442
manta,mcur_90_z,-0.22112820222589682,0.14453699722182503,-0.46193034713326825,0.012114703767797656
manta,dist_to_er_km_z,-0.05375122479378933,0.09463331556933582,-0.20823363331464734,0.10040534574434416
manta,secc3m_z,0.13569275499767225,0.25603474853618247,-0.2879769837870179,0.5560758093410415
manta,cloudp_90_z,-0.044254251826956525,0.2232257752251326,-0.4084677818643346,0.3210746168304204
manta,dhw10_load4_z,-0.05177125929206982,0.23375799351225995,-0.4333216799783267,0.3304657797131086
manta,dhw_novelty10_z,0.17328357141228973,0.21145938758904517,-0.1716691616915434,0.5204680497513674
