programme_key,scheme,fold,learner,meta_analysis_rows,weight_brms,weight_brt,weight_benchmark
ltmp,region_blocked,Central GBR,stacked_ensemble,101,0.2645997261824501,0.41556400116034775,0.31983627265720216
ltmp,region_blocked,Northern GBR,formal_ensemble,143,0.4999397643455955,0.5000602356544045,0
ltmp,region_blocked,Northern GBR,stacked_ensemble,143,0.2308389479220993,0.19685466363334767,0.5723063884445531
ltmp,region_blocked,Southern GBR,formal_ensemble,154,0.5334305541552574,0.4665694458447426,0
ltmp,region_blocked,Southern GBR,stacked_ensemble,154,0.3101013860768227,0.024949358112437633,0.6649492558107397
manta,region_blocked,Central GBR,formal_ensemble,136,0.6429774841698676,0.35702251583013245,0
manta,region_blocked,Central GBR,stacked_ensemble,136,0.4696056357677328,8.883504937876193e-5,0.5303055291828885
manta,region_blocked,Northern GBR,formal_ensemble,189,0.5185091824543318,0.48149081754566825,0
manta,region_blocked,Northern GBR,stacked_ensemble,189,0.29774898310676046,0,0.7022510168932395
manta,region_blocked,Southern GBR,formal_ensemble,171,0.4638016678723609,0.5361983321276391,0
manta,region_blocked,Southern GBR,stacked_ensemble,171,0.34414212482015333,0.14263333467499592,0.5132245405048508
mmp,region_blocked,Central GBR,formal_ensemble,22,1,0,0
mmp,region_blocked,Central GBR,stacked_ensemble,22,4.5918940025082384e-7,0,0.9999995408105997
mmp,region_blocked,Southern GBR,formal_ensemble,68,1,0,0
mmp,region_blocked,Southern GBR,stacked_ensemble,68,0.24228261854051145,0,0.7577173814594885
