programme_key,learner,scheme,n,mae,rmse,predictive_r2,bias,observed_mean,predicted_mean,zero_mae,positive_mae,balanced_mae,severe_mae,occurrence_brier
ltmp,benchmark,leave_one_event_out,199,0.0845732020476796,0.12952403217329803,0.39742625204553117,-0.004393957077924861,0.0887202187883077,0.08432626171038284,0.054931056973736694,0.12273320490149116,0.08883213093761393,0.2410386717632561,0.28013113732500894
ltmp,benchmark,reef_blocked_5fold,199,0.08587154119675165,0.13175732040772292,0.3764676317862973,1.7786897445157927e-4,0.0887202187883077,0.08889808776275927,0.060528895498676835,0.11849655634829624,0.08951272592348654,0.24229269783777033,0.23531071498275458
ltmp,benchmark,region_blocked,199,0.08991206259030537,0.13318654085923434,0.3628668905202568,0.008582736867881264,0.0887202187883077,0.09730295565618896,0.06989907192205057,0.11567591264598971,0.09278749228402014,0.2381812551270385,0.246310992398438
ltmp,brms,leave_one_event_out,199,0.08861080766657566,0.1334829739246388,0.3600276021006188,0.010212432298392348,0.0887202187883077,0.09893265108670005,0.06648165415714082,0.11709891333389408,0.09179028374551745,0.22019744551309506,0.24394332323070378
ltmp,brms,reef_blocked_5fold,199,0.07716709549095677,0.1275319581908255,0.41581883348710436,-0.0012522594107316428,0.0887202187883077,0.08746795937757605,0.049826689942572104,0.11236393941531403,0.08109531467894307,0.2383324497556471,0.20539391090535408
ltmp,brms,region_blocked,199,0.10564770774591171,0.14606839706561248,0.23365906916574097,0.04254630997395277,0.0887202187883077,0.13126652876226047,0.0908483212141281,0.1246997915569435,0.1077740563855358,0.20177324468893162,0.22023477062172422
ltmp,brt,leave_one_event_out,199,0.08299497442489903,0.13994034297995506,0.29661133841993326,-0.016896283821837683,0.0887202187883077,0.07182393496647002,0.0486895845206168,0.12715823499133133,0.08792390975597407,0.27464685642751663,0.2887602946633506
ltmp,brt,reef_blocked_5fold,199,0.08125319808972102,0.12654657366341468,0.4248113906108757,-0.002755534421486415,0.0887202187883077,0.08596468436682128,0.054168645265800286,0.1161206683917799,0.08514465682879009,0.23192789473044634,0.21281195775293427
ltmp,brt,region_blocked,199,0.09706193693541812,0.14510488915668762,0.24373572225420925,0.009121220620566832,0.0887202187883077,0.09784143940887453,0.07287390257463588,0.12820055588263202,0.10053722922863395,0.2382570126837553,0.34104130408665145
ltmp,formal_ensemble,leave_one_event_out,199,0.08476527345443174,0.1305545254661115,0.3877999560228249,4.0211961913310285e-4,0.0887202187883077,0.0891223384074408,0.060614921522623696,0.11585538168848349,0.08823515160555359,0.23360894950448682,0.24698192803507787
ltmp,formal_ensemble,reef_blocked_5fold,199,0.07821042864541954,0.12384633992996617,0.44909609870467104,-0.002446550434103294,0.0887202187883077,0.0862736683542044,0.05197535596457068,0.11198431531501805,0.08197983563979437,0.2317325345959253,0.20204176575468247
ltmp,formal_ensemble,region_blocked,199,0.09642203055852562,0.1378685177991016,0.31728458554028727,0.02383690437299878,0.0887202187883077,0.11255712316130648,0.08021645364366332,0.11728438244892307,0.0987504180462932,0.20986545444880178,0.27072610933148633
ltmp,stacked_ensemble,leave_one_event_out,199,0.08439011403584888,0.12698220709866467,0.4208444292708722,-7.973762057446514e-4,0.0887202187883077,0.08792284258256304,0.05903072072603324,0.11703668933124373,0.08803370502863848,0.2350937887674398,0.2588134655059756
ltmp,stacked_ensemble,reef_blocked_5fold,199,0.079203088045503,0.12424435339687222,0.44554945358336595,-0.0020358822254333353,0.0887202187883077,0.08668433656287436,0.05416950119113669,0.11143023434077914,0.08279986776595792,0.2338055507652952,0.20492479895032364
ltmp,stacked_ensemble,region_blocked,199,0.09023092357706511,0.13061324807989783,0.3872491046194848,0.021627948305426033,0.0887202187883077,0.11034816709373373,0.07755586357256493,0.10654824220354811,0.09205205288805651,0.21421885453548248,0.23933775586274833
manta,benchmark,leave_one_event_out,248,0.11631243333185219,0.15909360375339435,-0.06567142353487632,-0.017343314154277298,0.10298413264736025,0.08564081849308296,0.08187109089080073,0.15952066293971676,0.12069587691525874,0.23762787797309248,0.3213445670777552
manta,benchmark,reef_blocked_5fold,248,0.10269800709628606,0.13510511472524842,0.2314688723816848,-0.0011058445270878594,0.10298413264736025,0.1018782881202724,0.07913488104063701,0.13225901978428212,0.10569695041245956,0.19032774133693284,0.22318861808174545
manta,benchmark,region_blocked,248,0.1034577782236846,0.13750122158681355,0.20396714263291005,-0.0028654264199018736,0.10298413264736025,0.10011870622745837,0.080308118136421,0.13250007906043348,0.10640409859842724,0.19137495636461893,0.2515768747990753
manta,brms,leave_one_event_out,248,0.10523346489534197,0.1405142011824484,0.16869896978569987,-0.010599602640169119,0.10298413264736025,0.09238453000719113,0.07369173186154604,0.14480400270137686,0.10924786728146145,0.22102067251793067,0.26625438021594594
manta,brms,reef_blocked_5fold,248,0.08705176343724715,0.12363554666263403,0.35641696418934776,-0.005977243367602304,0.10298413264736025,0.09700688927975795,0.056032603747059984,0.12596670923039105,0.09099965648872552,0.17937245414803618,0.18158066713562615
manta,brms,region_blocked,248,0.10935457632892435,0.14770414989051006,0.0814489965206977,0.013908163488759671,0.10298413264736025,0.11689229613611993,0.08009857130846168,0.1460575644455048,0.11307806787698324,0.19716110816266513,0.203070532539106
manta,brt,leave_one_event_out,248,0.13612159936856655,0.18075903858663478,-0.37568159402193024,-0.0127932921822189,0.10298413264736025,0.09019084046514135,0.10184058733666165,0.1791286871904109,0.14048463726353627,0.2787051912851786,0.39994131198071753
manta,brt,reef_blocked_5fold,248,0.08460722470637874,0.12056815864639553,0.3879553053588257,-0.0012617473829463171,0.10298413264736025,0.10172238526441393,0.05541688312769531,0.12122783505054523,0.08832235908912027,0.1678585493936798,0.19022770242542553
manta,brt,region_blocked,248,0.11596157177098505,0.14995554210731663,0.05323341083659183,0.010650936904634986,0.10298413264736025,0.11363506955199525,0.09100900064090961,0.14726570646144332,0.11913735355117647,0.20899317164839784,0.25443399069862943
manta,formal_ensemble,leave_one_event_out,248,0.10523346489534197,0.1405142011824484,0.16869896978569987,-0.010599602640169119,0.10298413264736025,0.09238453000719113,0.07369173186154604,0.14480400270137686,0.10924786728146145,0.22102067251793067,0.26625438021594594
manta,formal_ensemble,reef_blocked_5fold,248,0.08428205275870315,0.11736763149622435,0.42001793733197235,-0.0030223731175794428,0.10298413264736025,0.09996175952978081,0.0561342047754223,0.11959480750136457,0.08786450613839344,0.16952944015285734,0.17618973283000924
