scheme,event_year,severe_loss,transitions,mean_rich_minus_core_change_pp,rich_improvement_fraction,mean_augmented_minus_rich_change_pp,auxiliary_improvement_fraction
forward_2024_2025,2024,FALSE,181,-0.11137923103473346,0.3314917127071823,-0.28143753970785623,0.4861878453038674
forward_2024_2025,2024,TRUE,53,1.1492637043126162,0.4339622641509434,-1.0338131843537253,0.5283018867924528
forward_2024_2025,2025,FALSE,95,-0.9655777696772089,0.37894736842105264,0.20338323592957708,0.5473684210526316
forward_2024_2025,2025,TRUE,10,0.29560803700430127,0.5,0.5652221302317375,0.4
recent_year_holdout,2016,FALSE,51,1.0068099035175013,0.7647058823529411,0.6895167967824926,0.4117647058823529
recent_year_holdout,2016,TRUE,4,0.32192863429189644,0.5,1.3257826113320919,0.25
recent_year_holdout,2017,FALSE,45,-1.3787683264766448,0.4444444444444444,-3.3583041523922192,0.4444444444444444
recent_year_holdout,2017,TRUE,18,-3.8252513677093267,0.7777777777777778,-3.6780089834614076,0.6666666666666666
recent_year_holdout,2018,FALSE,55,0.16301414793783775,0.5454545454545454,-0.03893505411828783,0.43636363636363634
recent_year_holdout,2018,TRUE,1,-2.0494710608879307,1,0.22772769426095696,0
recent_year_holdout,2019,FALSE,84,-0.47866077028085874,0.5833333333333334,0.08811295134322263,0.5952380952380952
recent_year_holdout,2019,TRUE,3,-2.595048677925608,1,2.0708825374736617,0.6666666666666666
recent_year_holdout,2020,FALSE,97,0.4493897110421806,0.6701030927835051,-0.19961407035880796,0.3711340206185567
recent_year_holdout,2020,TRUE,1,-4.234839265430689,1,0.1854368978159826,0
recent_year_holdout,2021,FALSE,164,0.3875772284471287,0.6280487804878049,-0.16024276926727402,0.4329268292682927
recent_year_holdout,2021,TRUE,8,0.4198477546568473,0.25,-0.9165612354563236,0.875
recent_year_holdout,2022,FALSE,174,0.6368594198999634,0.5114942528735632,0.9329612862288862,0.5517241379310345
recent_year_holdout,2022,TRUE,10,2.3752449081874643,0.1,1.8886251817626571,0.2
recent_year_holdout,2023,FALSE,155,0.5637828373345055,0.6064516129032258,-0.35179551823575533,0.45161290322580644
recent_year_holdout,2023,TRUE,6,0.2739392694114901,0.16666666666666666,0.2121011677697718,0.6666666666666666
recent_year_holdout,2024,FALSE,181,0.27117054332660934,0.39779005524861877,-0.23405579294101928,0.44751381215469616
recent_year_holdout,2024,TRUE,53,1.5323829997776932,0.32075471698113206,-1.3565517378706717,0.6226415094339622
recent_year_holdout,2025,FALSE,95,-0.029964472871213274,0.49473684210526314,-0.18137055199185667,0.4842105263157895
recent_year_holdout,2025,TRUE,10,0.8416134090710405,0.2,-0.6335511615914582,0.7
reef_blocked_5fold,1985,FALSE,1,0.6137859598004086,0,0.7564992083891942,0
reef_blocked_5fold,1986,FALSE,24,0.2038182373148765,0.5833333333333334,0.8804063271608003,0.6666666666666666
reef_blocked_5fold,1986,TRUE,8,-0.9398358333925014,0.625,2.6101957366440933,0
reef_blocked_5fold,1987,FALSE,34,-0.10019848102308153,0.6764705882352942,0.3831667564906614,0.5
reef_blocked_5fold,1987,TRUE,4,0.7038635147528727,0.25,0.4368834628562766,0.5
reef_blocked_5fold,1988,FALSE,33,-0.31388735230929443,0.6060606060606061,0.29113100927248664,0.5757575757575758
reef_blocked_5fold,1988,TRUE,5,-0.6228650141336807,0.8,1.0493683251369796,0.2
reef_blocked_5fold,1989,FALSE,34,-0.4736145214865107,0.5,0.12121535582872182,0.38235294117647056
reef_blocked_5fold,1989,TRUE,1,-1.3088164715178263,1,1.7509009934142117,0
reef_blocked_5fold,1990,FALSE,23,-0.33628331410919876,0.43478260869565216,0.26600936722873836,0.391304347826087
reef_blocked_5fold,1990,TRUE,4,0.1306699989188959,0.25,-0.2607103178000697,0.5
reef_blocked_5fold,1991,FALSE,19,-0.6469023366481176,0.5263157894736842,0.17077007498948593,0.5789473684210527
reef_blocked_5fold,1991,TRUE,1,-0.06099889822386828,1,-2.348775303932676,1
reef_blocked_5fold,1992,FALSE,5,0.5411216543453101,0.8,0.29078831114345394,0.2
reef_blocked_5fold,1992,TRUE,3,-5.247974745439153,0.6666666666666666,1.3912868095517288,0.6666666666666666
reef_blocked_5fold,1993,FALSE,24,0.24400516976169614,0.3333333333333333,0.11129138815900663,0.5
reef_blocked_5fold,1994,FALSE,57,0.22883332259780473,0.5263157894736842,0.0207402647775819,0.49122807017543857
reef_blocked_5fold,1994,TRUE,1,0.9721806233441155,0,-0.37151617044020036,1
reef_blocked_5fold,1995,FALSE,95,0.2902452792975476,0.49473684210526314,-0.15665019593828372,0.45263157894736844
reef_blocked_5fold,1996,FALSE,79,0.1234027164800428,0.4810126582278481,-0.022527223680220688,0.4810126582278481
reef_blocked_5fold,1996,TRUE,5,-2.0473977891566326,0.8,1.1675462691994813,0.2
reef_blocked_5fold,1997,FALSE,87,-0.026076617286697464,0.5057471264367817,0.024335475628755765,0.47126436781609193
reef_blocked_5fold,1997,TRUE,8,-0.9087091349252299,0.625,0.4842294105868393,0.5
reef_blocked_5fold,1998,FALSE,100,-0.10646289392519882,0.41,0.030984626395251336,0.51
reef_blocked_5fold,1998,TRUE,5,-0.934182292264367,0.8,0.7870417038904365,0.2
reef_blocked_5fold,1999,FALSE,86,-0.2614951273354168,0.5348837209302325,0.11070697912391113,0.5697674418604651
reef_blocked_5fold,1999,TRUE,6,-1.185405023276527,0.8333333333333334,0.9553219793533458,0.16666666666666666
reef_blocked_5fold,2000,FALSE,80,0.23498180391668688,0.475,-0.04299560581580718,0.4875
reef_blocked_5fold,2000,TRUE,5,-0.19862250949305935,0.4,0.482665667838148,0.2
reef_blocked_5fold,2001,FALSE,81,0.10226259688708414,0.48148148148148145,-0.12321153297543153,0.4691358024691358
reef_blocked_5fold,2001,TRUE,6,-1.9943557457250674,0.6666666666666666,0.16517608981711282,0.6666666666666666
reef_blocked_5fold,2002,FALSE,99,-0.27441175407843404,0.494949494949495,0.1876751256777265,0.48484848484848486
reef_blocked_5fold,2002,TRUE,4,0.29174786664222535,0,0.2507363338142575,0.25
reef_blocked_5fold,2003,FALSE,93,0.4208694034935792,0.45161290322580644,-0.2182484354936647,0.5376344086021505
reef_blocked_5fold,2003,TRUE,2,-0.6220100926537298,0.5,0.26506997852850367,0
reef_blocked_5fold,2004,FALSE,83,0.3228058436054037,0.4578313253012048,-0.16337874590340498,0.5180722891566265
reef_blocked_5fold,2004,TRUE,4,-0.15904018114585858,0.75,0.23676426906464876,0.5
reef_blocked_5fold,2005,FALSE,50,0.3161392589258981,0.52,0.004028365427141302,0.48
reef_blocked_5fold,2005,TRUE,1,0.7319717157487637,0,-0.8800192251273709,1
reef_blocked_5fold,2006,FALSE,89,0.32220322934013473,0.5617977528089888,0.5230331031135583,0.6404494382022472
reef_blocked_5fold,2006,TRUE,10,-1.314692465479425,0.5,1.8795333761613222,0.5
reef_blocked_5fold,2007,FALSE,65,0.5784239632706252,0.47692307692307695,-0.3333647587330559,0.5076923076923077
reef_blocked_5fold,2007,TRUE,5,-1.3764974944981347,0.4,-1.3464539790750194,0.6
