scheme,fold,transition_id,programme_key,ReefID,ReefName,event_year,pre_cover,post_cover,cover_change_pp,sst_maxdhw,prop_acropora_pre,wqc_freqcc12,wqc_prior10_percentile,log_coastal_rain30,era5_wind_calm_fraction,cyc_maxHrs4mw,cot_idwmeanpertow,DISTURBANCE_TYPE,disturbance_text,predicted_change_pp_Core_decomposed_BRT,predicted_change_pp_Modifier_rich_decomposed_BRT,predicted_change_pp_Mortality_augmented_decomposed_BRT,expected_gain_pp_Core_decomposed_BRT,expected_gain_pp_Modifier_rich_decomposed_BRT,expected_gain_pp_Mortality_augmented_decomposed_BRT,expected_loss_pp_Core_decomposed_BRT,expected_loss_pp_Modifier_rich_decomposed_BRT,expected_loss_pp_Mortality_augmented_decomposed_BRT,change_error_pp_Core_decomposed_BRT,change_error_pp_Modifier_rich_decomposed_BRT,change_error_pp_Mortality_augmented_decomposed_BRT,rich_minus_core_change_pp,augmented_minus_rich_change_pp,rich_improves_absolute_error,auxiliary_improves_absolute_error,severe_loss,augmented_absolute_error_pp
reef_blocked_5fold,2,2359,mmp,16-006,Snapper Reef (16-006),2024,0.5789794313776275,0,-57.89794313776275,6.872,0.13825214405281794,0.897197855579998,0.9,6.812168274251864,0.5164835164835165,0,0.001,m,"Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",-6.384962847487474,-3.752176633210802,-4.816811578215674,1.553936190514431,1.2909461277993637,1.589096696412473,7.938899038001897,5.0431227610101645,6.405908274628143,-51.51298029027528,-54.14576650455195,-53.081131559547075,2.632786214276672,-1.064634945004872,FALSE,TRUE,TRUE,53.081131559547075
reef_blocked_5fold,2,2320,mmp,16-006,Snapper Reef (16-006),2024,0.5029984341764817,0,-50.29984341764817,6.872,0.2276483309360394,0.897197855579998,0.9,6.812168274251864,0.5164835164835165,0,0.001,m,"Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",-5.165612034665562,-6.43034570066866,-6.00950939273715,1.2980856907152083,1.0480935748646447,1.1608167167184695,6.463697725380775,7.478439275533301,7.170326109455622,-45.134231382982605,-43.86949771697951,-44.29033402491102,-1.2647336660030977,0.42083630793151006,TRUE,FALSE,TRUE,44.29033402491102
reef_blocked_5fold,4,1225,manta,14-143,North Direction Reef (14-143),2024,0.5837507562816058,0.18210999156528573,-40.164076471632,6.23,0.4371273713667701,0.0201384624835262,0.8,6.662192357426267,0.1978021978021978,0,0.0092,b,DHW 6.23 aerial bl 5  coral bleaching,-6.585386651890223,-10.7503379905584,-13.028814457660932,2.918209099716076,1.888818426843618,2.0055587913193387,9.503595751606298,12.639156417402017,15.03437324898027,-33.578689819741776,-29.4137384810736,-27.13526201397107,-4.1649513386681765,-2.278476467102532,TRUE,TRUE,TRUE,27.13526201397107
reef_blocked_5fold,1,1332,manta,16-015,Mackay Reef (16-015),2024,0.4251201626271228,0.1647169175994882,-26.04032450276346,3.76809523809524,0.11108575555250784,0.0670124787248476,0.8,6.6724338344427165,0.15384615384615383,0,4e-4,m,"DHW 4.03  coral bleaching, Cyclone Jasper, flood waters",1.856072708699952,-1.8840920450293952,-3.596861197020751,3.8955590899028447,2.961285074254567,2.71336784571661,2.039486381202892,4.845377119283963,6.310229042737358,-27.896397211463412,-24.156232457734067,-22.44346330574271,-3.7401647537293474,-1.7127691519913557,TRUE,TRUE,TRUE,22.44346330574271
reef_blocked_5fold,3,830,ltmp,23-055a,One Tree Island Reef (23-055a),2024,0.6465710923203194,0.1903369869608328,-45.62341053594866,11.6123762376238,0.9167527148244318,0.0455607442369428,0.9,5.509502913839823,0.02197802197802198,0,0.0397,m,"DHW 11  coral bleaching, coral disease",-19.437425217370972,-18.41995690473488,-23.57043265110668,0.30507317390587396,0.31276360864916175,0.3012906596722565,19.742498391276857,18.73272051338404,23.871723310778933,-26.18598531857769,-27.203453631213776,-22.05297788484198,1.0174683126360904,-5.1504757463718,FALSE,TRUE,TRUE,22.05297788484198
reef_blocked_5fold,3,1129,manta,14-126,Linnet Reef (14-126),2024,0.4278475351183221,0.1220575893297948,-30.57899457885273,6.675,0.6343256027311654,0.536864378405265,1,6.662192357426267,0.2307692307692308,0,0.0201,b,DHW 6.73  coral bleaching,-3.2095084736767143,-13.136046959847723,-11.505786387667616,2.7635516424588813,1.998768069358889,2.2334970456631535,5.973060116135599,15.13481502920662,13.739283433330764,-27.369486105176012,-17.442947619005,-19.07320819118511,-9.926538486171008,1.6302605721801076,TRUE,FALSE,TRUE,19.07320819118511
reef_blocked_5fold,3,803,ltmp,23-048,Broomfield Reef (23-048),2024,0.5750808079045714,0.17919578831157115,-39.588501959300025,11.6140740740741,0.862233938344424,0.0430566355266609,0.7,5.301987044294902,0.03296703296703297,0,0,m,"Aerial bl 5 2024   DHW 11.6  coral bleaching, unknown storm",-15.072886336170232,-15.700258087096492,-20.821804883141706,0.3305905055017212,0.2533521064286689,0.2479605100109886,15.403476841671957,15.953610193525163,21.069765393152696,-24.515615623129793,-23.88824387220353,-18.766697076158323,-0.62737175092626,-5.121546796045214,TRUE,TRUE,TRUE,18.766697076158323
reef_blocked_5fold,4,2250,manta,23-080,Hoskyn Islands Reef (23-080),2024,0.6184300829752357,0.2796426122542491,-33.87874707209866,11.25625,0.2564604331895856,0.0454545468091965,0.85,5.784058808178996,0.01098901098901099,0,0.0161,b,DHW 11.48  coral bleaching,-15.2216324391386,-12.538498254430086,-16.862615987565533,0.34535387392580913,0.4240042043675016,0.3867626849382982,15.566986313064412,12.962502458797587,17.249378672503834,-18.657114632960063,-21.340248817668577,-17.01613108453313,2.683134184708514,-4.324117733135447,FALSE,TRUE,TRUE,17.01613108453313
reef_blocked_5fold,5,2011,manta,21-187,U/N Reef (21-187),2024,0.6246600212356924,0.3486641253272356,-27.59958959084568,7.18220338983051,0.3136770924524844,0,0.4,5.04829112437769,0.03296703296703297,0,0,NA,NA,-6.789680206859838,-4.803385573547669,-11.33253207508057,0.5799769951652646,0.4683178085898581,0.48308842211274783,7.3696572020251,5.271703382137524,11.81562049719331,-20.809909383985843,-22.796204017298013,-16.26705751576511,1.986294633312169,-6.5291465015329,FALSE,TRUE,TRUE,16.26705751576511
reef_blocked_5fold,1,2389,mmp,16-054a,Fitzroy Island Reef (No 1) (16-054a),2024,0.4612107630161933,0.21942723263160793,-24.178353038458535,7.66,0.589862940713534,0.529954681473679,0.9,6.977581085825649,0.2087912087912088,0,1e-4,b | m,"partial bleaching during bleaching surveys Feb24 | bleaching observed during targetted bleaching surveys  coral bleaching at 2.0 m only | coral bleaching at 2.0 m only, Cyclone Jasper",-8.089254609087304,-9.74245487374558,-8.019152690324033,1.1497394707702857,0.8217183778809466,0.8130419984356979,9.238994079857584,10.564173251626531,8.83219468875973,-16.089098429371234,-14.435898164712954,-16.159200348134505,-1.6532002646582757,1.7233021834215467,TRUE,FALSE,TRUE,16.159200348134505
reef_blocked_5fold,5,2058,manta,21-529,U/N Reef (21-529),2024,0.6491509096157588,0.4106197004805056,-23.853120913525327,7.19,0.38615538690823586,0,0.5,5.04829112437769,0.04395604395604396,0,0,b,Aerial bl 5 2024 DHW 7.19 2024  coral bleaching,-3.5111234408860437,-3.8970618720909345,-7.955402248863585,0.7336903138997856,0.6812832878548921,0.6573794072685635,4.244813754785827,4.578345159945831,8.612781656132153,-20.341997472639285,-19.956059041434393,-15.897718664661742,-0.3859384312048908,-4.058340376772651,TRUE,TRUE,TRUE,15.897718664661742
reef_blocked_5fold,2,1387,manta,16-028,Low Islands Reef (16-028),2024,0.5110399637147486,0.29757599907640114,-21.346396463834743,6.42,0.07365554786941506,0.564896066302209,1,6.900914657280194,0.6263736263736264,0,1e-4,m,"Jasper Jasper Cyclone Jasper, flood waters, coral bleaching",-3.910696101643568,-2.575129270103227,-5.7991576887350575,2.9706782555794704,2.236274262239915,2.4343709154426603,6.881374357223042,4.811403532343137,8.233528604177717,-17.435700362191177,-18.77126719373152,-15.547238775099686,1.335566831540341,-3.2240284186318307,FALSE,TRUE,TRUE,15.547238775099686
reef_blocked_5fold,4,2431,mmp,17-009a,Tobias Spit (17-009a),2024,0.3552809499113012,0.1601073468744418,-19.51736030368594,6.32,0.2715440227550341,0.748991096360115,0.8,6.845372987621058,0.6153846153846154,0,1e-4,m,"clear depth limit to level of mortality  flood waters at 2.0 m only, Cyclone Jasper at 2.0 m only, crown-of-thorns starfish at 5.0 m only",-0.719780532196912,-4.651084843218345,-5.10717547651503,3.6171508378921136,2.7082400875662103,2.7915302370376702,4.336931370089025,7.359324930784554,7.898705713552699,-18.79757977148903,-14.866275460467596,-14.41018482717091,-3.931304311021433,-0.456090633296685,TRUE,TRUE,TRUE,14.41018482717091
reef_blocked_5fold,3,2681,mmp,18-049e,Orpheus (Goolboddi) Island Reef (No 5) (18-049e),2024,0.4325126192195391,0.2869674987340918,-14.554512048544735,5.53888888888889,0.9172638468175502,0.281607665198612,0.3,6.212002270133139,0.2087912087912088,0,0.0011,m,"bleaching observed during targetted bleaching surveys  coral bleaching, Cyclone Kirrily",-5.541960293442466,-2.366161737986483,-2.240777858781068,1.3421384250499755,1.1663105310055273,1.296750114007199,6.8840987184924405,3.532472268992009,3.537527972788267,-9.01255175510227,-12.188350310558254,-12.313734189763668,3.1757985554559833,0.12538387920541494,FALSE,FALSE,TRUE,12.313734189763668
