programme_key,fold,weight_brms,weight_brt,meta_analysis_rows
manta,2016,0.8598193119442213,0.14018068805577866,228
manta,2017,0.8418175779341034,0.1581824220658966,225
manta,2020,0.7523302866139991,0.24766971338600086,185
manta,2022,0.8722501445024254,0.12774985549757456,195
manta,2024,1,0,159
ltmp,2016,0.5136921315160793,0.4863078684839207,177
ltmp,2017,0.562537305978185,0.43746269402181504,180
ltmp,2020,0.6101805182468019,0.38981948175319814,152
ltmp,2022,0.5918949663695147,0.40810503363048534,163
ltmp,2024,0.7672876330475574,0.23271236695244257,124
mmp,2017,0.8336971248101377,0.1663028751898623,58
mmp,2022,0.8169730379764455,0.1830269620235545,86
mmp,2024,0.5237710274159082,0.4762289725840918,36
