programme_key,learner,event_year,n,observed_mean,predicted_mean,bias_observed_minus_predicted,rmse,severe_mae
ltmp,benchmark_brms,2016,22,0.18330675000243254,0.18920826642800773,-0.005901516425575166,0.18535493890490926,0.19926261321068636
ltmp,benchmark_brms,2017,19,0.18617327096624434,0.18590378877612612,2.694821901182088e-4,0.2371341813151512,0.2692018118069327
ltmp,benchmark_brms,2020,47,0.02271156283741858,0.058691287961664444,-0.03597972512424586,0.09736977799204405,0.33883349316542044
ltmp,benchmark_brms,2022,36,0.01585845519859899,0.04622652114286182,-0.03036806594426283,0.05423641605095836,0.12526045760539423
ltmp,benchmark_brms,2024,75,0.11262580066603782,0.10093597896999319,0.011689821696044636,0.12489799293190104,0.1977905582847029
ltmp,benchmark_brt,2016,22,0.18330675000243254,0.1261195885026089,0.05718716149982364,0.1889749645906294,0.23874308359231147
ltmp,benchmark_brt,2017,19,0.18617327096624434,0.18580423010967423,3.690408565701001e-4,0.25588426150926674,0.3106657441417447
ltmp,benchmark_brt,2020,47,0.02271156283741858,0.03817442471617015,-0.01546286187875157,0.09375078081580274,0.3316943708520984
ltmp,benchmark_brt,2022,36,0.01585845519859899,0.024492151828665498,-0.00863369663006651,0.04447576544511835,0.16277147950988385
ltmp,benchmark_brt,2024,75,0.11262580066603782,0.07082848415592496,0.04179731651011286,0.13579691980696335,0.2803882901329117
ltmp,benchmark_ensemble,2016,22,0.18330675000243254,0.1677049036125228,0.015601846389909736,0.1786359213866346,0.21271927305297966
ltmp,benchmark_ensemble,2017,19,0.18617327096624434,0.18586149052638576,3.1178043985858136e-4,0.2419591277018538,0.2761097296117317
ltmp,benchmark_ensemble,2020,47,0.02271156283741858,0.052124095489074575,-0.029412532651655995,0.09057315214689644,0.3365483490010345
ltmp,benchmark_ensemble,2022,36,0.01585845519859899,0.03870152916154728,-0.022843073962948292,0.048567004002695584,0.138247728363595
ltmp,benchmark_ensemble,2024,75,0.11262580066603782,0.08895175474402241,0.023674045922015413,0.12149048194791223,0.21707521226418552
ltmp,recommended_route,2016,22,0.18330675000243254,0.1338563512188481,0.04945039878358447,0.1759081386375274,0.23128436927075635
ltmp,recommended_route,2017,19,0.18617327096624434,0.17982045722384127,0.006352813742403059,0.23098921575898854,0.2530014383786482
ltmp,recommended_route,2020,47,0.02271156283741858,0.05535760864803303,-0.03264604581061445,0.0908157769621334,0.32780208071983236
ltmp,recommended_route,2022,36,0.01585845519859899,0.04076141472197736,-0.024902959523378378,0.049491336152829586,0.12163180948997662
ltmp,recommended_route,2024,75,0.11262580066603782,0.11326847482058838,-6.426741545505672e-4,0.12172830710231293,0.1670095439309624
ltmp,shape_brms,2016,22,0.18330675000243254,0.183062311349942,2.4443865249055516e-4,0.16323620600653607,0.1759428769575281
ltmp,shape_brms,2017,19,0.18617327096624434,0.18555112374149388,6.221472247504396e-4,0.22852376343845354,0.2592997979218581
ltmp,shape_brms,2020,47,0.02271156283741858,0.05289123991835665,-0.030179677080938064,0.09963260428371364,0.36647794632751346
ltmp,shape_brms,2022,36,0.01585845519859899,0.04093009096797745,-0.025071635769378462,0.0559159153284034,0.1551974211507405
ltmp,shape_brms,2024,75,0.11262580066603782,0.11152925840665083,0.0010965422593869993,0.13673790779870948,0.19222437743416862
ltmp,shape_brt,2016,22,0.18330675000243254,0.08187957646124903,0.10142717354118352,0.20672174223349157,0.2897421713957551
ltmp,shape_brt,2017,19,0.18617327096624434,0.1724513403863289,0.013721930579915442,0.24298544655231724,0.2774454779595924
ltmp,shape_brt,2020,47,0.02271156283741858,0.05921819084082975,-0.03650662800341117,0.09213367762893397,0.2672631368630458
ltmp,shape_brt,2022,36,0.01585845519859899,0.04051677519850617,-0.024658319999907183,0.05209534781063056,0.0729499385304807
ltmp,shape_brt,2024,75,0.11262580066603782,0.11900293261105181,-0.006377131945013988,0.1372198934401491,0.21772291170692779
ltmp,shape_ensemble,2016,22,0.18330675000243254,0.1338563512188481,0.04945039878358447,0.1759081386375274,0.23128436927075635
ltmp,shape_ensemble,2017,19,0.18617327096624434,0.17982045722384127,0.006352813742403059,0.23098921575898854,0.2530014383786482
ltmp,shape_ensemble,2020,47,0.02271156283741858,0.05535760864803303,-0.03264604581061445,0.0908157769621334,0.32780208071983236
ltmp,shape_ensemble,2022,36,0.01585845519859899,0.04076141472197736,-0.024902959523378378,0.049491336152829586,0.12163180948997662
ltmp,shape_ensemble,2024,75,0.11262580066603782,0.11326847482058838,-6.426741545505672e-4,0.12172830710231293,0.1670095439309624
manta,benchmark_brms,2016,20,0.14544376847496326,0.13387766277457183,0.011566105700391429,0.12937391433084727,0.14780685282053146
manta,benchmark_brms,2017,23,0.13097818838058506,0.11040179172106135,0.020576396659523693,0.11997856326935831,0.18883608738864127
manta,benchmark_brms,2020,63,0.01145997072577666,0.07434306949277258,-0.06288309876699592,0.07618551675374981,0.16726398543228635
manta,benchmark_brms,2022,53,0.03579084242297705,0.06654131305643222,-0.030750470633455172,0.09667998037363569,0.24867626684445052
manta,benchmark_brms,2024,89,0.1910089706758529,0.10656478659181992,0.08444418408403298,0.1945804811762916,0.23836411233238236
manta,benchmark_brt,2016,20,0.14544376847496326,0.13918741951886474,0.006256348956098542,0.13094289154429894,0.15133221922509618
manta,benchmark_brt,2017,23,0.13097818838058506,0.11836636041922671,0.012611827961358336,0.11898835379676971,0.1775989821930908
manta,benchmark_brt,2020,63,0.01145997072577666,0.13955676160283934,-0.12809679087706266,0.15076793503796437,0.05254673452510053
manta,benchmark_brt,2022,53,0.03579084242297705,0.08796768674586543,-0.05217684432288838,0.13794868171869895,0.22921926496725287
manta,benchmark_brt,2024,89,0.1910089706758529,0.038278543559840464,0.15273042711601242,0.23687851146614763,0.3267273526874084
manta,benchmark_ensemble,2016,20,0.14544376847496326,0.13387766277457183,0.011566105700391429,0.12937391433084727,0.14780685282053146
manta,benchmark_ensemble,2017,23,0.13097818838058506,0.11040179172106135,0.020576396659523693,0.11997856326935831,0.18883608738864127
manta,benchmark_ensemble,2020,63,0.01145997072577666,0.07434306949277258,-0.06288309876699592,0.07618551675374981,0.16726398543228635
manta,benchmark_ensemble,2022,53,0.03579084242297705,0.06654131305643222,-0.030750470633455172,0.09667998037363569,0.24867626684445052
manta,benchmark_ensemble,2024,89,0.1910089706758529,0.10656478659181992,0.08444418408403298,0.1945804811762916,0.23836411233238236
manta,recommended_route,2016,20,0.14544376847496326,0.13387766277457183,0.011566105700391429,0.12937391433084727,0.14780685282053146
manta,recommended_route,2017,23,0.13097818838058506,0.11040179172106135,0.020576396659523693,0.11997856326935831,0.18883608738864127
manta,recommended_route,2020,63,0.01145997072577666,0.07434306949277258,-0.06288309876699592,0.07618551675374981,0.16726398543228635
manta,recommended_route,2022,53,0.03579084242297705,0.06654131305643222,-0.030750470633455172,0.09667998037363569,0.24867626684445052
manta,recommended_route,2024,89,0.1910089706758529,0.10656478659181992,0.08444418408403298,0.1945804811762916,0.23836411233238236
manta,shape_brms,2016,20,0.14544376847496326,0.11310516447668151,0.032338603998281756,0.1395011114722615,0.19537067162199742
manta,shape_brms,2017,23,0.13097818838058506,0.11356608722863318,0.017412101151951867,0.09945753960131838,0.14052819227746755
manta,shape_brms,2020,63,0.01145997072577666,0.058008917943923585,-0.04654894721814693,0.06391979732840616,0.17975770193460291
manta,shape_brms,2022,53,0.03579084242297705,0.06356029961019924,-0.02776945718722219,0.10968997852694841,0.2471258935744279
manta,shape_brms,2024,89,0.1910089706758529,0.11810794910436562,0.07290102157148728,0.21002250567261335,0.25677584510181034
manta,shape_brt,2016,20,0.14544376847496326,0.1461219069222106,-6.781384472473518e-4,0.12808061877143787,0.1545228578237245
