max_rhat,min_bulk_ess,min_tail_ess,divergences,max_treedepth_hits,programme_key,fold,n_analysis,n_assessment
1.0055530317011452,357.12685110627365,396.8729798317693,0,0,manta,2016,228,20
1.0079090820623444,381.35945745924124,520.0482203587948,0,0,manta,2017,225,23
1.0048812275721428,938.6374096530045,1761.8940671154146,0,0,manta,2020,185,63
1.0055786633816057,241.85526045962916,541.7381762060749,0,0,manta,2022,195,53
1.006356627668372,400.5816139079052,578.4874872509843,0,0,manta,2024,159,89
1.005074343180094,280.5478952840755,404.20691260799913,0,0,ltmp,2016,177,22
1.008473807532575,868.45780209147415,1519.904407515468,0,0,ltmp,2017,180,19
1.006069651682342,634.3301432948912,1160.7295243343178,0,0,ltmp,2020,152,47
1.0044009246863534,781.7308527409181,1474.720700907811,0,0,ltmp,2022,163,36
1.0065481230028537,170.2824523051993,326.50097393285625,0,0,ltmp,2024,124,75
1.0037909811868482,1567.8288337097906,2150.2834678951517,0,0,mmp,2017,58,32
1.0052229639568004,646.3123190524052,815.5873130407765,0,0,mmp,2022,86,4
1.005193643054245,688.3422835903533,928.8508088693652,0,0,mmp,2024,36,54
