programme_key,learner,n,rmse,mae,predictive_r2,bias_observed_minus_predicted,severe_mae,high_dhw_mae,high_dhw_bias,high_dhw_high_acropora_mae,high_dhw_high_acropora_bias,low_event_mae,low_event_bias
ltmp,benchmark_brms,199,0.1334829739246388,0.08861080766657566,0.3600276021006188,-0.010212432298392348,0.22019744551309506,0.16608682855397072,0.05938136550828463,0.19492239455908353,0.03332650470248826,0.05454002597206841,-0.03354575246786768
ltmp,benchmark_brt,199,0.13994034297995506,0.08299497442489903,0.29661133841993326,0.016896283821837683,0.27464685642751663,0.2037664479241559,0.16679282392698103,0.2814857194878091,0.2519042157136489,0.038064320068346924,-0.012500814301008653
ltmp,benchmark_ensemble,199,0.1305545254661115,0.08476527345443174,0.3877999560228249,-4.021196191331004e-4,0.23360894950448682,0.16736259379562415,0.10203376938092092,0.2024142259828753,0.12033089732080711,0.0487748770934007,-0.026563128883059884
ltmp,recommended_route,199,0.12841651730876918,0.08022762851639638,0.4076869919702998,-0.00638421619692099,0.2120563476737631,0.13593339445038458,-0.07001642569942239,0.203132893665778,-0.16883165427741131,0.0507245131413987,-0.029287598746271095
ltmp,shape_brms,199,0.13374874445895804,0.0820737133309467,0.35747663810373453,-0.011163741675490644,0.21235129814507464,0.16486945646033244,-0.1322147518110129,0.26401082187395936,-0.2597887135208279,0.05163358614922412,-0.027964141090382092
ltmp,shape_brt,199,0.1412579090920514,0.08944391057494695,0.2833038980634329,-0.0029632232819527737,0.2483710824711483,0.1559790021642602,0.09052392532729839,0.23186715337922273,0.13106743406846066,0.04976634888854637,-0.031367602845264866
ltmp,shape_ensemble,199,0.12841651730876918,0.08022762851639638,0.4076869919702998,-0.00638421619692099,0.2120563476737631,0.13593339445038458,-0.07001642569942239,0.203132893665778,-0.16883165427741131,0.0507245131413987,-0.029287598746271095
manta,benchmark_brms,248,0.1405142011824484,0.10523346489534197,0.16869896978569987,0.010599602640169119,0.22102067251793067,0.1282981432005666,0.037232504504487215,0.10902731306165396,0.03883031276045948,0.07308272723591659,-0.04820181177494713
manta,benchmark_brt,248,0.18075903858663478,0.13612159936856655,-0.37568159402193024,0.0127932921822189,0.2787051912851786,0.2578064452054702,0.21165370875804324,0.3299167094488471,0.3299167094488471,0.11738158356923727,-0.09340922908937958
manta,benchmark_ensemble,248,0.1405142011824484,0.10523346489534197,0.16869896978569987,0.010599602640169119,0.22102067251793067,0.1282981432005666,0.037232504504487215,0.10902731306165396,0.03883031276045948,0.07308272723591659,-0.04820181177494713
manta,recommended_route,248,0.1405142011824484,0.10523346489534197,0.16869896978569987,0.010599602640169119,0.22102067251793067,0.1282981432005666,0.037232504504487215,0.10902731306165396,0.03883031276045948,0.07308272723591659,-0.04820181177494713
manta,shape_brms,248,0.14807305103631552,0.10154496060095329,0.07685497971072353,0.012625308147809936,0.23475280708298707,0.16704794122143513,-0.13827102994213036,0.18050817292600346,-0.17775257633178482,0.06639767273404858,-0.037968662979879594
manta,shape_brt,248,0.18040769024887415,0.12631443865724337,-0.3703388604198026,0.02840513039335293,0.2890958515794343,0.2609017075747221,0.22527763507735424,0.3538458628481885,0.3538458628481885,0.09566220245469068,-0.07035091689886654
manta,shape_ensemble,248,0.14940051552896727,0.10487989078775721,0.060228926163038765,0.008401606605558228,0.23380188973710672,0.16798758904293337,-0.13413589502969067,0.18050817292600346,-0.17775257633178482,0.0732612096498579,-0.04621891256870641
mmp,benchmark_brms,90,0.24297565727457948,0.17406036674340947,-0.09811522009836238,0.05275894466212519,0.28830430885677427,0.20415931119268224,0.14247874659407841,0.3402094719736816,0.32785865626902827,0.14971876403596776,-0.14971876403596776
mmp,benchmark_brt,90,0.25196995239494213,0.17553506566557564,-0.1809183950778206,0.0775667936763093,0.3188992074950693,0.21168284500278237,0.16500162190389359,0.3516964972187862,0.3516964972187862,0.15020848733437808,-0.15020848733437808
mmp,benchmark_ensemble,90,0.24553997515454432,0.17442929053526515,-0.12141612063053175,0.05952951847278873,0.29708911808279875,0.2056132559582666,0.14786416302143676,0.3441142684238671,0.3363110855104768,0.14971876403596776,-0.14971876403596776
mmp,recommended_route,90,0.21638413138105295,0.141590251874341,0.1290901616398057,0.004318675446814763,0.20697713909277676,0.11971784960996426,-0.03706650507873284,0.12269550155961784,-0.01024015245055055,0.14209632280117065,-0.14209632280117065
mmp,shape_brms,90,0.21638413138105295,0.141590251874341,0.1290901616398057,0.004318675446814763,0.20697713909277676,0.11971784960996426,-0.03706650507873284,0.12269550155961784,-0.01024015245055055,0.14209632280117065,-0.14209632280117065
mmp,shape_brt,90,0.25793081705781384,0.1754822194487042,-0.23745338364773172,0.0973876186349449,0.3374553808363339,0.2212171583834711,0.18600876801533453,0.3734790565140095,0.3734790565140095,0.1519969808158793,-0.1519969808158793
mmp,shape_ensemble,90,0.2205065882122295,0.14926038312960518,0.09558965956490606,0.044252808907838545,0.24642161660351256,0.14319040387907475,0.06310965223991773,0.2015833653791578,0.1724980521954223,0.14390841015963693,-0.14390841015963693
