programme_key,learner,composition,prop_acropora_pre,observed_pre_cover,ann_maxdhw,occurrence,positive,mortality,q05,q95,outside_tree_support,observed_dhw_max
manta,benchmark_brms,Acropora dominated,0.9,0.55,0,0.5633337732373174,0.34637581470154505,0.1954296099749527,0.03262702806035765,0.47239129706489086,NA,NA
manta,benchmark_brms,Acropora dominated,0.9,0.55,0.25,0.5719828679185536,0.3444350049675032,0.1972961679179951,0.034763502390272136,0.4717382823740826,NA,NA
manta,benchmark_brms,Acropora dominated,0.9,0.55,0.5,0.5806661891655881,0.34250230437509993,0.19914702552616906,0.036901022170499856,0.47039828943269485,NA,NA
manta,benchmark_brms,Acropora dominated,0.9,0.55,0.75,0.5893725416999452,0.3405731625616962,0.2009757481609809,0.03915658995474178,0.4692575302807912,NA,NA
manta,benchmark_brms,Acropora dominated,0.9,0.55,1,0.5980902917214859,0.3386425639785433,0.20277539575340145,0.04155522256488473,0.4633553950330418,NA,NA
manta,benchmark_brms,Acropora dominated,0.9,0.55,1.25,0.6068074443521393,0.3367050164992166,0.20453852486108545,0.04340815629345994,0.4608025955574867,NA,NA
manta,benchmark_brms,Acropora dominated,0.9,0.55,1.5,0.61551173023847106,0.3347545588896017,0.20625720502272987,0.04558910433999181,0.4571303983538519,NA,NA
manta,benchmark_brms,Acropora dominated,0.9,0.55,1.75,0.6241906994692562,0.33278478975754344,0.2079230516528263,0.04764637456159406,0.45482615107716823,NA,NA
manta,benchmark_brms,Acropora dominated,0.9,0.55,2,0.6328318207380996,0.3307889205143669,0.20952727777263017,0.05030945800599584,0.4527442133713165,NA,NA
manta,benchmark_brms,Acropora dominated,0.9,0.55,2.25,0.6414225836107257,0.3287598547839526,0.21106076695217746,0.05201472830096113,0.4497318865102731,NA,NA
manta,benchmark_brms,Acropora dominated,0.9,0.55,2.5,0.6499506018114548,0.32669029663230165,0.21251416995410122,0.05421929868093137,0.4488191596610677,NA,NA
manta,benchmark_brms,Acropora dominated,0.9,0.55,2.75,0.6584037155717908,0.3245728900067049,0.21387802772802883,0.0566748381257363,0.4494283956040747,NA,NA
manta,benchmark_brms,Acropora dominated,0.9,0.55,3,0.6667700912320247,0.3224003918988617,0.21514292360215037,0.05838305986650888,0.4485866698295562,NA,NA
manta,benchmark_brms,Acropora dominated,0.9,0.55,3.25,0.6750383164164938,0.32016588197945756,0.21629966774234685,0.06053309377252671,0.44530855247950435,NA,NA
