programme_key,source_observation_id,ReefID,ReefName,event_year,region_block,observed_mortality,scheme,fold,ann_maxdhw,prop_acropora_pre,observed_pre_cover,learner,predicted_occurrence,predicted_positive_loss,predicted_mortality,prediction_q05,prediction_q50,prediction_q95,residual,absolute_error,severe,high_dhw,high_dhw_high_acropora,low_mortality_event
manta,1273202,13-118a,Creech Reef (North) (13-118a),2016,Northern GBR,0.38243677390482966,leave_one_event_out,2016,9.82,0.1160009674795442,0.5454980628513275,benchmark_brms,0.6218253699483682,0.4702883118505638,0.29253307454537986,NA,NA,NA,0.0899036993594498,0.0899036993594498,TRUE,FALSE,FALSE,FALSE
manta,1273145,13-121,U/N Reef (13-121),2016,Northern GBR,0.39358480326995926,leave_one_event_out,2016,9.98,0.12079338210246623,0.22067662178568376,benchmark_brms,0.5715233704223903,0.49367577062424983,0.28259126323257494,NA,NA,NA,0.11099354003738432,0.11099354003738432,TRUE,FALSE,FALSE,FALSE
manta,4285232,13-124,U/N Reef (13-124),2016,Northern GBR,0.12249764773467146,leave_one_event_out,2016,7.04,0.11860701234673533,0.24797977140418176,benchmark_brms,0.5201944318248264,0.3757046938139852,0.19493930904980528,NA,NA,NA,-0.07244166131513381,0.07244166131513381,FALSE,FALSE,FALSE,FALSE
manta,4285439,13-127,Rodda Reef (13-127),2016,Northern GBR,0.26680976007009627,leave_one_event_out,2016,8.24,0.12565038764157993,0.35991753534805637,benchmark_brms,0.5449922381603708,0.4876862893086174,0.26569774775330596,NA,NA,NA,0.0011120123167903118,0.0011120123167903118,TRUE,FALSE,FALSE,FALSE
manta,4206382,14-114,MacGillivray Reef (14-114),2016,Northern GBR,0.14105772044354065,leave_one_event_out,2016,8.61,0.012206575097515862,0.08482093786202573,benchmark_brms,0.5363180320965596,0.5190908657315815,0.2780462282403104,NA,NA,NA,-0.13698850779676974,0.13698850779676974,FALSE,FALSE,FALSE,FALSE
manta,4206433,15-099c,Agincourt Reefs (No 1) (15-099c),2016,Central GBR,0.2721051385461741,leave_one_event_out,2016,6.890000000000001,0.30463843268583835,0.1830756463147309,benchmark_brms,0.4971504470751087,0.2827874092313425,0.1401797935063431,NA,NA,NA,0.13192534503983097,0.13192534503983097,TRUE,FALSE,FALSE,FALSE
manta,4206198,16-015,Mackay Reef (16-015),2016,Central GBR,0,leave_one_event_out,2016,2.75,0.2318156168657843,0.16947795941432048,benchmark_brms,0.36639518952565536,0.3017021479154195,0.11014714996703588,NA,NA,NA,-0.11014714996703588,0.11014714996703588,FALSE,FALSE,FALSE,FALSE
manta,4206495,16-019,St Crispin Reef (16-019),2016,Central GBR,0.47023809222379687,leave_one_event_out,2016,5.82,0.26925833368007346,0.19884073261590862,benchmark_brms,0.4528323848538905,0.2504724036637966,0.11291634224639986,NA,NA,NA,0.357321749977397,0.357321749977397,TRUE,FALSE,FALSE,FALSE
manta,4068506,16-025,Opal Reef (16-025),2016,Central GBR,0.2340318988169492,leave_one_event_out,2016,5.82,0.24670223660435814,0.20866431477244923,benchmark_brms,0.4582044391339494,0.31747831613807675,0.14535469677913415,NA,NA,NA,0.08867720203781504,0.08867720203781504,TRUE,FALSE,FALSE,FALSE
manta,4068398,16-049,Green Island Reef (16-049),2016,Central GBR,0,leave_one_event_out,2016,3.67,0.01851190292821619,0.08064207633580285,benchmark_brms,0.38943719648100455,0.3898277573274994,0.15143927824440745,NA,NA,NA,-0.15143927824440745,0.15143927824440745,FALSE,FALSE,FALSE,FALSE
manta,4206254,16-057,Hastings Reef (16-057),2016,Central GBR,0.18667456706796567,leave_one_event_out,2016,5.29,0.26029668302176,0.21721298885573315,benchmark_brms,0.41259192137751743,0.363871749007986,0.15013547443987557,NA,NA,NA,0.0365390926280901,0.0365390926280901,FALSE,FALSE,FALSE,FALSE
manta,4206526,16-060,Michaelmas Reef (16-060),2016,Central GBR,0,leave_one_event_out,2016,4.62,0.4029285931619887,0.12697280778440492,benchmark_brms,0.3796672947451527,0.22547216188592956,0.08562513683515915,NA,NA,NA,-0.08562513683515915,0.08562513683515915,FALSE,FALSE,FALSE,FALSE
manta,4067445,16-064,Arlington Reef (16-064),2016,Central GBR,0,leave_one_event_out,2016,4.3500000000000005,0.31928139334368155,0.15541956021217848,benchmark_brms,0.38009763946189834,0.2768837775157352,0.10490474231670804,NA,NA,NA,-0.10490474231670804,0.10490474231670804,FALSE,FALSE,FALSE,FALSE
manta,4068586,17-032,Wardle Reef (17-032),2016,Central GBR,0.32461427064832626,leave_one_event_out,2016,4.25,0.37879380044863115,0.17153797099516707,benchmark_brms,0.35475111464509007,0.19824922977620377,0.06989984967327338,NA,NA,NA,0.25471442097505287,0.25471442097505287,TRUE,FALSE,FALSE,FALSE
manta,4068675,17-034,Feather Reef (17-034),2016,Central GBR,0,leave_one_event_out,2016,2.3000000000000003,0.285024077948406,0.2126643633997911,benchmark_brms,0.32232030349800594,0.2726773065693006,0.08765085744011858,NA,NA,NA,-0.08765085744011858,0.08765085744011858,FALSE,FALSE,FALSE,FALSE
manta,4067801,20-287,Credlin Reefs (East) (20-287),2016,Southern GBR,0,leave_one_event_out,2016,2.04,0.24773964736805465,0.22940510456842383,benchmark_brms,0.35105469143648577,0.1952424260215557,0.06784469420339043,NA,NA,NA,-0.06784469420339043,0.06784469420339043,FALSE,FALSE,FALSE,FALSE
manta,4284385,21-305,East Cay Reef (21-305),2016,Southern GBR,0,leave_one_event_out,2016,0,0.19337438692150824,0.3060918340269151,benchmark_brms,0.3065297444563781,0.08546418004023563,0.02591013363827081,NA,NA,NA,-0.02591013363827081,0.02591013363827081,FALSE,FALSE,FALSE,FALSE
manta,3989236,22-104a,Horseshoe Reef (No 1) (22-104a),2016,Southern GBR,0,leave_one_event_out,2016,0.37,0.5659424850063148,0.22088426215079246,benchmark_brms,0.31530238643497294,0.06567409320192408,0.02076223596650316,NA,NA,NA,-0.02076223596650316,0.02076223596650316,FALSE,FALSE,FALSE,FALSE
