model,held_out_year,all_cell_mae,flood30_cell_mae,flood30_cell_bias,flood30_detection,flood28_detection
Rainfall + optics + wind + spatial,2016,0.3379538390537323,5.930989286215044,5.930989286215044,0,0
Rainfall + optics + wind + spatial,2017,0.4568111576779747,8.409986440398876,8.409986440398876,0,0
Rainfall + optics + wind + spatial,2020,0.38268043936364404,3.7263916546287694,3.7263916546287694,0,0
Spatial prior,2016,0.35179906261250593,5.8904663146842,5.8904663146842,0,0
Spatial prior,2017,0.41643778756232913,8.441928203970818,8.441928203970818,0,0
Spatial prior,2020,0.34025673695277536,3.746420873782999,3.746420873782999,0,0
