ereefs_lat_index,ereefs_lon_index,year,lon,lat,n_reef_features,salinity_min,freshwater_exposure_30,freshwater_exposure_28,days_below_30,days_below_28,salinity_complete_q1,salinity_forcing_warning,k490_q90,coastal_distance_km,coastal_rain_december,coastal_rain_q1,coastal_rain_max_7day,coastal_rain_max_30day,reef_rain_q1,reef_wind_mean,reef_wind_calm3,flood30,flood28,log_kd,log_coastal_rain30,log_coastal_rain7,log_reef_rain
135,366,2016,153.148788,-24.646022,1,35.21588134765625,0,0,0,0,TRUE,FALSE,0.1010000005364418,0,43.71166229248047,415.2003173828125,199.6939182281494,291.19157791137695,415.2003173828125,7.404354095458984,0.01098901098901099,FALSE,FALSE,-2.292634756829573,5.677409675873751,5.301780952543698,6.031166676532075
135,366,2017,153.148788,-24.646022,1,35.33842086791992,0,0,0,0,TRUE,FALSE,0.1272800058126449,0,43.7979736328125,277.83941650390625,91.08781623840332,170.92299270629883,277.83941650390625,6.6358819007873535,0.03333333333333333,FALSE,FALSE,-2.061365849284435,5.147046659734507,4.522742646110849,5.630636048032112
135,366,2020,153.148788,-24.646022,1,34.91048049926758,0,0,0,0,TRUE,FALSE,0.1356000006198883,0,27.15265655517578,297.9632568359375,68.06707572937012,177.8349895477295,297.9632568359375,6.489619255065918,0.01098901098901099,FALSE,FALSE,-1.998045898904394,5.186463534577258,4.23507814442222,5.700320679003151
135,366,2022,153.148788,-24.646022,1,34.42588806152344,0,0,0,0,TRUE,TRUE,0.1787999987602234,0,121.526123046875,405.6412048339844,159.21616744995117,274.29247093200684,405.6412048339844,7.348341941833496,0.03333333333333333,FALSE,FALSE,-1.7214874231765969,5.617834063180346,5.076523949953817,6.007931236035065
135,366,2024,153.148788,-24.646022,1,35.46816635131836,0,0,0,0,FALSE,FALSE,0.0930000022053718,0,53.32493591308594,309.346923828125,72.69525527954102,158.43939781188965,309.346923828125,7.463930130004883,0.02197802197802198,FALSE,FALSE,-2.375155762115206,5.071663899002585,4.299938418283549,5.737690780866362
139,365,2016,153.118788,-24.526022,1,35.21669006347656,0,0,0,0,TRUE,FALSE,0.0552200004458427,27.79877005838348,43.71166229248047,415.2003173828125,199.6939182281494,291.19157791137695,419.1422424316406,7.463897228240967,0.01098901098901099,FALSE,FALSE,-2.8964300644061933,5.677409675873751,5.301780952543698,6.04059332639713
139,365,2017,153.118788,-24.526022,1,35.33616638183594,0,0,0,0,TRUE,FALSE,0.0746000036597251,27.79877005838348,43.7979736328125,277.83941650390625,91.08781623840332,170.92299270629883,308.34149169921875,6.736212253570557,0.04444444444444444,FALSE,FALSE,-2.595614722714446,5.147046659734507,4.522742646110849,5.734445817797949
139,365,2020,153.118788,-24.526022,1,34.99763488769531,0,0,0,0,TRUE,FALSE,0.1191000007092952,27.79877005838348,27.15265655517578,297.9632568359375,68.06707572937012,177.8349895477295,267.537841796875,6.531552314758301,0.02197802197802198,FALSE,FALSE,-2.127791796665423,5.186463534577258,4.23507814442222,5.5929918418090905
139,365,2022,153.118788,-24.526022,1,34.5502815246582,0,0,0,0,TRUE,TRUE,0.1400000005960464,27.79877005838348,121.526123046875,405.6412048339844,159.21616744995117,274.29247093200684,416.3514404296875,7.376683235168457,0.03333333333333333,FALSE,FALSE,-1.9661128521153586,5.617834063180346,5.076523949953817,6.033928649661791
139,365,2024,153.118788,-24.526022,1,35.44804000854492,0,0,0,0,FALSE,FALSE,0.0574400007724761,27.79877005838348,53.32493591308594,309.346923828125,72.69525527954102,158.43939781188965,278.9766845703125,7.570289611816406,0.03296703296703297,FALSE,FALSE,-2.8570143407937683,5.071663899002585,4.299938418283549,5.63470633031042
144,364,2016,153.088788,-24.376022,1,35.11123275756836,0,0,0,0,TRUE,FALSE,0.0635200008749961,37.56824060414441,43.71166229248047,415.2003173828125,199.6939182281494,291.19157791137695,475.9436950683594,7.372571468353272,0,FALSE,FALSE,-2.7564004482681295,5.677409675873751,5.301780952543698,6.167398444232135
144,364,2017,153.088788,-24.376022,1,35.31108856201172,0,0,0,0,TRUE,FALSE,0.0988400012254714,37.56824060414441,43.7979736328125,277.83941650390625,91.08781623840332,170.92299270629883,331.094970703125,6.649346351623535,0.03333333333333333,FALSE,FALSE,-2.314252885463191,5.147046659734507,4.522742646110849,5.80542098434489
144,364,2020,153.088788,-24.376022,1,34.944244384765625,0,0,0,0,TRUE,FALSE,0.1135800018906593,37.56824060414441,27.15265655517578,297.9632568359375,68.06707572937012,177.8349895477295,279.81005859375,6.472080230712891,0.04395604395604396,FALSE,FALSE,-2.1752478278867926,5.186463534577258,4.23507814442222,5.637678492712905
144,364,2022,153.088788,-24.376022,1,34.60849380493164,0,0,0,0,TRUE,TRUE,0.1027199998497963,37.56824060414441,121.526123046875,405.6412048339844,159.21616744995117,274.29247093200684,399.1559753417969,7.208137512207031,0.04444444444444444,FALSE,FALSE,-2.2757484405027495,5.617834063180346,5.076523949953817,5.991854409456272
144,364,2024,153.088788,-24.376022,1,35.38737487792969,0,0,0,0,FALSE,FALSE,0.0606200002133846,37.56824060414441,53.32493591308594,309.346923828125,72.69525527954102,158.43939781188965,295.3291015625,7.501458168029785,0.02197802197802198,FALSE,FALSE,-2.803130403832444,5.071663899002585,4.299938418283549,5.691470666302321
146,327,2016,151.978788,-24.316022,1,35.02206802368164,0,0,0,0,TRUE,FALSE,0.2385132194575617,25.345860005637576,62.82949447631836,355.1929016113281,130.6257266998291,185.56988430023193,358.79302978515625,5.907508850097656,0.01098901098901099,FALSE,FALSE,-1.4333305426947704,5.2288058836423845,4.879962491425255,5.8855289488584015
146,327,2017,151.978788,-24.316022,1,35.12480545043945,0,0,0,0,TRUE,FALSE,0.138686220480336,25.345860005637576,69.76640319824219,519.87933349609375,169.79766273498535,308.3276767730713,554.32342529296875,5.6084699630737305,0.05555555555555555,FALSE,FALSE,-1.975541304251047,5.734401157656944,5.140479597039443,6.319550692290215
146,327,2020,151.978788,-24.316022,1,35.3514289855957,0,0,0,0,TRUE,FALSE,0.197689453905279,25.345860005637576,22.327899932861328,378.5311279296875,91.15171432495116,232.53321647644043,374.8666076660156,5.342868328094482,0.06593406593406594,FALSE,FALSE,-1.6210578941571898,5.4533243217087985,4.523436287577634,5.9292343135995464
146,327,2022,151.978788,-24.316022,1,34.724124908447266,0,0,0,0,TRUE,TRUE,0.3908445120338471,25.345860005637576,88.51539611816406,242.54095458984375,97.20897674560548,148.99396896362305,289.13531494140625,5.709356784820557,0.07777777777777778,FALSE,FALSE,-0.9394454655200494,5.010595086378757,4.587097624070556,5.670347417401304
146,327,2024,151.978788,-24.316022,1,35.642391204833984,0,0,0,0,FALSE,FALSE,0.2037885704819036,25.345860005637576,271.17108154296875,308.20703125,58.7003231048584,324.07593727111816,389.0888671875,6.191798686981201,0.03296703296703297,FALSE,FALSE,-1.590672241798045,5.784058808178996,4.089337432525593,5.966374577749835
148,326,2016,151.948788,-24.256022,1,35.076107025146484,0,0,0,0,TRUE,FALSE,0.2195813285311063,25.345860005637576,62.82949447631836,355.1929016113281,130.6257266998291,185.56988430023193,358.79302978515625,5.907508850097656,0.01098901098901099,FALSE,FALSE,-1.5160325978654712,5.2288058836423845,4.879962491425255,5.8855289488584015
148,326,2017,151.948788,-24.256022,1,35.146522521972656,0,0,0,0,TRUE,FALSE,0.1875083858928372,25.345860005637576,69.76640319824219,519.87933349609375,169.79766273498535,308.3276767730713,554.32342529296875,5.6084699630737305,0.05555555555555555,FALSE,FALSE,-1.6739317098099955,5.734401157656944,5.140479597039443,6.319550692290215
148,326,2020,151.948788,-24.256022,1,35.362098693847656,0,0,0,0,TRUE,FALSE,0.1863953516233799,25.345860005637576,22.327899932861328,378.5311279296875,91.15171432495116,232.53321647644043,374.8666076660156,5.342868328094482,0.06593406593406594,FALSE,FALSE,-1.6798853146844062,5.4533243217087985,4.523436287577634,5.9292343135995464
148,326,2022,151.948788,-24.256022,1,34.78388977050781,0,0,0,0,TRUE,TRUE,0.3422913131506547,25.345860005637576,88.51539611816406,242.54095458984375,97.20897674560548,148.99396896362305,289.13531494140625,5.709356784820557,0.07777777777777778,FALSE,FALSE,-1.072093111651005,5.010595086378757,4.587097624070556,5.670347417401304
148,326,2024,151.948788,-24.256022,1,35.66284942626953,0,0,0,0,FALSE,FALSE,0.1685363269582087,25.345860005637576,271.17108154296875,308.20703125,58.7003231048584,324.07593727111816,389.0888671875,6.191798686981201,0.03296703296703297,FALSE,FALSE,-1.7806039621695289,5.784058808178996,4.089337432525593,5.966374577749835
149,353,2016,152.758788,-24.226022,1,34.019718170166016,0,0,0,0,TRUE,FALSE,0.043640000373125,75.17026098466853,43.71166229248047,415.2003173828125,199.6939182281494,291.19157791137695,425.2102661132813,7.487194061279297,0,FALSE,FALSE,-3.131781109467198,5.677409675873751,5.301780952543698,6.054932806923176
149,353,2017,152.758788,-24.226022,1,35.29610824584961,0,0,0,0,TRUE,FALSE,0.0620800003409385,75.17026098466853,43.7979736328125,277.83941650390625,91.08781623840332,170.92299270629883,380.6978454589844,6.792050361633301,0.03333333333333333,FALSE,FALSE,-2.779331397615252,5.147046659734507,4.522742646110849,5.9446293151426
149,353,2020,152.758788,-24.226022,1,35.06348419189453,0,0,0,0,TRUE,FALSE,0.0813599973917007,75.17026098466853,27.15265655517578,297.9632568359375,68.06707572937012,177.8349895477295,255.35952758789065,6.597523212432861,0.03296703296703297,FALSE,FALSE,-2.5088715593005757,5.186463534577258,4.23507814442222,5.546580863865919
149,353,2022,152.758788,-24.226022,1,35.08529281616211,0,0,0,0,TRUE,TRUE,0.0786400005221367,75.17026098466853,121.526123046875,405.6412048339844,159.21616744995117,274.29247093200684,380.8447265625,7.265683174133301,0.03333333333333333,FALSE,FALSE,-2.5428747965036442,5.617834063180346,5.076523949953817,5.9450140510059555
149,353,2024,152.758788,-24.226022,1,35.50123596191406,0,0,0,0,FALSE,FALSE,0.0450000017881393,75.17026098466853,53.32493591308594,309.346923828125,72.69525527954102,158.43939781188965,289.3023376464844,7.679964542388916,0.02197802197802198,FALSE,FALSE,-3.1010927494753893,5.071663899002585,4.299938418283549,5.670922923517916
150,350,2016,152.668788,-24.196022,1,34.28304672241211,0,0,0,0,TRUE,FALSE,0.0307600006461143,75.17026098466853,43.71166229248047,415.2003173828125,199.6939182281494,291.19157791137695,425.2102661132813,7.487194061279297,0,FALSE,FALSE,-3.481540113339678,5.677409675873751,5.301780952543698,6.054932806923176
150,350,2017,152.668788,-24.196022,1,35.308040618896484,0,0,0,0,TRUE,FALSE,0.0533200003206729,75.17026098466853,43.7979736328125,277.83941650390625,91.08781623840332,170.92299270629883,380.6978454589844,6.792050361633301,0.03333333333333333,FALSE,FALSE,-2.931443777657509,5.147046659734507,4.522742646110849,5.9446293151426
150,350,2020,152.668788,-24.196022,1,35.142250061035156,0,0,0,0,TRUE,FALSE,0.0832000002264976,75.17026098466853,27.15265655517578,297.9632568359375,68.06707572937012,177.8349895477295,255.35952758789065,6.597523212432861,0.03296703296703297,FALSE,FALSE,-2.4865079284326472,5.186463534577258,4.23507814442222,5.546580863865919
