Method,ReefName,Reef_Name,ReefID,SECTOR,Region,reef_zone,depth,report_year,DHWYear,Date,Prev.HC,mean,Change,Abs.Change,Rel.Change,Mort.prop,MaxDHW.mean,DISTURBANCE_TYPE,storm_name,description,Pre_Cover_Pct,Post_Cover_Pct,Net_Change_Pct,Growth_Adj_Loss_Pct,Mortality_Pct,MaxDHW
Benthic Photo (LTMP),One Tree Island Reef (23-055a),ONE TREE ISLAND,23-055a,CB,Southern,_,9,2025,2024,2024-11-06,0.6465710923203194,0.19033698696083282,-0.4562341053594866,-0.4409809846860884,-0.6974038449951363,0.6974038449951363,11.53,m,NA,DHW 11,64.7,19,-45.6,-44.1,69.7,11.53
Benthic Photo (LTMP),Peart Reef (17-024),PEART REEF,17-024,IN,Central,_,9,2018,2017,2018-02-19,0.414237715359819,0.11209218454186433,-0.3021455308179547,-0.25763818389845183,-0.6949476110693343,0.6949476110693343,9.52,m,NA,"0+ bleaching, COTS, disease and Drupella on transects, COTS removal.  AO in 2018, Large decline HCC, COTS removal-6178",41.4,11.2,-30.2,-25.8,69.5,9.52
Benthic Photo (LTMP),Broomfield Reef (23-048),BROOMFIELD REEF,23-048,CB,Southern,_,9,2025,2024,2024-11-04,0.5750808079045714,0.17919578831157115,-0.39588501959300026,-0.3909737388061617,-0.6845143521208404,0.6845143521208404,11.6,m,NA,Aerial bl 5 2024   DHW 11.6,57.5,17.9,-39.6,-39.1,68.5,11.6
Benthic Photo (LTMP),Gannett Cay Reef (21-556),GANNET CAY,21-556,SW,Southern,_,9,2021,2020,2020-09-04,0.23330519507553893,0.10128261590744957,-0.13202257916808935,-0.2213360809307277,-0.6839409561104712,0.6839409561104712,6.8,m,NA,DHW2020 6.8.,23.3,10.1,-13.2,-22.1,68.4,6.8
Benthic Photo (MMP),Humpy (Bur-ye-Bur-ye) Reef (23-016),HUMPY ISLAND AND HALFWAY ISLAND,23-016,CB,Southern,_,2,2025,2024,2025-04-21,0.22997353185720512,0.07922743179567049,-0.15074610006153463,-0.16589451814734757,-0.674033820168235,0.674033820168235,12.47,b,NA,further decline as a result of bleaching in 2024,23,7.9,-15.1,-16.6,67.4,12.47
Benthic Photo (MMP),Daydream Reef (No 1) (20-035a),DAYDREAM ISLAND,20-035a,WH,Southern,_,2,2018,2018,2018-06-14,0.00601426890492239,0.005022243281103812,-9.92025623818578e-4,-0.012168592261612488,-0.6689408099500328,0.6689408099500328,0,NA,NA,NA,0.6,0.5,-0.1,-1.2,66.9,0
Benthic Photo (LTMP),North Direction Reef (14-143),NORTH DIRECTION ISLAND,14-143,CL,Northern,_,9,2017,2016,2016-12-16,0.08850900291861305,0.047185697838981064,-0.041323305079631986,-0.09317147497713603,-0.6591209566587548,0.6591209566587548,8.83,m,Nathan,Cyclone Nathan,8.9,4.7,-4.1,-9.3,65.9,8.83
Manta Tow (LTMP),North Direction Reef (14-143),NORTH DIRECTION ISLAND,14-143,CL,Northern,_,9,2025,2024,2024-09-27,0.5837507562816058,0.18210999156528573,-0.40164076471632004,-0.34724644031625385,-0.6547416406063589,0.6547416406063589,6.505,b,NA,DHW 6.23 aerial bl 5,58.4,18.2,-40.2,-34.7,65.5,6.5
Benthic Photo (LTMP),Opal Reef (16-025),OPAL REEF,16-025,CA,Central,_,9,2017,2016,2016-09-14,0.20039619151906032,0.08375629332167503,-0.1166398981973853,-0.16021931591926947,-0.6540215020413994,0.6540215020413994,5.82,b,NA,"bleaching mortality- HC and particularly SC, COTS removal-2188.  2015/16 summer bleaching, COTS removal-2188",20,8.4,-11.7,-16,65.4,5.82
Benthic Photo (LTMP),Hastings Reef (16-057),HASTINGS REEF,16-057,CA,Central,_,9,2018,2017,2017-12-14,0.2580853512318209,0.0935136518817516,-0.16457169935006932,-0.17680603673401668,-0.6516520700582186,0.6516520700582186,10.37333333,b,NA,"bleaching mortality- HC, COTS removal.  2016/17 summer bleaching, COTS removal 886",25.8,9.4,-16.5,-17.7,65.2,10.37
