learner,n,severe_n,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_rmse,false_extreme_rate
Conservative tail ensemble,537,32,0.15333733776441838,0.09500688861523714,0.25319052059435077,8.476589833402586e-4,0.616500089234125,0.3247732663936502,0.3652631631634655,0.058823529411764705
Equal INLA + Conservative tail ensemble,537,32,0.1402828651901335,0.09178751890940412,0.3749377954835019,0.00303316473958956,0.616500089234125,0.3392014892539721,0.3546863581446737,0.037037037037037035
Equal INLA + Soft-gated tail ensemble,537,32,0.13996040167211696,0.09230619548327264,0.3778081117954334,0.009113800643485543,0.616500089234125,0.36107037100237255,0.34179591304345114,0.05010893246187364
Equal INLA + Standard two-part BRT,537,32,0.14167830041318008,0.09183113306899753,0.36244058850544614,-0.0030474711643064247,0.616500089234125,0.31733260750557163,0.36950856589599795,0.030501089324618737
INLA beta + Bernoulli,537,32,0.14000160042247842,0.09355057166470543,0.37744176101741245,0.00521867049583886,0.616500089234125,0.35362971211429395,0.3553477051822053,0.030501089324618737
Soft-gated tail ensemble,537,32,0.15380460312258526,0.0972978146977775,0.24863207586473446,0.013008930791132226,0.616500089234125,0.3685110298904511,0.3377527474203573,0.08278867102396514
Standard two-part BRT,537,32,0.1567838754872063,0.09538546571508467,0.21924140265947012,-0.011313612824451709,0.616500089234125,0.28103550289684925,0.3997277109255763,0.04139433551198257
