ann_maxdhw,scenario,programme_key,prop_acropora_pre,dhw_novelty10,log_coastal_rain30,wqc_prior10_percentile,cloudp_90,predicted_occurrence,predicted_positive_mortality,predicted_mortality,tail_probability,tail_magnitude,conservative_prediction,soft_gate_prediction,aggressive_prediction,observed_dhw_min,observed_dhw_max,outside_observed_dhw
0,Low compound risk,ltmp,0.04416278783401122,-4.960000000000001,5.293126064302306,0.2,0.87140842,0.4402682124424992,0.00858579414993449,0.0037800522427909244,0.0185981702002398,0.3982491470615605,0.007448253924877929,0.011116455606964934,0.057575817822352084,0,11.64,FALSE
0,Low compound risk,manta,0.08205185222328912,-5.005,5.04829112437769,0.2,0.8638448679999999,0.4589798815314266,0.020803022561517125,0.009548168830780725,0.014772627203109807,0.35159502657549796,0.012074634188509644,0.014601099546238564,0.05112146643421988,0,11.64,FALSE
0,Low compound risk,mmp,0.04961985378338604,-3.96,5.3548966285573405,0,0.8873663,0.2945532551416959,0.010242821311497242,0.0030170563591362474,0.01630904343388199,0.3989498057832371,0.006245698562763235,0.009474340766390223,0.05358038664084773,4.12,13.26,TRUE
0,Median conditions,ltmp,0.2688625059919296,-0.31,5.985742071087043,0.45,0.7154463,0.07541527281291817,0.02365179485931699,0.0017837065618305661,0.018088485224933656,0.4184779017813291,0.005552389958602326,0.009321073355374085,0.057826342029033466,0,11.64,FALSE
0,Median conditions,manta,0.27908342553874005,-0.44499999999999995,5.909006224011357,0.45,0.6959865000000001,0.08264198798348829,0.04243109821304967,0.003506590308649062,0.01840483978691655,0.37548480168365556,0.006929690000939449,0.010352789693229836,0.05397080537034428,0,11.64,FALSE
0,Median conditions,mmp,0.26474033381659684,2.69,5.972340602952214,0.3,0.6970374,0.23550487107622842,0.029317197205128348,0.0069043427481101155,0.08774610138336587,0.4804116230026392,0.02767855165759799,0.04845276056708586,0.14716651983210524,4.12,13.26,TRUE
0,High compound risk,ltmp,0.6708836309552813,4.178000000000001,6.662192357426267,1,0.5630638,0.20421094901679768,0.08552525272367316,0.017465193023602756,0.9027642780509539,0.4999533746561007,0.2352517405033925,0.4530382879831823,0.47589607173389087,0,11.64,FALSE
0,High compound risk,manta,0.668629531002006,4.182,6.543540226424666,1,0.54024335,0.23300784628798743,0.14318016988497398,0.033362103016045946,0.7463079471151607,0.4623855716640467,0.19345391509150342,0.35354572716696087,0.40399168769259786,0,11.64,FALSE
0,High compound risk,mmp,0.8817916436590687,8.18,6.812168274251864,0.8,0.6265433,0.8193047087292145,0.08213535310525111,0.06729388155226894,0.11217989165933206,0.5205108485357705,0.09271479667945907,0.11813571180664922,0.2190910491931055,4.12,13.26,TRUE
0.25,Low compound risk,ltmp,0.04416278783401122,-4.960000000000001,5.293126064302306,0.2,0.87140842,0.4402682124424992,0.00858579414993449,0.0037800522427909244,0.0185981702002398,0.3982491470615605,0.007448253924877929,0.011116455606964934,0.057575817822352084,0,11.64,FALSE
0.25,Low compound risk,manta,0.08205185222328912,-5.005,5.04829112437769,0.2,0.8638448679999999,0.4589798815314266,0.020803022561517125,0.009548168830780725,0.014772627203109807,0.35159502657549796,0.012074634188509644,0.014601099546238564,0.05112146643421988,0,11.64,FALSE
0.25,Low compound risk,mmp,0.04961985378338604,-3.96,5.3548966285573405,0,0.8873663,0.2945532551416959,0.010242821311497242,0.0030170563591362474,0.01630904343388199,0.3989498057832371,0.006245698562763235,0.009474340766390223,0.05358038664084773,4.12,13.26,TRUE
0.25,Median conditions,ltmp,0.2688625059919296,-0.31,5.985742071087043,0.45,0.7154463,0.07541527281291817,0.02365179485931699,0.0017837065618305661,0.018088485224933656,0.4184779017813291,0.005552389958602326,0.009321073355374085,0.057826342029033466,0,11.64,FALSE
0.25,Median conditions,manta,0.27908342553874005,-0.44499999999999995,5.909006224011357,0.45,0.6959865000000001,0.08264198798348829,0.04243109821304967,0.003506590308649062,0.01840483978691655,0.37548480168365556,0.006929690000939449,0.010352789693229836,0.05397080537034428,0,11.64,FALSE
0.25,Median conditions,mmp,0.26474033381659684,2.69,5.972340602952214,0.3,0.6970374,0.23550487107622842,0.029317197205128348,0.0069043427481101155,0.08774610138336587,0.4804116230026392,0.02767855165759799,0.04845276056708586,0.14716651983210524,4.12,13.26,TRUE
0.25,High compound risk,ltmp,0.6708836309552813,4.178000000000001,6.662192357426267,1,0.5630638,0.20421094901679768,0.08552525272367316,0.017465193023602756,0.9027642780509539,0.4999533746561007,0.2352517405033925,0.4530382879831823,0.47589607173389087,0,11.64,FALSE
0.25,High compound risk,manta,0.668629531002006,4.182,6.543540226424666,1,0.54024335,0.23300784628798743,0.14318016988497398,0.033362103016045946,0.7463079471151607,0.4623855716640467,0.19345391509150342,0.35354572716696087,0.40399168769259786,0,11.64,FALSE
0.25,High compound risk,mmp,0.8817916436590687,8.18,6.812168274251864,0.8,0.6265433,0.8193047087292145,0.08213535310525111,0.06729388155226894,0.11217989165933206,0.5205108485357705,0.09271479667945907,0.11813571180664922,0.2190910491931055,4.12,13.26,TRUE
0.5,Low compound risk,ltmp,0.04416278783401122,-4.960000000000001,5.293126064302306,0.2,0.87140842,0.4402682124424992,0.00858579414993449,0.0037800522427909244,0.0185981702002398,0.3982491470615605,0.007448253924877929,0.011116455606964934,0.057575817822352084,0,11.64,FALSE
0.5,Low compound risk,manta,0.08205185222328912,-5.005,5.04829112437769,0.2,0.8638448679999999,0.4589798815314266,0.020803022561517125,0.009548168830780725,0.014772627203109807,0.35159502657549796,0.012074634188509644,0.014601099546238564,0.05112146643421988,0,11.64,FALSE
0.5,Low compound risk,mmp,0.04961985378338604,-3.96,5.3548966285573405,0,0.8873663,0.2945532551416959,0.010242821311497242,0.0030170563591362474,0.01630904343388199,0.3989498057832371,0.006245698562763235,0.009474340766390223,0.05358038664084773,4.12,13.26,TRUE
0.5,Median conditions,ltmp,0.2688625059919296,-0.31,5.985742071087043,0.45,0.7154463,0.07541527281291817,0.02365179485931699,0.0017837065618305661,0.018088485224933656,0.4184779017813291,0.005552389958602326,0.009321073355374085,0.057826342029033466,0,11.64,FALSE
0.5,Median conditions,manta,0.27908342553874005,-0.44499999999999995,5.909006224011357,0.45,0.6959865000000001,0.08264198798348829,0.04243109821304967,0.003506590308649062,0.01840483978691655,0.37548480168365556,0.006929690000939449,0.010352789693229836,0.05397080537034428,0,11.64,FALSE
0.5,Median conditions,mmp,0.26474033381659684,2.69,5.972340602952214,0.3,0.6970374,0.23550487107622842,0.029317197205128348,0.0069043427481101155,0.08774610138336587,0.4804116230026392,0.02767855165759799,0.04845276056708586,0.14716651983210524,4.12,13.26,TRUE
0.5,High compound risk,ltmp,0.6708836309552813,4.178000000000001,6.662192357426267,1,0.5630638,0.20421094901679768,0.08552525272367316,0.017465193023602756,0.9027642780509539,0.4999533746561007,0.2352517405033925,0.4530382879831823,0.47589607173389087,0,11.64,FALSE
0.5,High compound risk,manta,0.668629531002006,4.182,6.543540226424666,1,0.54024335,0.23300784628798743,0.14318016988497398,0.033362103016045946,0.7463079471151607,0.4623855716640467,0.19345391509150342,0.35354572716696087,0.40399168769259786,0,11.64,FALSE
