learner,n,severe_n,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_rmse,false_extreme_rate
Conservative tail ensemble,218,23,0.19383148624520452,0.13209340203758488,0.10913702291941352,-0.010273287601206599,0.6232174525214853,0.33404319470415805,0.36965228133901595,0.10714285714285714
Equal INLA + Conservative tail ensemble,218,23,0.17562979703195639,0.12565441852139253,0.2685937655446313,-0.0047978311568201955,0.6232174525214853,0.3519773185565951,0.3571362664414082,0.07142857142857142
Equal INLA + Soft-gated tail ensemble,218,23,0.17472120602603952,0.1256656730397835,0.2761418031934696,0.003911565586463591,0.6232174525214853,0.3758591582709157,0.34350913410735195,0.10714285714285714
Equal INLA + Standard two-part BRT,218,23,0.1779560637105929,0.12661415639221413,0.24909008167328228,-0.013507227900103986,0.6232174525214853,0.3280954788422744,0.3729094298368266,0.05952380952380952
INLA beta + Bernoulli,218,23,0.1740146496616041,0.1286504401731305,0.28198439673038445,6.776252875662056e-4,0.6232174525214853,0.36991144240903207,0.35701565205264063,0.05357142857142857
Soft-gated tail ensemble,218,23,0.19277374638005254,0.1337829189438797,0.11883338578472036,0.007145505885360977,0.6232174525214853,0.38180687413279935,0.3407842872622649,0.15476190476190477
Standard two-part BRT,218,23,0.19999102422111037,0.13509486281683403,0.05161807516406358,-0.027692081087774177,0.6232174525214853,0.2862795152755168,0.40622783951546115,0.08333333333333333
