programme_key,learner,n,severe_n,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_rmse,false_extreme_rate
ltmp,Conservative tail ensemble,75,4,0.13411144758322088,0.08827614115414084,0.2612218940549861,0.014718189389525262,0.6202929079050374,0.4635122325163894,0.18958481647953032,0.07352941176470588
ltmp,Equal INLA + Conservative tail ensemble,75,4,0.1130068101882798,0.0847104272184846,0.47544437476767354,0.016370497443519753,0.6202929079050374,0.5057720069218177,0.15598493819628934,0.04411764705882353
ltmp,Equal INLA + Soft-gated tail ensemble,75,4,0.11395652064504819,0.08523703496091357,0.46659058445719037,0.023268463345141828,0.6202929079050374,0.5385497127251201,0.1354554368853629,0.04411764705882353
ltmp,Equal INLA + Standard two-part BRT,75,4,0.11349156149581302,0.08452855170797748,0.4709344801977766,0.009472531541897675,0.6202929079050374,0.47299430111851515,0.18267030986946664,0.04411764705882353
ltmp,INLA beta + Bernoulli,75,4,0.11519825851682983,0.08850491340803138,0.45490255864780527,0.01802280549751424,0.6202929079050374,0.5480317813272458,0.1602402015635077,0.029411764705882353
ltmp,Soft-gated tail ensemble,75,4,0.13691611831398304,0.09088319314166479,0.22999867594116052,0.028514121192769415,0.6202929079050374,0.5290676441229945,0.15430890075879136,0.08823529411764706
ltmp,Standard two-part BRT,75,4,0.136114351239166,0.08857781457782127,0.23899037264729095,9.222575862811127e-4,0.6202929079050374,0.3979568209097844,0.24553946898902473,0.058823529411764705
manta,Conservative tail ensemble,89,6,0.16856571414772564,0.1312110995678249,0.11059427723330639,-0.02613572040852553,0.58046576733465,0.33310194538393695,0.2975004325542268,0.0625
manta,Equal INLA + Conservative tail ensemble,89,6,0.1562349129060382,0.12470743136579544,0.23595733781580608,-0.01658182148018874,0.58046576733465,0.30835666809663786,0.31695636675722744,0.015625
manta,Equal INLA + Soft-gated tail ensemble,89,6,0.1559376471691865,0.12560193452550938,0.2388620359830812,-0.0091747637588094,0.58046576733465,0.31768303934152414,0.3067154199527137,0.046875
manta,Equal INLA + Standard two-part BRT,89,6,0.15754174301575083,0.12487153315305817,0.22312218061228528,-0.023988879201568083,0.58046576733465,0.2990302968517515,0.3274001094072372,0.015625
manta,INLA beta + Bernoulli,89,6,0.1590953402477242,0.12931901730542741,0.20772427528879134,-0.0070279225518519485,0.58046576733465,0.2836113908093387,0.34715558435952415,0.015625
manta,Soft-gated tail ensemble,89,6,0.1685941666136904,0.13364045635317595,0.11029400357581809,-0.011321604965766853,0.58046576733465,0.3517546878737096,0.2774147167731188,0.109375
manta,Standard two-part BRT,89,6,0.1722609220294965,0.1329891728132755,0.07117271474581222,-0.040949835851284214,0.58046576733465,0.3144492028941643,0.31847151229053344,0.046875
mmp,Conservative tail ensemble,54,13,0.2825996381597966,0.19440487400178744,-0.0789354473465087,-0.018840033054049275,0.6438488594127777,0.294640990448189,0.43571126241178926,0.25
mmp,Equal INLA + Conservative tail ensemble,54,13,0.25798964854588735,0.18408184823558207,0.10079891857039569,-0.014776525716925672,0.6438488594127777,0.3247884838872761,0.4144943128711866,0.2222222222222222
mmp,Equal INLA + Soft-gated tail ensemble,54,13,0.2552001896348908,0.18192160977470268,0.12013864273237107,-0.0014048051574544003,0.6438488594127777,0.3526510425601105,0.3996274501045045,0.3333333333333333
mmp,Equal INLA + Standard two-part BRT,54,13,0.2627754587498426,0.18793848638485539,0.0671284153084758,-0.028148246276396952,0.6438488594127777,0.2969259252144417,0.4316154295682292,0.16666666666666666
mmp,INLA beta + Bernoulli,54,13,0.2491940116037516,0.18330620207327872,0.1610666448198088,-0.010713018379802073,0.6438488594127777,0.35493597732636323,0.4024706732118397,0.16666666666666666
mmp,Soft-gated tail ensemble,54,13,0.277741127553061,0.19360067090200478,-0.04215579386746082,0.007903408064893274,0.6438488594127777,0.3503661077938577,0.4032637905815061,0.3611111111111111
mmp,Standard two-part BRT,54,13,0.2946659482032225,0.20317236333984637,-0.1730382172253344,-0.04558347417299183,0.6438488594127777,0.23891587310252022,0.4760236885323135,0.19444444444444445
