programme_key,composition,n,rmse,mae,bias,severe_n,severe_predicted,severe_observed
ltmp,absolute_cover_only,199,0.13470994197088876,0.07693123240943076,-0.013736298622530072,12,0.31482221320824455,0.61388975696167
ltmp,legacy_dual,199,0.13891230047446196,0.07867983114436597,-0.010886265757292882,12,0.30444198995429295,0.61388975696167
ltmp,proportion_only,199,0.13608436869748441,0.0767177710222473,-0.011463129334400333,12,0.3103735631209357,0.61388975696167
manta,absolute_cover_only,248,0.1272722724980409,0.08436141644070934,-0.017926957640900368,7,0.30116585548966046,0.570184371369407
manta,legacy_dual,248,0.1291888027914551,0.08496557589699456,-0.014105704748459026,7,0.29628771097716927,0.570184371369407
manta,proportion_only,248,0.1258322446898829,0.08317317956658654,-0.014933670729153734,7,0.30896385498788353,0.570184371369407
mmp,absolute_cover_only,90,0.2447252412401496,0.1646362885006753,-0.009929830028777249,13,0.24528211464819566,0.6438488594127777
mmp,legacy_dual,90,0.24514947515496233,0.16410417017069784,-0.006880851522637452,13,0.23633557703166694,0.6438488594127777
mmp,proportion_only,90,0.24917759243372356,0.1703134458117755,-0.0010077445372752812,13,0.23891587310252022,0.6438488594127777
