programme_key,candidate,scheme,rows,rmse,mae,predictive_r2,bias,occurrence_brier,severe_rows,severe_bias
ltmp,legacy_history,leave_one_event_out,199,0.15191380420319456,0.104238515154889,0.17109649855898124,0.02596625273338615,0.22929473569734668,12,-0.18865153597067252
ltmp,legacy_history,reef_blocked_5fold,199,0.12542562346423383,0.0790028538349741,0.43495630617497794,0.008239981879630097,0.20226039014084743,12,-0.21502496068626445
ltmp,paper_history,leave_one_event_out,199,0.1598925893177657,0.10551968208225611,0.08173894292733319,0.02761140178802795,0.22912191849841718,12,-0.17731518093676665
ltmp,paper_history,reef_blocked_5fold,199,0.13218269322746312,0.08280563398257547,0.37243503809581935,0.009473789045867447,0.2075592876189576,12,-0.22569649849484652
manta,legacy_history,leave_one_event_out,248,0.1550537407776844,0.11906585940709241,-0.012237396102691589,-0.0016775361469269447,0.25669312829818786,7,-0.3909292646955243
manta,legacy_history,reef_blocked_5fold,248,0.12347535525377468,0.08904744203410896,0.35808363184726166,0.0013967481006953422,0.1765159471028031,7,-0.2985856301463923
manta,paper_history,leave_one_event_out,248,0.14738628267434273,0.11016047814505309,0.08539828400225391,-0.007114050102106393,0.2568212124013788,7,-0.3899139111072792
manta,paper_history,reef_blocked_5fold,248,0.11814860047571542,0.08427108045305737,0.412273809568803,6.68648680865797e-4,0.17145526934517585,7,-0.2965264389251475
mmp,legacy_history,leave_one_event_out,90,0.22465623008084942,0.15373809286858112,0.06122976045801498,-0.016673445917931313,0.3343773058558334,13,-0.40874180406493416
mmp,legacy_history,reef_blocked_5fold,90,0.20904545116203602,0.15128734576031938,0.18716232822486634,0.011076053215159566,0.19477350021372314,13,-0.2889128820864145
mmp,paper_history,leave_one_event_out,90,0.22104242765217533,0.1491673982720154,0.09118881553339397,-0.047312451734134266,0.29231167347508275,13,-0.43984849343124927
mmp,paper_history,reef_blocked_5fold,90,0.2115659389266682,0.15495647659151723,0.16744318676779402,0.015236865625006603,0.19297730446116573,13,-0.27190614953579223
