programme_key,candidate,component,term,mean,sd,q025,q50,q975
manta,legacy_history,occurrence,(Intercept),-0.2618347111969613,0.5364370512463292,-1.304854507493686,-0.26634186572421753,0.8070012244059943
manta,legacy_history,occurrence,ann_maxdhw_z,0.1657128396083024,0.33638073640742944,-0.49359270039890046,0.16559945496340764,0.8256639276617269
manta,legacy_history,occurrence,dhw_excess4_z,0.07558760724196922,0.33466396681866983,-0.5809331938865229,0.07567554699211232,0.7316088107186984
manta,legacy_history,occurrence,dhw_excess8_z,0.1002285764593041,0.29338562908044513,-0.47541130945442844,0.10033661690254189,0.6752549591227542
manta,legacy_history,occurrence,prop_acropora_pre_z,-0.20289993571352347,0.2442533740676844,-0.6819527054182478,-0.20287875641761316,0.2760302941279198
manta,legacy_history,occurrence,observed_pre_cover_z,0.7654594471550815,0.21245576582431233,0.34975788910066313,0.7651103433488642,1.183164557806055
manta,legacy_history,occurrence,dhw10_load4_z,-0.04084162548364334,0.2751846155797568,-0.5831940768255759,-0.03996894203093518,0.4964736465391146
manta,legacy_history,occurrence,dhw_novelty10_z,0.23461727638272326,0.33705667339686984,-0.42647823912513527,0.23466346530361354,0.8954513841750823
manta,legacy_history,occurrence,secc3m_p10_z,-0.011346669594802284,0.16727524909262076,-0.3403607956637084,-0.011016802832616376,0.31580011718240025
manta,legacy_history,occurrence,cloudp_90_z,0.018641560018030526,0.24199678482592793,-0.4603820439766312,0.020074962991299038,0.48937350344141795
manta,legacy_history,occurrence,histmDHW6_z,-0.0752999229800164,0.2359502857158254,-0.5366172657636918,-0.07579984383331816,0.38885193136202395
manta,legacy_history,occurrence,yrsince6_z,0.047473950317220716,0.26079045981135013,-0.4645254134409774,0.04766647224135735,0.5583797531302208
manta,legacy_history,occurrence,dhw4_x_acropora,0.037355260045290835,0.22423510975432723,-0.40191996199688,0.03719362634470536,0.4775487134056538
manta,legacy_history,occurrence,dhw8_x_acropora,0.19408262586512023,0.24980596687036688,-0.2961352895243502,0.19420423538518264,0.6836098035682813
manta,legacy_history,occurrence,dhw_x_history_count,-0.2499289137967053,0.25925967141082595,-0.7587437709981728,-0.24978460064735042,0.25806633780358473
manta,legacy_history,occurrence,dhw_x_recovery,0.28335932114373047,0.2593168547432771,-0.22504469179227127,0.2833207760669499,0.7919821525514951
manta,legacy_history,positive magnitude,(Intercept),-1.0467866561664632,0.383563331742234,-1.7899357920207508,-1.0505532040118386,-0.2808100372421647
manta,legacy_history,positive magnitude,ann_maxdhw_z,0.20652568437460048,0.2903630576944389,-0.3632333291007184,0.20664044536232573,0.7756327240267451
manta,legacy_history,positive magnitude,dhw_excess4_z,-0.3234631815540751,0.28694074177470325,-0.8858658694197138,-0.32358895612142724,0.23965793984354056
manta,legacy_history,positive magnitude,dhw_excess8_z,0.06030690292361385,0.15253199120185612,-0.2394138326289144,0.06045347387033187,0.3591837310344014
manta,legacy_history,positive magnitude,prop_acropora_pre_z,0.030829977369928534,0.19017863998293058,-0.3431257985421115,0.031144516476724,0.4029884721009974
manta,legacy_history,positive magnitude,observed_pre_cover_z,0.1689949227847468,0.09708489687368023,-0.020570338406335126,0.16863267562810513,0.36058944272745586
manta,legacy_history,positive magnitude,dhw10_load4_z,-0.045745430004022716,0.1667199653196176,-0.3716378021412733,-0.046247397856070474,0.28305247349587304
manta,legacy_history,positive magnitude,dhw_novelty10_z,0.169083876363673,0.2306361164730908,-0.28389622765296396,0.16924670089198876,0.6211937202193643
manta,legacy_history,positive magnitude,secc3m_p10_z,-0.09434680651125123,0.08861036897761927,-0.2688917326929755,-0.09416879675872222,0.07908374254749825
manta,legacy_history,positive magnitude,cloudp_90_z,0.20677264220456562,0.15160197484187085,-0.09739161329515753,0.20916013673080042,0.4976727463102608
manta,legacy_history,positive magnitude,histmDHW6_z,-0.05803671042409679,0.12910667260835695,-0.3098268563581507,-0.05859817962921635,0.19693603625342326
manta,legacy_history,positive magnitude,yrsince6_z,-0.15103005148217102,0.1576504630501642,-0.46126274311982973,-0.15073687398925734,0.15754156014471035
manta,legacy_history,positive magnitude,dhw4_x_acropora,-0.16348400755802478,0.1531166732372433,-0.4628792413068964,-0.16383710421903022,0.13792837465636706
manta,legacy_history,positive magnitude,dhw8_x_acropora,0.17310919113131346,0.11310275357755817,-0.04936109156647203,0.17329194494488673,0.39451881856641924
manta,legacy_history,positive magnitude,dhw_x_history_count,-0.08033508689708926,0.14242241651073168,-0.36126223371731536,-0.07980544141233509,0.19759074595570106
manta,legacy_history,positive magnitude,dhw_x_recovery,0.08776942399174827,0.13510163053645718,-0.17779710894181922,0.08793829084865577,0.35236476747600765
manta,paper_history,occurrence,(Intercept),-0.3112971401505624,0.5394281437566047,-1.3569720096247555,-0.3168513604259176,0.7660085416439194
manta,paper_history,occurrence,ann_maxdhw_z,0.1837043652683927,0.3391603251049353,-0.481058156008796,0.1835939391959874,0.8490951143600294
manta,paper_history,occurrence,dhw_excess4_z,0.13653744021378716,0.3372224446296984,-0.5249878320940933,0.1366204882656935,0.797591180811585
manta,paper_history,occurrence,dhw_excess8_z,0.15533226324994853,0.2931843791897175,-0.41993706145885407,0.1554479911533934,0.7299454723471197
manta,paper_history,occurrence,prop_acropora_pre_z,-0.1390663363192527,0.24586795965742228,-0.6211170786245036,-0.13910205069236842,0.34318555805141904
manta,paper_history,occurrence,observed_pre_cover_z,0.7787012970697336,0.21167873385919647,0.36442288014899443,0.7783915690162638,1.1947500152725814
manta,paper_history,occurrence,dhw10_load4_z,-0.13547644161216216,0.3501048862010089,-0.8222444865518094,-0.1354011412828018,0.5508602511334028
manta,paper_history,occurrence,dhw_novelty10_z,0.1652744576223989,0.32572644808315177,-0.473679156647417,0.165344687253896,0.803829763154774
manta,paper_history,occurrence,secc3m_p10_z,0.019122440462450596,0.1676227143219809,-0.31065063837916657,0.019480328347551347,0.3468709709199506
