programme_key,candidate,rows,rmse,mae,predictive_r2,bias,severe_rows,severe_bias
ltmp,legacy_history,75,0.11519825851682983,0.08850491340803138,0.45490255864780516,0.018022805497514238,4,-0.07226112657779166
ltmp,paper_history,75,0.13162081071569498,0.09634167068790166,0.2884073741281489,0.02300149380649461,4,-0.06593697207484837
manta,legacy_history,89,0.16833971343667017,0.13812780066782976,0.11297758014172898,-0.008323383797436022,6,-0.3013989427649807
manta,paper_history,89,0.1590953402477242,0.12931901730542741,0.20772427528879134,-0.007027922551851949,6,-0.2968543765253114
mmp,legacy_history,54,0.2491940116037516,0.18330620207327872,0.1610666448198088,-0.010713018379802073,13,-0.2889128820864145
mmp,paper_history,54,0.25530647797685835,0.19184354303400425,0.11940558309141225,3.4546212015454614e-4,13,-0.27190614953579223
