programme_key,candidate,occurrence_waic,magnitude_waic,total_waic,occurrence_dic,magnitude_dic,total_dic
manta,legacy_history,255.2900450267606,-125.85268055257352,129.43736447418706,254.25858620094345,-127.26168058614786,126.9969056147956
manta,paper_history,247.16709117934224,-132.67904711956064,114.4880440597816,247.0544566901419,-133.5342094672843,113.52024722285759
ltmp,legacy_history,228.78749832982896,-135.33925427257344,93.44824405725552,227.50763189796487,-141.40978866943408,86.09784322853079
ltmp,paper_history,232.11708759890354,-131.3744654855784,100.74262211332513,231.10723791599926,-135.96980961624004,95.13742829975922
mmp,legacy_history,101.04100073423818,-61.85348507670254,39.18751565753564,100.48333284262179,-61.87501209859177,38.608320744030024
mmp,paper_history,98.94982167587341,-61.67464694135427,37.27517473451914,98.7073477930363,-61.661139901017975,37.04620789201833
