programme_key,modifier,modifier_label,modifier_level,modifier_value,modifier_units,ann_maxdhw,occurrence,positive_mortality,mortality,q05,q95,learner,observed_dhw_min,observed_dhw_max,outside_observed_dhw
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,2.5,0.12413955909887321,0.22506196370158424,0.027939092943841275,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,2.5,0.15897744667544195,0.22546278111965615,0.03584349726274697,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,2.75,0.07636361801398718,0.21486888253299796,0.01640816526884214,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,2.75,0.12413955909887321,0.22506196370158424,0.027939092943841275,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,2.75,0.15897744667544195,0.22546278111965615,0.03584349726274697,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,3,0.07636361801398718,0.21486888253299796,0.01640816526884214,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,3,0.12413955909887321,0.22506196370158424,0.027939092943841275,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,3,0.15897744667544195,0.22546278111965615,0.03584349726274697,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,3.25,0.07788134368327558,0.21486888253299796,0.016734277287393785,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,3.25,0.13042146004318786,0.22506196370158424,0.029352909906147567,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,3.25,0.16668676307564537,0.22546278111965615,0.037581661178868214,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,3.5,0.08363668487963989,0.21711301684253112,0.018158612972926723,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,3.5,0.13947219629826574,0.2273060980111174,0.031702880721599394,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,3.5,0.1706728089833541,0.2277069154291893,0.03886337888123479,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,3.75,0.08363668487963989,0.21711301684253112,0.018158612972926723,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,3.75,0.13947219629826574,0.2273060980111174,0.031702880721599394,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,3.75,0.1706728089833541,0.2277069154291893,0.03886337888123479,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,4,0.08549932336078915,0.21711301684253112,0.01856301603285603,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,4,0.14238511042629115,0.2273060980111174,0.03236500386588231,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,4,0.17410551516305425,0.2277069154291893,0.03964502981698903,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,4.25,0.08839589793303343,0.21219259443406943,0.018756954919739558,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,4.25,0.14689930875475388,0.2223856756026557,0.03266830202298906,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,4.25,0.1794149937200177,0.22278649302072762,0.039971237246218615,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,4.5,0.09064513011130068,0.198237742538404,0.017969285965364158,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,4.5,0.1503915749650216,0.2062825300853554,0.031023154587306048,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,4.5,0.1835139781405375,0.20584211583689496,0.03777490554609393,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,4.75,0.09064513011130068,0.198237742538404,0.017969285965364158,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,4.75,0.1503915749650216,0.2062825300853554,0.031023154587306048,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,4.75,0.1835139781405375,0.20584211583689496,0.03777490554609393,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,5,0.09064513011130068,0.198237742538404,0.017969285965364158,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,5,0.1503915749650216,0.2062825300853554,0.031023154587306048,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,5,0.1835139781405375,0.20584211583689496,0.03777490554609393,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,5.25,0.1107860606940413,0.19159899526707583,0.021226497918575594,,,BRT,0,11.64,FALSE
