programme_key,zero_retention,prediction_type,n,observed_mean,predicted_mean,occurrence_mean,positive_mean,bias,mae,rmse,predictive_r2
ltmp,0.25,conditional_positive,199,0.0887202187883077,0.18302193555686175,1,0.18302193555686175,0.09430171676855405,0.140230692161962,0.17262549638013025,-0.07033413502568098
ltmp,0.25,prevalence_corrected,199,0.0887202187883077,0.09175191084933104,0.411824388678722,0.18302193555686175,0.0030316920610233508,0.08225966173726018,0.13149533063134275,0.3789448632813486
ltmp,0.25,raw_downsampled,199,0.0887202187883077,0.13686331280946012,0.689813728855043,0.18302193555686175,0.048143094021152424,0.10655347360825097,0.14336635219355148,0.26174913281018786
ltmp,0.5,conditional_positive,199,0.0887202187883077,0.18302193555686175,1,0.18302193555686175,0.09430171676855405,0.140230692161962,0.17262549638013025,-0.07033413502568098
ltmp,0.5,prevalence_corrected,199,0.0887202187883077,0.09645096225314323,0.41786462100383637,0.18302193555686175,0.007730743464835526,0.08340543612288331,0.1324548233076556,0.3698483893521941
ltmp,0.5,raw_downsampled,199,0.0887202187883077,0.1184477198685223,0.551469634019895,0.18302193555686175,0.029727501080214606,0.09407491624084748,0.13702245382338488,0.32563817591484534
ltmp,0.75,conditional_positive,199,0.0887202187883077,0.18302193555686175,1,0.18302193555686175,0.09430171676855405,0.140230692161962,0.17262549638013025,-0.07033413502568098
ltmp,0.75,prevalence_corrected,199,0.0887202187883077,0.09841909242148829,0.42534079695352034,0.18302193555686175,0.009698873633180588,0.08351415155990718,0.13280581298172806,0.3665043094762851
ltmp,0.75,raw_downsampled,199,0.0887202187883077,0.10765454437495789,0.48077121611146534,0.18302193555686175,0.01893432558665019,0.08780874544938737,0.13456866947037363,0.34957472063456607
ltmp,1,conditional_positive,199,0.0887202187883077,0.18302193555686175,1,0.18302193555686175,0.09430171676855405,0.140230692161962,0.17262549638013025,-0.07033413502568098
ltmp,1,prevalence_corrected,199,0.0887202187883077,0.09834021426407519,0.4272629684870494,0.18302193555686175,0.00961999547576749,0.08293903109909032,0.13236297560277474,0.37072201419504147
ltmp,1,raw_downsampled,199,0.0887202187883077,0.09834021426407519,0.4272629684870494,0.18302193555686175,0.00961999547576749,0.08293903109909032,0.13236297560277474,0.37072201419504147
manta,0.25,conditional_positive,248,0.10298413264736025,0.20490014626617362,1,0.20490014626617362,0.10191601361881336,0.14666310031001845,0.16538892809422606,-0.15167713907995228
manta,0.25,prevalence_corrected,248,0.10298413264736025,0.09713856830782368,0.4242509334649732,0.20490014626617362,-0.0058455643395365795,0.08597431509863557,0.12332140196698188,0.35968336039624915
manta,0.25,raw_downsampled,248,0.10298413264736025,0.1436084722390277,0.66260672269596,0.20490014626617362,0.040624339591667454,0.10467248732270422,0.1287774833176136,0.30177121639020776
manta,0.5,conditional_positive,248,0.10298413264736025,0.20490014626617362,1,0.20490014626617362,0.10191601361881336,0.14666310031001845,0.16538892809422606,-0.15167713907995228
manta,0.5,prevalence_corrected,248,0.10298413264736025,0.10302376873605928,0.44469921207580315,0.20490014626617362,3.9636088699028426e-5,0.08527834176262389,0.11915343751568536,0.4022342425154751
