modifier,mean_brt_relative_influence,mean_max_abs_standardised_beta,brt_rank,bayesian_rank,combined_rank_score,selected
acropora_composition,14.956771530939198,0.6574133445071716,1,1,2,TRUE
dhw_novelty10,12.858919606026552,0.3882804120514072,2,2,4,TRUE
cloudp_90,7.242229494112636,0.36389670397969454,4,3,7,TRUE
histmDHW6,7.415215004409385,0.2569232551805151,3,7,10,FALSE
mcur_90,6.902996070186462,0.2613838556268006,5,5,10,FALSE
winyear_mean,4.867444170565297,0.34040517792989583,7,4,11,FALSE
secc3m,5.545972112082478,0.25754817785677686,6,6,12,FALSE
winyear_sd,4.5208626639687175,0.2425167984778938,8,8,16,FALSE
