source_observation_id,ReefID,ReefName,event_year,survey_date,depth,reef_zone,reefpage_category,mortality_prop,legacy_survey_max_dhw,reconstructed_ann_maxdhw,dhw_difference,legacy_below4,reconstructed_below4,legacy_below4_reclassified,environmental_feature_count,environment_match_method,lon,lat
4142998,18-001,Richards (Bedarra) Reef (18-001),2017,2017-05-03,5,_,null,0.026154636274166313,7.455,7.35,-0.10500000000000043,FALSE,FALSE,FALSE,1,exact_reef_name,146.15190588458626,-18.00790179491856
4167071,17-053,Stingaree Reefs (17-053),2017,2017-05-02,2,South,null,0.30941820249721835,7.55,7.390000000000001,-0.15999999999999925,FALSE,FALSE,FALSE,1,exact_reef_name,146.1511371492056,-17.95156984600971
4167088,17-053,Stingaree Reefs (17-053),2017,2017-05-02,5,South,null,0,7.55,7.390000000000001,-0.15999999999999925,FALSE,FALSE,FALSE,1,exact_reef_name,146.1511371492056,-17.95156984600971
4167104,17-053,Stingaree Reefs (17-053),2017,2017-08-07,2,North,null,0,7.55,7.390000000000001,-0.15999999999999925,FALSE,FALSE,FALSE,1,exact_reef_name,146.1511371492056,-17.95156984600971
4167123,17-053,Stingaree Reefs (17-053),2017,2017-08-07,5,North,null,0.05936106493632762,7.55,7.390000000000001,-0.15999999999999925,FALSE,FALSE,FALSE,1,exact_reef_name,146.1511371492056,-17.95156984600971
4148237,18-065,Havannah Reef (18-065),2022,2023-04-30,2,South,null,0,7.62,7.62,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.53756426233167,-18.843027253583003
4148254,18-065,Havannah Reef (18-065),2022,2023-04-30,5,South,null,0,7.62,7.62,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.53756426233167,-18.843027253583003
4150480,19-009c,Magnetic Island Reef (No 2) (19-009c),2017,2017-05-01,2,_,null,0.14609663248938115,7.8,7.8,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.86457106870293,-19.15415809805399
4150500,19-009c,Magnetic Island Reef (No 2) (19-009c),2017,2017-05-01,5,_,null,0,7.8,7.8,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.86457106870293,-19.15415809805399
4162774,16-054a,Fitzroy Island Reef (No 1) (16-054a),2024,2024-06-16,2,West,null,0.5242365308289569,7.74,7.82,0.08000000000000007,FALSE,FALSE,FALSE,1,exact_reef_name,145.99355800612125,-16.924983974038792
4162795,16-054a,Fitzroy Island Reef (No 1) (16-054a),2024,2024-06-16,5,West,null,0.07995491504811622,7.74,7.82,0.08000000000000007,FALSE,FALSE,FALSE,1,exact_reef_name,145.99355800612125,-16.924983974038792
4162816,16-054a,Fitzroy Island Reef (No 1) (16-054a),2024,2024-06-16,2,East,null,0.2690843862833956,7.74,7.82,0.08000000000000007,FALSE,FALSE,FALSE,1,exact_reef_name,145.99355800612125,-16.924983974038792
4162832,16-054a,Fitzroy Island Reef (No 1) (16-054a),2024,2024-06-16,5,East,null,0,7.74,7.82,0.08000000000000007,FALSE,FALSE,FALSE,1,exact_reef_name,145.99355800612125,-16.924983974038792
4145380,20-058a,Dent Reef (No 1) (20-058a),2024,2024-07-17,2,_,null,0,8.755,8.46,-0.29499999999999993,FALSE,FALSE,FALSE,1,exact_reef_name,148.9358179370671,-20.34912749997349
4145395,20-058a,Dent Reef (No 1) (20-058a),2024,2024-07-17,5,_,null,0,8.755,8.46,-0.29499999999999993,FALSE,FALSE,FALSE,1,exact_reef_name,148.9358179370671,-20.34912749997349
4141824,18-051,Pandora Reef (18-051),2017,2017-05-09,2,South,null,0.0829244067853294,8.52,8.52,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.43372840534016,-18.812273249310245
4141843,18-051,Pandora Reef (18-051),2017,2017-05-09,5,South,null,0,8.52,8.52,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.43372840534016,-18.812273249310245
4148243,18-065,Havannah Reef (18-065),2017,2017-05-09,2,South,null,0.32043253344777983,8.71,8.71,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.53756426233167,-18.843027253583003
4148260,18-065,Havannah Reef (18-065),2017,2017-05-09,5,South,null,0.030102304650025995,8.71,8.71,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.53756426233167,-18.843027253583003
4156652,20-035a,Daydream Reef (No 1) (20-035a),2024,2024-07-19,2,_,null,0,8.5,8.78,0.27999999999999936,FALSE,FALSE,FALSE,1,exact_reef_name,148.81378105274186,-20.253411629794943
4156671,20-035a,Daydream Reef (No 1) (20-035a),2024,2024-07-19,5,_,null,0,8.5,8.78,0.27999999999999936,FALSE,FALSE,FALSE,1,exact_reef_name,148.81378105274186,-20.253411629794943
4147249,17-043a,Jessie-Kent Reef (17-043a),2017,2017-05-02,2,_,null,0,8.87,8.870000000000001,1.7763568394002505e-15,FALSE,FALSE,FALSE,1,exact_reef_name,146.17663122704388,-17.674631088914335
4147265,17-043a,Jessie-Kent Reef (17-043a),2017,2017-05-02,5,_,null,0,8.87,8.870000000000001,1.7763568394002505e-15,FALSE,FALSE,FALSE,1,exact_reef_name,146.17663122704388,-17.674631088914335
4150474,19-009c,Magnetic Island Reef (No 2) (19-009c),2024,2024-06-05,2,_,null,0.3503963600443477,9.07,9.07,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.86457106870293,-19.15415809805399
4150494,19-009c,Magnetic Island Reef (No 2) (19-009c),2024,2024-06-05,5,_,null,0.20057757443419322,9.07,9.07,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.86457106870293,-19.15415809805399
4151714,20-061,Pine Island Reef (20-061),2024,2024-07-18,2,_,null,0,9.17,9.17,0,FALSE,FALSE,FALSE,1,exact_reef_name,148.88637145659553,-20.375268373202736
4151734,20-061,Pine Island Reef (20-061),2024,2024-07-18,5,_,null,0,9.17,9.17,0,FALSE,FALSE,FALSE,1,exact_reef_name,148.88637145659553,-20.375268373202736
