programme_key,learner,modifier,modifier_label,modifier_level,modifier_value,ann_maxdhw,occurrence,positive_mortality,mortality,outside_observed_dhw
manta,BRT,cloudp_90,Peak-season cloud fraction,Low (10th percentile),0.54024335,4,0.19928971930334416,0.19605777706549543,0.03907229935862021,FALSE
manta,BRT,cloudp_90,Peak-season cloud fraction,Median (50th percentile),0.6959865000000001,4,0.14238511042629115,0.2273060980111174,0.03236500386588231,FALSE
manta,BRT,cloudp_90,Peak-season cloud fraction,High (90th percentile),0.8638448679999999,4,0.15339721506344403,0.30623309153124567,0.046975303401161836,FALSE
manta,BRT,cloudp_90,Peak-season cloud fraction,Low (10th percentile),0.54024335,8,0.31597285781659695,0.21515287423604942,0.06798246853981942,FALSE
manta,BRT,cloudp_90,Peak-season cloud fraction,Median (50th percentile),0.6959865000000001,8,0.27682657502563024,0.24812864865184178,0.06868860397202732,FALSE
manta,BRT,cloudp_90,Peak-season cloud fraction,High (90th percentile),0.8638448679999999,8,0.29466390910319834,0.32847863967583396,0.09679080002378218,FALSE
manta,BRT,cloudp_90,Peak-season cloud fraction,Low (10th percentile),0.54024335,12,0.5700973157913038,0.2704854028667146,0.15420300213504343,TRUE
manta,BRT,cloudp_90,Peak-season cloud fraction,Median (50th percentile),0.6959865000000001,12,0.5235654416915557,0.303461177282507,0.15888178532015526,TRUE
manta,BRT,cloudp_90,Peak-season cloud fraction,High (90th percentile),0.8638448679999999,12,0.5275529505119332,0.3739395811998181,0.19727292937516067,TRUE
manta,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,Low (10th percentile),0.54024335,4,0.34092582024163026,0.15509970830794567,0.05274437904496806,FALSE
manta,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,Median (50th percentile),0.6959865000000001,4,0.3531983626195358,0.1635383156030602,0.057662162177190106,FALSE
manta,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,High (90th percentile),0.8638448679999999,4,0.3743378239013808,0.18184048434430913,0.06827739805833657,FALSE
manta,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,Low (10th percentile),0.54024335,8,0.4824055332788153,0.18439348891992438,0.08904964006589612,FALSE
manta,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,Median (50th percentile),0.6959865000000001,8,0.4992670917172094,0.1563819767805597,0.07817844835792144,FALSE
manta,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,High (90th percentile),0.8638448679999999,8,0.5177087233505477,0.1400364043462161,0.07270745567861199,FALSE
manta,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,Low (10th percentile),0.54024335,12,0.615009007121853,0.2720754487160892,0.16752446881486613,TRUE
manta,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,Median (50th percentile),0.6959865000000001,12,0.6341677006502957,0.19072187173326371,0.12124195857543175,TRUE
manta,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,High (90th percentile),0.8638448679999999,12,0.6490910056202227,0.14724821312513311,0.09599064506819213,TRUE
ltmp,BRT,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.04416278783401122,4,0.15448765638081785,0.008409492215660057,0.0012991627437500535,FALSE
ltmp,BRT,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.2688625059919296,4,0.3158616757082541,0.017542371099723245,0.005540962731454632,FALSE
ltmp,BRT,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.6708836309552813,4,0.9850349955840214,0.020600953963265632,0.02029266059623199,FALSE
ltmp,BRT,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.04416278783401122,8,0.055261775453272335,0.017929042798294666,9.907907372114692e-4,FALSE
ltmp,BRT,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.2688625059919296,8,0.14625687579930807,0.03774521997306549,0.005520497949618202,FALSE
ltmp,BRT,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.6708836309552813,8,0.9727857988877298,0.04598422723964299,0.04473280323155101,FALSE
ltmp,BRT,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.04416278783401122,12,0.09382356628373069,0.022740716930565036,0.0021336151622744254,TRUE
ltmp,BRT,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.2688625059919296,12,0.3597339362215943,0.04379317522504064,0.015753891303345872,TRUE
ltmp,BRT,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.6708836309552813,12,0.993060005230272,0.05242557160830875,0.052061738415547086,TRUE
ltmp,Bayesian beta + Bernoulli boundary,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.04416278783401122,4,0.2652536944083953,0.1776650877102654,0.047141031749073116,FALSE
ltmp,Bayesian beta + Bernoulli boundary,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.2688625059919296,4,0.3637666835841163,0.17418333429454685,0.06331954652422006,FALSE
ltmp,Bayesian beta + Bernoulli boundary,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.6708836309552813,4,0.5667204249229113,0.175891247951752,0.09955872317357457,FALSE
ltmp,Bayesian beta + Bernoulli boundary,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.04416278783401122,8,0.33068027032572134,0.11947945138384873,0.039492819990617545,FALSE
ltmp,Bayesian beta + Bernoulli boundary,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.2688625059919296,8,0.440225562105703,0.15251986816595883,0.0671062869166026,FALSE
ltmp,Bayesian beta + Bernoulli boundary,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.6708836309552813,8,0.6426495609730819,0.23555794774868874,0.1510877704911564,FALSE
ltmp,Bayesian beta + Bernoulli boundary,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.04416278783401122,12,0.4126864418963451,0.09098642688817139,0.03728754422257821,TRUE
ltmp,Bayesian beta + Bernoulli boundary,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.2688625059919296,12,0.5192746885892724,0.1417851210888614,0.0734160797397388,TRUE
ltmp,Bayesian beta + Bernoulli boundary,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.6708836309552813,12,0.6979685654243467,0.3100078507641124,0.2162354367494017,TRUE
ltmp,BRT,dhw_novelty10,Thermal novelty relative to prior decade,Low (10th percentile),-4.960000000000001,4,0.13422086663275054,0.00819108236254283,0.0010994141733607363,FALSE
ltmp,BRT,dhw_novelty10,Thermal novelty relative to prior decade,Median (50th percentile),-0.31,4,0.2850534723989258,0.017542371099723245,0.005000513796086674,FALSE
ltmp,BRT,dhw_novelty10,Thermal novelty relative to prior decade,High (90th percentile),4.178000000000001,4,0.8458852013016782,0.1518027646463234,0.12840771213100655,FALSE
ltmp,BRT,dhw_novelty10,Thermal novelty relative to prior decade,Low (10th percentile),-4.960000000000001,8,0.048271390471483884,0.01778491061048327,8.585023645790747e-4,FALSE
ltmp,BRT,dhw_novelty10,Thermal novelty relative to prior decade,Median (50th percentile),-0.31,8,0.1288751632409322,0.03774521997306549,0.0048644213855937105,FALSE
ltmp,BRT,dhw_novelty10,Thermal novelty relative to prior decade,High (90th percentile),4.178000000000001,8,0.7430457985571879,0.2248619600994567,0.1670827347072353,FALSE
ltmp,BRT,dhw_novelty10,Thermal novelty relative to prior decade,Low (10th percentile),-4.960000000000001,12,0.13704627042662257,0.02181604872256699,0.0029898081128732893,TRUE
ltmp,BRT,dhw_novelty10,Thermal novelty relative to prior decade,Median (50th percentile),-0.31,12,0.3165780413439455,0.04379317522504064,0.013863957636975567,TRUE
ltmp,BRT,dhw_novelty10,Thermal novelty relative to prior decade,High (90th percentile),4.178000000000001,12,0.8933242136686323,0.2547815909727922,0.2276025644130127,TRUE
ltmp,Bayesian beta + Bernoulli boundary,dhw_novelty10,Thermal novelty relative to prior decade,Low (10th percentile),-4.960000000000001,4,0.23062512837296892,0.08125645981347766,0.018804223498933285,FALSE
ltmp,Bayesian beta + Bernoulli boundary,dhw_novelty10,Thermal novelty relative to prior decade,Median (50th percentile),-0.31,4,0.3629902351243643,0.1731645227787911,0.06281344591772384,FALSE
ltmp,Bayesian beta + Bernoulli boundary,dhw_novelty10,Thermal novelty relative to prior decade,High (90th percentile),4.178000000000001,4,0.5139164057344038,0.33677857445032305,0.17257011901261554,FALSE
ltmp,Bayesian beta + Bernoulli boundary,dhw_novelty10,Thermal novelty relative to prior decade,Low (10th percentile),-4.960000000000001,8,0.30319086950861035,0.07400084313526022,0.022360781169682663,FALSE
ltmp,Bayesian beta + Bernoulli boundary,dhw_novelty10,Thermal novelty relative to prior decade,Median (50th percentile),-0.31,8,0.43936496290661886,0.15103699114849495,0.06632256535729412,FALSE
ltmp,Bayesian beta + Bernoulli boundary,dhw_novelty10,Thermal novelty relative to prior decade,High (90th percentile),4.178000000000001,8,0.5927957341934365,0.29129309730378916,0.1726767827713466,FALSE
ltmp,Bayesian beta + Bernoulli boundary,dhw_novelty10,Thermal novelty relative to prior decade,Low (10th percentile),-4.960000000000001,12,0.38457941772573256,0.0858056292244227,0.032522775271962186,TRUE
ltmp,Bayesian beta + Bernoulli boundary,dhw_novelty10,Thermal novelty relative to prior decade,Median (50th percentile),-0.31,12,0.5184460186579831,0.1399999029068771,0.07237607551599286,TRUE
ltmp,Bayesian beta + Bernoulli boundary,dhw_novelty10,Thermal novelty relative to prior decade,High (90th percentile),4.178000000000001,12,0.6645857903695375,0.25579475822129033,0.17016399940834048,TRUE
