programme_key,zero_retention,prediction_type,n,observed_mean,predicted_mean,occurrence_mean,positive_mean,bias,mae,rmse,predictive_r2
ltmp,0.25,conditional_positive,12,0.61388975696167,0.4364927724603393,1,0.4364927724603393,-0.1773969845013308,0.20147788658614046,0.26202103035803265,-14.739457254912661
ltmp,0.25,prevalence_corrected,12,0.61388975696167,0.36384524591379275,0.7446178061960671,0.4364927724603393,-0.25004451104787734,0.2602547338395674,0.3304857116273825,-24.039337140500386
ltmp,0.25,raw_downsampled,12,0.61388975696167,0.4092706794473354,0.8915186189200447,0.4364927724603393,-0.20461907751433467,0.22422082205570457,0.290717402135794,-18.375794088547753
ltmp,0.5,conditional_positive,12,0.61388975696167,0.4364927724603393,1,0.4364927724603393,-0.1773969845013308,0.20147788658614046,0.26202103035803265,-14.739457254912661
ltmp,0.5,prevalence_corrected,12,0.61388975696167,0.3774454072923363,0.8063881516367044,0.4364927724603393,-0.23644434966933375,0.25314848088366737,0.31503886956492755,-21.753370212791168
ltmp,0.5,raw_downsampled,12,0.61388975696167,0.40149943811796085,0.8810472463977634,0.4364927724603393,-0.21239031884370924,0.2314953519248172,0.29360998818894435,-18.76328362937686
ltmp,0.75,conditional_positive,12,0.61388975696167,0.4364927724603393,1,0.4364927724603393,-0.1773969845013308,0.20147788658614046,0.26202103035803265,-14.739457254912661
ltmp,0.75,prevalence_corrected,12,0.61388975696167,0.38561248644648,0.8018537065403444,0.4364927724603393,-0.22827727051519006,0.24612687700260094,0.31540264792249834,-21.805947613971565
ltmp,0.75,raw_downsampled,12,0.61388975696167,0.3945658717775037,0.8317151700063442,0.4364927724603393,-0.21932388518416637,0.23809035172916823,0.3072044639614652,-20.6357769969075
ltmp,1,conditional_positive,12,0.61388975696167,0.4364927724603393,1,0.4364927724603393,-0.1773969845013308,0.20147788658614046,0.26202103035803265,-14.739457254912661
ltmp,1,prevalence_corrected,12,0.61388975696167,0.38797450772153574,0.808936852621543,0.4364927724603393,-0.2259152492401343,0.24481144819118994,0.31383664969837544,-21.58004328408064
ltmp,1,raw_downsampled,12,0.61388975696167,0.38797450772153574,0.808936852621543,0.4364927724603393,-0.2259152492401343,0.24481144819118994,0.31383664969837544,-21.58004328408064
manta,0.25,conditional_positive,7,0.570184371369407,0.32437547632149805,1,0.32437547632149805,-0.245808895047909,0.245808895047909,0.2813109037034929,-16.042601196536612
manta,0.25,prevalence_corrected,7,0.570184371369407,0.24378905790768177,0.7013366701408263,0.32437547632149805,-0.3263953134617253,0.3263953134617253,0.37615337106524915,-29.471418105511418
manta,0.25,raw_downsampled,7,0.570184371369407,0.29167972448180324,0.8770253345611948,0.32437547632149805,-0.27850464688760385,0.27850464688760385,0.3215164101139521,-21.26224909859045
manta,0.5,conditional_positive,7,0.570184371369407,0.32437547632149805,1,0.32437547632149805,-0.245808895047909,0.245808895047909,0.2813109037034929,-16.042601196536612
manta,0.5,prevalence_corrected,7,0.570184371369407,0.26445490842899333,0.7736311528654841,0.32437547632149805,-0.30572946294041375,0.30572946294041375,0.35071175759667644,-25.488868133563816
manta,0.5,raw_downsampled,7,0.570184371369407,0.2877020952389911,0.8608197435009584,0.32437547632149805,-0.28248227613041593,0.28248227613041593,0.3238884096822022,-21.591941972039457
manta,0.75,conditional_positive,7,0.570184371369407,0.32437547632149805,1,0.32437547632149805,-0.245808895047909,0.245808895047909,0.2813109037034929,-16.042601196536612
manta,0.75,prevalence_corrected,7,0.570184371369407,0.2668516932572953,0.782610683615526,0.32437547632149805,-0.30333267811211173,0.30333267811211173,0.3470754969778115,-24.942430269882678
manta,0.75,raw_downsampled,7,0.570184371369407,0.27715124088711773,0.8212296800954888,0.32437547632149805,-0.29303313048228935,0.29303313048228935,0.3352806583195105,-23.20916167641902
manta,1,conditional_positive,7,0.570184371369407,0.32437547632149805,1,0.32437547632149805,-0.245808895047909,0.245808895047909,0.2813109037034929,-16.042601196536612
manta,1,prevalence_corrected,7,0.570184371369407,0.2736633059478065,0.8072935887437382,0.32437547632149805,-0.2965210654216005,0.2965210654216005,0.34013437907518296,-23.915167465319474
manta,1,raw_downsampled,7,0.570184371369407,0.2736633059478065,0.8072935887437382,0.32437547632149805,-0.2965210654216005,0.2965210654216005,0.34013437907518296,-23.915167465319474
mmp,0.25,conditional_positive,13,0.6438488594127777,0.4182869381763283,1,0.4182869381763283,-0.22556192123644947,0.23628850962691594,0.3550105120221574,-3.7707535121938625
mmp,0.25,prevalence_corrected,13,0.6438488594127777,0.3458050063710526,0.8139444809499323,0.4182869381763283,-0.29804385304172515,0.29804385304172515,0.4004226488966655,-5.069344952855696
mmp,0.25,raw_downsampled,13,0.6438488594127777,0.39531420028583864,0.9407652254211492,0.4182869381763283,-0.24853465912693912,0.24853465912693912,0.3676382799361223,-4.116182217862476
mmp,0.5,conditional_positive,13,0.6438488594127777,0.4182869381763283,1,0.4182869381763283,-0.22556192123644947,0.23628850962691594,0.3550105120221574,-3.7707535121938625
mmp,0.5,prevalence_corrected,13,0.6438488594127777,0.36095469283668846,0.8517912751536024,0.4182869381763283,-0.2828941665760893,0.2828941665760893,0.39063118287158055,-4.776148769418382
mmp,0.5,raw_downsampled,13,0.6438488594127777,0.38550909037288084,0.9148870305487893,0.4182869381763283,-0.2583397690398969,0.2583397690398969,0.37409724205795425,-4.297531720393908
mmp,0.75,conditional_positive,13,0.6438488594127777,0.4182869381763283,1,0.4182869381763283,-0.22556192123644947,0.23628850962691594,0.3550105120221574,-3.7707535121938625
mmp,0.75,prevalence_corrected,13,0.6438488594127777,0.37114877065767443,0.8705451328984418,0.4182869381763283,-0.2727000887551033,0.2727000887551033,0.38829305743166587,-4.7072093566806945
mmp,0.75,raw_downsampled,13,0.6438488594127777,0.3804093169174072,0.8955717826937554,0.4182869381763283,-0.2634395424953705,0.2634395424953705,0.3812627957355411,-4.502415846355943
mmp,1,conditional_positive,13,0.6438488594127777,0.4182869381763283,1,0.4182869381763283,-0.22556192123644947,0.23628850962691594,0.3550105120221574,-3.7707535121938625
mmp,1,prevalence_corrected,13,0.6438488594127777,0.371931066645499,0.8692487866984968,0.4182869381763283,-0.27191779276727873,0.27191779276727873,0.38993339480282735,-4.755531225367102
mmp,1,raw_downsampled,13,0.6438488594127777,0.371931066645499,0.8692487866984968,0.4182869381763283,-0.27191779276727873,0.27191779276727873,0.38993339480282735,-4.755531225367102
